Topic,Count,Name,Representation,Representative_Docs
-1,12450,-1_机器人_人形机器人_机器_轮子,"['机器人', '人形机器人', '机器', '轮子', '玩意', '人家', '人形', '更快', '厉害', '机械']","['人形也可以加轮子，有些复杂地形光轮子不行', '机器人遛人？', '这是华北电力大学的机器人耶']"
0,1143,0_遥控_遥控器_遥控车_遙控,"['遥控', '遥控器', '遥控车', '遙控', '监控', '有人', '自主', '失控', '操控', '控制']","['怎么都是遥控的，自主的呢？[抠鼻R]', '这不是遥控的，这是自主跑的', '有自主有遥控']"
1,583,1_小机器人_机器人_可爱_机器人界,"['小机器人', '机器人', '可爱', '机器人界', '機器', '机器', '小小的', '真好玩', '萌萌', '人机']","['这个小机器人好可爱哦', '@金克斯 好可爱啊 小机器人', '小机器人也忒可爱了叭']"
2,577,2_摔倒_跌倒_摔了一跤_摔到,"['摔倒', '跌倒', '摔了一跤', '摔到', '摔下去', '摔得', '摔碎', '摔个', '摔成', '站不稳']","['我每看云个视频就在等他摔倒', '感觉随时想摔倒。', '摔倒了的那个不蹭，嘣💥']"
3,558,3_机器人马拉松_机器人_马拉松_人形机器人,"['机器人马拉松', '机器人', '马拉松', '人形机器人', '跑马', '机器', '跑得快', '跑步', '赛事', '比赛']","['@前路有风 给机器人办马拉松[暗中观察R]', '@我只是块小饼干 机器人都有马拉松了', '让机器人跑马拉松是怎么想的？？？']"
4,509,4_跑得慢_姿势_跑步_跑动,"['跑得慢', '姿势', '跑步', '跑动', '跑得快', '跑不动', '跑法', '奔跑', '步伐', '姿态']","['这个跑步姿势有点丑[石化R][石化R][石化R]', '跑步姿势很妖娆[吃瓜R]', '和我跑步一个姿势']"
5,493,5_第一名_比赛_参赛_几名,"['第一名', '比赛', '参赛', '几名', '搞笑', '前三名', '几个', '名次', '一名', '倒数']","['比赛宠粉两不误[笑哭R]', '那个倒数第一你看到了吗？巨萌[笑哭R]', '倒数第一吗？[捂脸R]']"
6,488,6_程序员_编程_码农_程序,"['程序员', '编程', '码农', '程序', '跑啦', '跑不过', '代码', 'run', '跑不了', '工程师']","['程序员马拉松', '@kkyyxhll 干这个的程序员，包瘦的呀', '[捂脸R]那是程序员说给程序员听的吧']"
7,480,7_人形机器人_人形_机器人_人型,"['人形机器人', '人形', '机器人', '人型', '机器', '人体', '外形', '人用', '人类', '形状']","['因为是机器人呀，不是人形的叫机器，人形的叫机器人', '你是人形的呀，这个社会就是按人形设计的。[暗中观察R]', '人形设计出来是为了代替人类的，整个世界的各种工具都是人类可以用的，设计成人形是为了造通用型机器人，因为人能很好的让这个世界运转，人形一样能，可以不用改造环境和工具，就可以适配所有人类适应的环境。人形不是为了满足特定场景而设计出来的机器人，而是这个世界的所有场景的通用机器人。特殊场景的机器人，人形也能去控制它，人形机器人算是高纬度的机器人了']"
8,461,8_战场_打仗_作战_战士,"['战场', '打仗', '作战', '战士', '干掉', '战时', '牺牲', '玩意', '武器', '战争']","['意义就是以后战场不需要人了[doge]', '放战场上你就知道了[笑哭R]', '对啊，让他跑这么快的意义是？上战场吗']"
9,409,9_去年_今年_昨年_前年,"['去年', '今年', '昨年', '前年', '第二年', '好快', '飞速发展', '跑的快', '真快', '之前']","['去年嫌它慢，今年它们嫌我慢。', '今年比去年快多了[doge]', '今年的比去年的快多了。']"
10,352,10_机器人_机器_养老_人工,"['机器人', '机器', '养老', '人工', '人类', '老龄化', '伺候', '老人', '人来', '服务']","['什么时候能研发出养老机器人', '以后养老机器人也能这么快吗？', '@Isla 机器人养老']"
11,334,11_可爱_好萌_小可爱_太萌,"['可爱', '好萌', '小可爱', '太萌', '好看', '喜欢', '萌萌', '蠢萌', '小小的', '这小']","['小弟弟可爱吗[doge]', '@年糕和汤圆 可爱可爱', '好可爱呀呀呀[萌萌哒R]']"
12,326,12_冰块_放冰_加冰_冰冷,"['冰块', '放冰', '加冰', '冰冷', '补冰', '降温', '降溫', '干冰', '冷却', '碎冰']","['倒冰块降温吧', '好像不是冰块 是干冰[笑哭R]', '不是冰块，是干冰[doge]']"
13,292,13_电池_电池容量_换电池_续航,"['电池', '电池容量', '换电池', '续航', '电量', '费电', '充电', '有电', '没电', '断电']","['电池这么抗揍么？', '这么嚣张？扣它电池[doge]', '比电池续航呗[捂脸R]']"
14,290,14_轮子_更快_輪子_四轮,"['轮子', '更快', '輪子', '四轮', '轮胎', '更好', '坐轮椅', '不长', '上不去', '滑轮']","['那4个轮子不是更快[doge]', '放轮子更快！', '轮子不更快']"
15,285,15_科技进步_高科技_科技_科技含量,"['科技进步', '高科技', '科技', '科技含量', '技术', '科学', '技术储备', '先进', '进步', '突飞猛进']","['我去，科技发展这么快', '科技科技', '这就是我们吹嘘的科技，真可悲[偷笑R]']"
16,249,16_解答_谢谢_回答_理解,"['解答', '谢谢', '回答', '理解', '请问', '了解', '看不懂', '疑问', '提问', '不当']","['可能不需要你理解[笑哭R]', '哎呦plq说不理解的你就不理解着吧也别理解了理解不了的，你老了我卖你保健品一卖一个准', '真的是，我不理解问出这些问题的人']"
17,248,17_救人_120_有人_救活,"['救人', '120', '有人', '救活', '机器人', '得救', '救治', '急救', '機器', '救护']","['机器人也要120救啊[笑哭R]', '120:机器人也是人啊[笑哭R]', '道理我都懂  但为什么会有120救护车啊？！']"
