Topic,Count,Name,Representation,Representative_Docs
0,301,0_机器人_人形机器人_机器_机械,"['机器人', '人形机器人', '机器', '机械', '玩意', '会炸机', '人造', '人工', '人形', '人类']","['你就说视频中的机器人', '估计有专门抬机器人的机器人，你可以去抬坏了的抬机器人的机器人', '让机器人跑马拉松，其实远不止是看谁跑得快那么简单。这更像是一场 公开的、极限的“综合能力大考” ，目的是为了推动机器人技术真正走向成熟，最终能走进我们的生活，帮我们完成实际任务。\n【为什么是马拉松？】\n马拉松的赛道模拟了真实世界的复杂环境，比如坡道、转弯、不平整的路面等。这能全面检验机器人在 续航、散热、动态平衡、关节耐久性和自主决策 等方面的能力。跑完21公里，意味着机器人在这些关键技术上取得了突破，为未来在工厂、家庭、养老陪护等场景的应用打下了坚实基础。\n【为什么非要“人形”？】\n你可能会问，用轮子不是更省力、更高效吗？这正是人形机器人的核心价值所在—— 通用性 。\n适应人类环境：我们的世界是为人设计的，有楼梯、有门把手、有各种工具。人形机器人未来的目标是使用这些现有工具，而不是让我们专门为它改造环境。\n攻克核心难题：双足行走和动态平衡是机器人领域的“终极考题”之一。只有通过像马拉松这样的复杂场景测试，才能不断优化算法，让机器人在面对突发状况时也能保持稳定，这在灾难救援等高风险场景中至关重要。\n所以，虽然现在看到机器人摔倒可能会觉得有些“抽象”，但这恰恰是技术发展过程中必经的一步。每一次跌倒和爬起，都是在为未来能更稳健地服务人类积累宝贵的经验。[加油R]']"
1,187,1_骨折_粉身碎骨_摔碎_粉碎性,"['骨折', '粉身碎骨', '摔碎', '粉碎性', '摔伤', '摔倒', '摔得', '摔成', '摔到', '摔死']","['粉碎性骨折啊这是', '粉碎性骨折[doge]', '粉碎性骨折、挣扎几下就不动了…']"
2,173,2_ai_智能_玩意_视频,"['ai', '智能', '玩意', '视频', '怀疑', '骗局', '嘲笑', '是不是', '视觉效果', '类似']","['碎成这样，我还以为是ai', 'ai 视频吗', '因为是AI,[doge]上面还一堆说不是ai的']"
3,169,3_机器人_玩意_垃圾_做不了,"['机器人', '玩意', '垃圾', '做不了', '技术', '丢人', '东西', '没人', '产品', '人家']","['就是遥控玩具，还还机器人。。。[捂脸R]', '产业前期啊[捂脸R]这才发展两年可以理解吧，就像当初谁能想到互联网发展到出门不用带钱包，什么东西都能网上买，机器人公司也有差生，好学生就是上春晚的那个宇树，多给点耐心吧', '人家搞机器人让你看吗？你只看到了人家成熟产品，研发阶段有很多更离谱的东西，科学的道路都是一步一步走来的，宇树也一样。']"
4,164,4_好笑_多笑点_搞笑_笑点,"['好笑', '多笑点', '搞笑', '笑点', '尴尬', '笑哈哈', '真好玩', '笑话', '滑稽', '莫名其妙']","['@钱满多狒狒大酱汤 不是好荒谬啊真的[笑哭R][笑哭R][笑哭R]', '搞笑视频[黑薯问号R]', '@叫我言西就好啦 真的很好笑']"
5,129,5_装备_爆一地_一地_爆炸,"['装备', '爆一地', '一地', '爆炸', '炸不死', '炸开', '暴毙', '自爆', '满地', '自毁']","['装备掉一地', '爆了一地装备', '装备碎了一地']"
6,117,6_没跑_马拉松_参加_跑步,"['没跑', '马拉松', '参加', '跑步', '过不去', '测试', '慢跑', '设置障碍', '费劲', '比赛']","['平时不跑步，就别参加马拉松了', '这一年没有测试过减速带障碍？天天打王者？', '这马拉松不就是测试吗[抠鼻R]']"
7,113,7_救护车_救護車_机器人_救人,"['救护车', '救護車', '机器人', '救人', '急救车', '救护', '救護', '機器', '救命', '急救']","['我以为是机器人救护车来救人了 结果是救机器人哈哈哈哈哈哈', '我以为是机器人开救护车来救人', '机器人救护车，我还以为是机器人抢救人[笑哭R]']"
8,108,8_太差_质量_太脆_垃圾,"['太差', '质量', '太脆', '垃圾', '踩坏了', '太重', '不过关', '换个件', '太大', '报废']","['这质量也太差了吧', '质量太差了！', '质量太差了，摔一地零件']"
9,107,9_担架_抬担架_担架员_好笑,"['担架', '抬担架', '担架员', '好笑', '抬着', '抬不动', '搞笑', '有模有样', '抬去', '玩意']","['笑死，还需要担架', '担架太搞笑了', '还有人拿担架[doge]']"
