Topic,ctfidf_top_terms
-1,"测试,荣耀,宇树,比赛,起跑线,减速带,起来,这样,设计,以为,玩意,失败,一样,走路,好像"
0,"机器人,人类,人形机器人,人形,机器,马拉松,为什么,中国,这些,发展,比赛,视频,跑步,设计,做成"
1,"解说,搞笑,好笑,嘲笑,不笑,评论,视频,大家,真的,努力,有趣,继续,精彩,正常,来时路"
2,"一块,一地,摔倒,稀碎,碎成,挣扎,粉身碎骨,一下,脾气,几下,摔得,这样,倒地,撒泼,粉末"
3,"科技,补贴,公司,玩意,研发,技术,资本,10%,东西,为了,过程,掏钱,产品,股票,丢人现眼"
4,"马拉松,跑步,速度,半马,最快,膝盖,看看,追不上,21,别跑,800,身体,指令,正常,厉害"
5,"遥控,玩具,遥控器,自主,自动,导航,操作,这次,拿个,控制,讽刺,一组,遥控车,有人,意思"
6,"担架,抬担架,扫把,抬走,拿个,单架,搞笑,塑料袋,扫帚,垃圾桶,多余,准备,还要,还用,过来"
7,"救护车,机器人,医生,以为,救人,抢救,动物,心肺,機器,复苏,花钱,愿意,变形,120,之前"
8,"ai,视觉效果,一堆,视频,只会,以为,这样,碎成,对话,心态,一地土,早期,程序,只是,据说"
9,"质量,太差,材料,打印,3d,材质,太脆,报废,垃圾,零件,结实,散架,一堆,废铁,可是"
10,"结束,开始,未捷,出师,创业,身先,中道,先帝,解体,未半而,阵亡,苏联,英雄,崩开,当年"
11,"装备,一地,爆一地,好好,上来,爆率,666,第一个,五公里,白色,白水晶,洒落,味道,导出,真高"
12,"红色,闪电,章若楠,三倍,车子,厉害,冠军,赛道,跑得快,出冷汗,缺个,蛙趣,红衣服,閃電,闪电侠"
13,"降温,电机,散热,过热,干冰,冷却,冰块,系统,电池,需要,参考,工业产品,持久力,温度,距离"
14,"抢救,家里,养老,老人,120,回去,添乱,不够,必要,人工呼吸,一下,指着,家庭,快递,医院"
15,"春晚,那些,晚上,机器人,跳舞,今年,老外,武术,谁家,好看,这些,冠军,慢慢,一边,去年"
