Topic,Count,Name,Representation,Representative_Docs
-1,10519,-1_机器人_机器_玩意_人形机器人,"['机器人', '机器', '玩意', '人形机器人', '更快', '机械', '开车', '汽车', '速度', '不过']","['这东西发展的也太快了，去年还在嘲笑人家站不稳，今年都跑马拉松了……只有我觉得这件事有点可怕吗[笑哭R]', '意义还挺多的，1展示科技实力，2吸引关注获得投资，3机器人也不是一蹴而就的，需要像这样一步一步的研发，现在只能跑，以后也许能负重跑，抬担架跑，甚至铁人三项跑。最终实现实用功能，战争，家务，危险工作等都能处理。', '机器人，机器人，不是机器车']"
0,1052,0_遥控_遥控车_遥控器_遙控,"['遥控', '遥控车', '遥控器', '遙控', '自主', '监控', '自动', '跟不上', '操控', '有人']","['说是自主跑，没有遥控', '这不是遥控的，这是自主跑的', '这是遥控的还是自主的呀']"
1,508,1_战场_打仗_战士_作战,"['战场', '打仗', '战士', '作战', '战时', '牺牲', '战争', '背着', '干掉', '扛着']","['意义就是以后战场不需要人了[doge]', '对啊，让他跑这么快的意义是？上战场吗', '你觉得上了战场的人还能顾得上笑吗[汗颜R]']"
2,508,2_人形机器人_人形_机器人_人型,"['人形机器人', '人形', '机器人', '人型', '机器', '外形', '人体', '人类', '人用', '形状']","['因为是机器人呀，不是人形的叫机器，人形的叫机器人', '你是人形的呀，这个社会就是按人形设计的。[暗中观察R]', '人形设计出来是为了代替人类的，整个世界的各种工具都是人类可以用的，设计成人形是为了造通用型机器人，因为人能很好的让这个世界运转，人形一样能，可以不用改造环境和工具，就可以适配所有人类适应的环境。人形不是为了满足特定场景而设计出来的机器人，而是这个世界的所有场景的通用机器人。特殊场景的机器人，人形也能去控制它，人形机器人算是高纬度的机器人了']"
3,437,3_小机器人_机器人_機器_机器,"['小机器人', '机器人', '機器', '机器', '可爱', '真好玩', '人机', '小小', '有个', '卖萌']","['这个小机器人好可爱哦', '这么多可爱小机器人', '小机器人整的还挺可爱']"
4,424,4_摔倒_跌倒_摔到_摔了一跤,"['摔倒', '跌倒', '摔到', '摔了一跤', '摔得', '摔碎', '摔个', '摔下去', '摔成', '绊倒']","['感觉随时要摔倒', '真不是故意摔倒的？', '摔倒了的那个不蹭，嘣💥']"
5,412,5_好笑_真好玩_好好笑_有趣,"['好笑', '真好玩', '好好笑', '有趣', '好玩', '有意思', '搞笑', '太逗', '真是太', '笑死人']","['真的很好笑[笑哭R]', '这真的太好笑了', '真的太好笑了']"
6,391,6_程序员_跑不过_跑啦_编程,"['程序员', '跑不过', '跑啦', '编程', '跟着', '跟不上', '码农', '跑不动', '程序', 'run']","['程序员马拉松', '程序员也要跟着跑步，可能是救程序员的', '[捂脸R]那是程序员说给程序员听的吧']"
7,381,7_跑得慢_姿势_跑动_跑步,"['跑得慢', '姿势', '跑动', '跑步', '跑不动', '跑法', '奔跑', '步伐', '跑道', '动作']","['跑步姿势很贼', '和田曦薇的跑步姿势很像', '有一个姿势很像人跑步了']"
8,355,8_冰块_放冰_加冰_冰冷,"['冰块', '放冰', '加冰', '冰冷', '补冰', '降温', '干冰', '降溫', '冷却', '碎冰']","['冰块降温啊[笑哭R][笑哭R][笑哭R][笑哭R]', '好像不是冰块 是干冰[笑哭R]', '不是冰块，是干冰[doge]']"
9,339,9_机器人马拉松_机器人_马拉松_人形机器人,"['机器人马拉松', '机器人', '马拉松', '人形机器人', '跑马', '机器', '赛事', '比赛', '赛道', '运动']","['机器人说这马拉松那么长 谁爱跑谁跑', '机器人还有马拉松', '啊 机器人马拉松比赛？']"
10,332,10_轮子_更快_更稳_轮胎,"['轮子', '更快', '更稳', '轮胎', '不长', '坐轮椅', '上不去', '搞不定', '不比', '更好']","['轮子不是更快吗？为啥要手，脚的', '俺俩轮子跑的更快[微笑R]', '轮子不更快']"
11,308,11_比赛_参赛_这比_大赛,"['比赛', '参赛', '这比', '大赛', '观赛', '赛制', '有意义', '这场', '参赛选手', '有意思']","['这比赛的意义是什么[笑哭R]', '这是比谁的尸块多比赛[笑哭R]', '比不比赛了还[笑哭R]哈哈哈哈光饭撒了']"
12,300,12_电池_续航_电池容量_换电池,"['电池', '续航', '电池容量', '换电池', '电量', '充电', '费电', '有电', '没电', '断电']","['比电池续航呗[捂脸R]', '比电池续航吗？', '比的是电池续航吧[捂脸R]']"
13,296,13_科技进步_高科技_科技_技术,"['科技进步', '高科技', '科技', '技术', '进步', '突飞猛进', '科学', '先进', '科研', '越来越']","['科技的进步', '科技科技', '我去，科技发展这么快']"
14,248,14_理解_看不懂_了解_解释,"['理解', '看不懂', '了解', '解释', '明白', '认识', '解答', '道理', '清楚', '阅读']","['可能不需要你理解[笑哭R]', '哎呦plq说不理解的你就不理解着吧也别理解了理解不了的，你老了我卖你保健品一卖一个准', '理解不了']"
15,232,15_马拉松_跑步_赛事_锻炼,"['马拉松', '跑步', '赛事', '锻炼', '比赛', '运动', '不止', '参加', '中途', '费劲']","['马拉松都有这个，记时用的', '马拉松已经走火入魔[笑哭R]', '狗屁马拉松松，这不是跑！这是走！']"
16,214,16_ai_人工智能_智能_哪个,"['ai', '人工智能', '智能', '哪个', '识别', '说不定', '具身智能', '大脑', '生成', '一堆']","['哈哈哈哈哈哈哈哈，AI易碎品[doge]', '以后会不会有ai奥义[doge][doge][自拍R]', 'ai太强大了']"
17,212,17_奶瓶_有奶_喝奶_喝口奶,"['奶瓶', '有奶', '喝奶', '喝口奶', '吃奶', '我奶', '奶嘴', '还拿个', '可爱', '奶粉']","['手拿着奶瓶[偷笑R]', '不是怎么还有拿着奶瓶的小土豆', '笑死了小个儿的还拿个奶瓶[笑哭R]']"
18,205,18_有何意义_有意义_意义_没意义,"['有何意义', '有意义', '意义', '没意义', '干嘛', '意思', '有人', '毫无意义', '活着', '玩意']","['我觉得以后人的意义是什么[笑哭R]', '有什麼意义', '不是外国货，这么做意义是什么？[doge]']"
19,188,19_外卖_送餐_机器人_配送,"['外卖', '送餐', '机器人', '配送', '这送', '美团', '快递', '玩意', '打到', '加钱']","['外卖机器人🤖', '哦靠，外卖都用机器人送吗？', '送外卖快，还带声响的']"
20,183,20_鞋子_穿鞋_太大_太重,"['鞋子', '穿鞋', '太大', '太重', '挺大', '这大', '运动鞋', '双鞋', '没穿', '脚上']","['孩子鞋子太大了[皱眉R]', '谁给孩子穿那么大的鞋子[失望R][失望R]', '給孩子換雙輕便一點的鞋子吧[捂脸R]']"
21,179,21_三人_机器人_三个_机器人三定律,"['三人', '机器人', '三个', '机器人三定律', '三四个', '机器', '多人', '伺候', '十来个', '几个']","['一个机器人，配三个伺候的', '一个机器人三个人伺候', '一个机器人三个人伺候[doge]']"
22,175,22_可爱_很萌_好萌_小可爱,"['可爱', '很萌', '好萌', '小可爱', '太萌', '挺好玩', '这小', '喜欢', '小小的', '蠢萌']","['唔西迪西好可爱[偷笑R]', '两小只太可爱了', '比拉布布还可爱[doge]']"
23,163,23_养老_你老_照顾_防老,"['养老', '你老', '照顾', '防老', '没活', '退休', '指望', '怎么办', '不够', '买个']","['这样我还怎么养老', '还能给我养老吗？我47了', '我等着它给我养老呢 可别唱衰']"
24,163,24_机器人_养老_老龄化_老人,"['机器人', '养老', '老龄化', '老人', '养老院', '老年人', '老年', '伺候', '能用', '照顾']","['养老型机器人', '以后养老机器人也能这么快吗？', '以后养老靠机器人感觉很有希望了']"
25,159,25_短腿_腿短_这腿_小腿,"['短腿', '腿短', '这腿', '小腿', '这小', '太短', '小脚', '短手', '小个子', '大腿']","['小短腿倒腾的……', '这小短腿其实倒腾挺快的[笑哭R][笑哭R]', '这小短腿，紧着倒腾']"
26,158,26_还跟着_跟着_有人_人要,"['还跟着', '跟着', '有人', '人要', '跑动', '乱跑', '人多', '跑跑步', '背着', '跑步']","['人也要跟着跑啊[笑哭R]', '人也跟着跑？', '人还得跟着跑？']"
27,154,27_去年_上年_进步_飞速发展,"['去年', '上年', '进步', '飞速发展', '昨年', '今年', '前年', '显著', '厉害', '明显']","['比去年进步很多，让人叹为观止[点赞R][点赞R][点赞R]', '比去年可进步多了', '哈哈哈哈哈哈哈去年也是这么说的，去年也很拉胯，一年了没有丝毫进步']"
28,149,28_补贴_国家补贴_补助_骗补,"['补贴', '国家补贴', '补助', '骗补', '到手', '骗钱', '拉赞助', '拿到', '掏钱', '融资']","['人控制，都是骗补贴的', '马扁补贴', '骗补贴骗投资']"
29,148,29_机器人_轮子_机器_车子,"['机器人', '轮子', '机器', '车子', '机器狗', '轮胎', '四轮', '不稳', '轱辘', '轮式']","['有轮子那还叫机器人吗？', '因为机器人啊～～～～，有轮子的是车～～～～', '这是机器人～～～～，有轮子的是车～～～～～']"
30,148,30_荣耀_华为_第一名_牌子,"['荣耀', '华为', '第一名', '牌子', '第一', '官方', '厉害', '手机', '擅长', '夺冠']","['荣耀荣耀，天下第一', '荣耀是最像人的', '荣耀赞赞的']"
31,148,31_低血糖_头晕_累晕_晕倒,"['低血糖', '头晕', '累晕', '晕倒', '站不稳', '迷糊', '晕厥', '喝点', '缺氧', '低电压']","['66号低血糖了', '039也低血糖', '有点低血糖，站不太稳']"
