topic,top_terms,size
0,"机器人, 人形, 这些, 马拉松, 比赛, 为什么, 自主, 汽车, 做成, 一下, 机器狗, 这样, 机械, 耐克, 知道",361
1,"可爱, 小机器人, 小鼻嘎, 东西, 小小的, 果然, 这小, 小孩儿, 鲁班, 声音, 奶嘴, 起来, 好玩, 妈呀, 小朋友",86
2,"镜头, 一转, 语言, 转过, 斯皮尔伯格, 艺术, 转到, 真是, 出声, 本来, 含金量, 旁边, 这里, 不行, 不住",81
3,"地上, 坐在, 没人管, 低血糖, 转过, 一下, 看起来, 跑不动, 出现, 一转, 摆烂, 比赛, 跑步, 耍赖, 不住",143
4,"奶瓶, 小机器人, 奶嘴, 小鼻嘎, 拿个, 还拿个, 手上, 小家伙, 脖子, 挺快, 最好, 手里, 宝宝, 安抚, 看见",137
5,"真的, 不行, 好像, 低血糖, 这样, 这些, 看起来, 小派, 竟然, 大家, 没招, 笑鼠, 穿鞋, 春晚, 好看",101
6,"小孩, 不行, 第一, 汽车, 人类, 精力旺盛, 跑步, 区别, 为什么, 还拿个, 好玩, 好像, 只能, 有人, 一步",102
7,"人, 机器, 评论, 遥控, 马拉松, 人类, 人形机器人, 四个, 为什么, 一样, 人形, 一群, 里面, 汽车, 轮子",248
8,"最后, 原来, 小机器人, 确实, 哪个, 请问, 没人, 最好, 发脾气, 那儿, 不住, 台阶, 镜头, 主角, 出声",50
9,"赛跑, 龟兔, 小鼻嘎, 后面, 表演, 结果, 前面, 意思, 一直, 停下来, 果然, 发展, 遥控, 程序员, 好玩",44
10,"搞笑, 也好, 不行, 评论, 视频, 小孩儿, 画面, 知道, 这小, 受不了, 今天, 哎哟, 周围, 一转, 只有",99
11,"好笑, 不行, 视频, 坐下, 转到, 一直, 没招, 比人, 各有, 这些, 那儿, 这里, 开始, 没想到, 镜头",51
