帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic,topic_prob
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e4611b000000001401882a,69e45f74000000001401bc0a,60d47289000000000100365c,为了更适配人类生活工作的环境，比如你家里的服务机器人，四个轮子到处跑？,2026.04.19,天津,3.0,,35,中性|观众,中性,观众,13,中性,0,0.9193157309762121
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e9a872000000001401b824,69e45f74000000001401bc0a,58f723086a6a6942bc61c01f,要适应人类各种工作生活环境，比如上楼梯，轮子咋上[笑哭R],2026.04.23,上海,0.0,,29,中性|观众,中性,观众,9,中性,0,0.8848698940523174
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e59935000000001401c01a,,5d2869290000000012028214,我知道让机器人跑马拉松有什么意义？机器人不是本来就应该比人跑得快么[笑哭R]而且他不会累啊,2026.04.20,黑龙江,0.0,2.0,45,中性|观众,中性,观众,8,中性,0,0.8843866403244697
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e4d2ee0000000014019425,69e45f74000000001401bc0a,5e1855d20000000001005ceb,有啊，比如救火那种环境变化多端，轮子再快也过不去呀，问就是障碍太多还会变化，回来改装也来不及了，而人型没有这方面，虽然不快，但它绝对是消防员的好伙伴[捂脸R][捂脸R][捂脸R],2026.04.19,浙江,0.0,,89,中性|观众,中性,观众,22,中性,0,0.8843706048849863
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e459f8000000001401bc0f,,60dd9877000000000101c57c,看机器人跑步，总有一种想上去扶一把的冲动，全都是踉踉跄跄要摔倒的样子[失望R],2026.04.19,天津,0.0,0.0,39,中性|观众,中性,观众,11,中性,0,0.883336341663798
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e46f0f000000001401d82f,69e45f74000000001401bc0a,5fcce8ad000000000100241f,四个轮子的没法爬楼梯，机器人有关节未来才能做更复杂的操作，我老了还指望他们照顾我呢[暗中观察R],2026.04.19,上海,7.0,,48,中性|观众,中性,观众,12,中性,0,0.8829769940598285
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e4fd04000000001401b800,69e45f74000000001401bc0a,5c1afb26000000000701bc55,人形机器人的目的不是跑步，跑步只是一种测试手段,2026.04.20,广西,0.0,,23,中性|观众,中性,观众,8,中性,0,0.8665868912029693
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e4a2d70000000014019005,69e45f74000000001401bc0a,5b12a8516b58b708877a23d8,因为机器人不只是为了跑步哎 比如轮就没法上楼,2026.04.19,上海,0.0,,22,中性|观众,中性,观众,7,中性,0,0.8660795569965343
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e5f147000000001401cc08,69e45f74000000001401bc0a,56355c2b0bf90c754d3cda92,有的啊，工业机器人就是那种，这是服务型机器人，还有送外卖的。扫地机器人不都是轮子滑行吗,2026.04.20,辽宁,0.0,,43,中性|观众,中性,观众,10,中性,0,0.8644405042624863
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e508b7000000001401940a,69e4761a0000000014019c12,5debbb750000000001005e29,发出哟哟哟的时候好像看到了一个垂暮老人在跑步的心酸感…,2026.04.20,上海,0.0,,27,中性|观众,中性,观众,6,中性,0,0.8389980414385255
