topic,top_terms,size
0,"机器人, 服务, 人类, 为什么, 伺候, 外卖, 加油, 三个, 个人, 需要, 云南白药, 补给, 人形, 发展, 站不稳",2750
1,"人, 三个, 伺候, 机器, 需要, 服务, 一样, 最后, 很多, 機器, 元气, 为了, 一群, 真的, 补给",1412
2,"遥控, 自主, 玩具, 还要, 导航, 赛车, 今年, 区别, 需要, 1.2, 智能, 组和, 成绩, 两个, 时间",724
3,"降温, 润滑, 干冰, 关节, 换电池, 喷雾, 冰块, 还要, 电机, 物理, 需要, 加冰, 换电, 电池, wd40",895
4,"跑步, 姿势, 为了, 一样, 人类, 摆臂, 元气, 站不稳, 只是, 测试, 最后, 知道, 跳舞, 走路, 需要",1352
5,"马拉松, 程序员, 去年, 比赛, 今年, 人类, 参加, 速度, 进步, 人形机器人, 测试, 要求, 为了, 真的, 发展",1758
6,"跟着, 遥控器, 后面, 程序员, 一起, 工作人员, 一直, 全程, 工程师, 还要, 是不是, 人要, 控制, 几个, 个人",885
7,"轮子, 赛车, 比赛, 汽车, 为什么, 更快, 人形, f1, 地形, 四个, 人形机器人, 机器, 换成, 不行, 复杂",2553
8,"意义, 何在, 哪里, 东西, 知道, 评论, 人类, 这有, 活着, 这样, 比赛, 明白, 机器人马拉松, 需要, 战场",1533
9,"冰块, 散热, 后面, 问题, 电池, 背后, 干冰, 背包, 不行, 润滑剂, 人类, 后背, 背着, 为了, 换电",970
