topic,top_terms,size
0,"机器人, 这些, 马拉松, 鼓掌, 春晚, 未成年, 未来, 宇树, 视频, 嘲笑, 打人, 开始, 跑步, 越来越, 发展",630
1,"可爱, 小小的, 宝宝, 东西, 小朋友, 帽子, 小鼻嘎, 果然, 小时候, 小派, 苍蝇, 小孩, 蚊子, 长得, 小玩意儿",224
2,"孩子, 太大, 鞋子, 是不是, 喷点, 心血, 参加, 心疼, 宝宝, 视频, 自家, 黢黑, 不错, 长大, 工程师",189
3,"真的, 这样, 红领巾, 解说, 感动, 过去, 厉害, 突然, 不行, 你家, 好笑, 小腿, 很棒, 算了, 音乐",152
4,"人类, 跑步, 马拉松, 一样, 未来, 比赛, 代替, 成绩, 淘汰, 服务, 肯定, 意义, 历史, 这小, 行为",234
5,"荣耀, 厉害, 第一个, 宇树, 手机, 冠亚, 六名, 包揽, 华为, 撞线, 闪电, 是不是, 季军, 一样, 视频",180
6,"人, 机器, 一样, 为什么, 东西, 控制, 机械, 跑步, 马拉松, 云南白药, 小小的, 人形, 研究, 一下, 很多",473
7,"奶瓶, 喜欢, 还拿个, 宝宝, 最后, 奶嘴, 手里, 小派, 小机器人, 手上, 两个, 第一个, 第一, 人家, 倒数",251
8,"搞笑, 这些, 解说, 保安, 为什么, 一脚, 看热闹, 大爷, 马拉松, 第一, 视频, 比赛, 那些, 大赛, 第一个",259
9,"降温, 喷雾, 屁股, 防晒, 还要, 电机, 过热, 一下, 需要, 以为, 喷点, 估计, 关节, 是不是, 马拉松",311
10,"遥控, 自主, 玩具, 以为, 好像, 第一个, 小朋友, 控制, 组和, 知道, 撞线, 意识, 后面, ai, 遥控器",282
11,"鲁班, 七号, 好像, 参加, 马拉松, 短腿, 第一, 倒数, 这小, 似的, 这样, 有点像, 步伐, 皮肤, 智商",221
