Topic,ctfidf_top_terms
0,"机器人,马拉松,三个,跑步,人类,机器,服务,比赛,伺候,需要,意义,发展,机器人马拉松,测试,ai"
1,"跑步,姿势,膝盖,最后,跟着,站不稳,八步,赶蝉,低血糖,起来,停下来,后面,三个,一样,速度"
2,"降温,冰块,散热,干冰,润滑,电池,wd40,云南白药,换电池,喷雾,关节,加冰,冷却,以为,润滑剂"
3,"意义,亦庄,评论,鸵鸟,诡异,加油,当个,东西,搞笑,有意义,知道,真的,事儿,活着,真是"
4,"人形,轮子,机器人,人形机器人,地形,人类,机器,设计,复杂,为什么,工具,做成,机器狗,为了,适应"
5,"轮子,f1,赛车,汽车,更快,马拉松,跑步,比赛,驾驶,马车,开车,意义,自动,四个,换成"
6,"去年,进步,发展,今年,科技,技术,一年,比赛,测试,速度,太快,进化,明年,美国,中国"
7,"遥控,遥控器,跟着,自主,玩具,程序员,工程师,控制,全程,后面,操控,荣耀,机器人,工作人员,遥控车"
8,"战场,终结者,无人机,人类,打仗,玩意,战争,要是,炸弹,救援,ai,炸药包,未来,巷战,机器人"
9,"外卖,快递,伺候,补给,三个,背着,取代,上班,岗位,失业,替代,代替,工作,小哥,人类"
