Topic,Count,Name,Representation,Representative_Docs
0,2709,0_机器人_机器人马拉松_人形机器人_机器,"['机器人', '机器人马拉松', '人形机器人', '机器', '机器狗', '有人', '机械', '为什么', '是不是', '更快']","['能不能重现一下余树机器人🍃🅱️', '机器人要吃水吗？[失望R]', '你猜机器人为啥叫机器人']"
1,2375,1_科技进步_有人_太快_真快,"['科技进步', '有人', '太快', '真快', '有意义', '有意思', '进步', '好笑', '好玩', '很快']","['科技在进步，晚点它就会干很多事了', '进步太快了 去年还得跟着三个人呢[笑哭R]', '科技发展进步你这种人是不理解的']"
2,2277,2_跑不过_跑得快_跑步_姿势,"['跑不过', '跑得快', '跑步', '姿势', '站不稳', '跑鞋', '站不住', '追不上', '走路', '踉跄']","['跑步姿势不对伤膝盖', '有一个姿势很像人跑步了', '跟我喝醉酒的跑步姿势一样']"
3,1711,3_降温_冰块_加冰_冷却,"['降温', '冰块', '加冰', '冷却', '发热', '过热', '温度', '干冰', '水冷', '冰袋']","['直接倒冰块降温啊[呃R]', '倒的是冰块吗？降温？', '冰块降温 怕烧了']"
4,1401,4_跟着_跟不上_马拉松_跑步,"['跟着', '跟不上', '马拉松', '跑步', '后面', '程序员', '参加', '一起', '参赛', '程序']","['后面的程序员是不是也要跟着跑[笑哭R][笑哭R]', '程序员跟着后面跑？', '程序员马拉松']"
5,1388,5_地形_人形_无人机_复杂,"['地形', '人形', '无人机', '复杂', '为什么', '人形机器人', '形状', '战场', '玩意', '人型']","['那俄乌战场无人机背的是什么', '[笑哭R]因为不是人形你也不感兴趣啊', '复杂地形才不适合人形']"
6,1248,6_轮子_有轮_更快_轮胎,"['轮子', '有轮', '更快', '轮胎', '速度', '赛车', '比赛', '轮椅', '更好', '开车']","['轮子不更快', '有轮子那叫赛车。', '因为有轮子的不叫跑步，叫赛车[笑哭R][笑哭R][笑哭R]']"
7,875,7_机器人_外卖_机器_送餐,"['机器人', '外卖', '机器', '送餐', '伺候', '人工', '多人', '侍候', '保姆', '洗碗机']","['外卖机器人🤖', '以后会不会机器人送外卖', '以后机器人送外卖']"
8,794,8_遥控_遥控车_遥控器_跟不上,"['遥控', '遥控车', '遥控器', '跟不上', '有人', '监控', '操控', '跟着', '自动', '控制']","['遥控人[笑哭R][笑哭R]', '所以还是遥控的[捂脸R]还得人陪着跑', '遥控的人跑死掉']"
9,54,9_元气_仔好帅_最像_仔好,"['元气', '仔好帅', '最像', '仔好', '仔跑', '最帅', '人气', '人扮', '真人', '好看']","['元气仔很像人啊', '元气仔最像人[派对R]', '元气好丝滑']"
