Topic,Count,Name,Representation,Representative_Docs
0,5937,0_机器人_小机器人_人形机器人_机器人马拉松,"['机器人', '小机器人', '人形机器人', '机器人马拉松', '机器', '机器狗', '机械', '人类', '人形', '智能']","['机器人它就是机器人，别瞎胡闹了', '机器人也爱吃棒冰啊[偷笑R]', '机器人特奥会哈哈哈']"
1,3805,1_跑不动_跑步_跑不过_跑得快,"['跑不动', '跑步', '跑不过', '跑得快', '姿势', '跑鞋', '站不稳', '走路', '步伐', '步态']","['哈哈哈哈，章跑步就这个姿势', '跑步姿势笑死', '和田曦薇的跑步姿势很像']"
2,3215,2_可爱_好笑_有趣_好玩,"['可爱', '好笑', '有趣', '好玩', '好看', '喜欢', '好好笑', '小小的', '有意思', '搞笑']","['真的好可爱[派对R]', '真的诶，好可爱啊，心都化了', '小奶瓶太可爱啦[哇R]']"
3,3152,3_有意义_干嘛_意义_为什么,"['有意义', '干嘛', '意义', '为什么', '有人', '没用', '为了', '活着', '玩意', '价值']","['这样有什么意义', '有什麼意义', '我觉得以后人的意义是什么[笑哭R]']"
4,2312,4_降温_发热_过热_高温,"['降温', '发热', '过热', '高温', '太热', '加冰', '温度', '冷却', '喝点', '中暑']","['笑死我了给ka降温', '我要化了，快降温', '加冰块降温啊']"
5,1968,5_轮子_轮胎_更快_速度,"['轮子', '轮胎', '更快', '速度', '机器', '轮椅', '赛车', '轮式', '比赛', '机器人']","['有轮子那是比跑步吗？那是赛车', '人形才叫跑步，轮子那叫赛车', '这是机器人～～～～，有轮子的是车～～～～～']"
6,1909,6_程序员_马拉松_跑步_程序,"['程序员', '马拉松', '跑步', '程序', '跟不上', '代码', '跟着', '比赛', '追不上', '参加']","['招程序员，要求能跑马拉松的', '程序员马拉松', '程序员都在跟着跑步[点赞R]']"
7,1810,7_ai_人工智能_智能_玩意,"['ai', '人工智能', '智能', '玩意', '出现', '人工', '机器人', '算法', '玩意儿', '很快']","['哈哈哈哈哈哈哈哈，AI易碎品[doge]', '以后会不会有ai奥义[doge][doge][自拍R]', '我的ai什么时候涨涨']"
8,1572,8_去年_今年_昨年_这次,"['去年', '今年', '昨年', '这次', '之前', '以前', '进步', '一年', '太快', '参加']","['宇树没有干过荣耀？', '感觉比去年进步很多了！', '今年的比去年的快多了。']"
9,1131,9_遥控_遥控器_遥控车_遙控,"['遥控', '遥控器', '遥控车', '遙控', '玩意', '监控', '机器人', '有人', '失控', '操控']","['遥控组那俩跑的好淑女', '这颗是遥控的？[偷笑R]', '这是遥控的还是自主的呀']"
