Topic,ctfidf_top_terms
-1,"ai,人类,加油,评论,亦庄,可爱,真的,膝盖,跑步,终结者,一样,最后,诡异,速度,知道"
0,"机器人,轮子,人形,人类,机器,人形机器人,马拉松,比赛,汽车,跑步,需要,为什么,战场,地形,服务"
1,"降温,散热,冰块,干冰,电池,润滑,wd40,云南白药,换电池,喷雾,关节,加冰,冷却,润滑剂,电机"
2,"意义,好笑,搞笑,真的,镜头,视频,地上,好好笑,一转,评论,不行,活着,理解,有意思,一下"
3,"遥控,遥控器,自主,玩具,跟着,控制,荣耀,遥控车,后面,导航,操控,机器人,区别,自动,1.2"
4,"科技,发展,技术,进步,国家,科技进步,投资,过程,东西,公司,时代,美国,中国,先进,产品"
5,"摔倒,绊倒,随时,骨折,一块,一秒,一地,粉碎性,稀碎,跪下,碎成,粉身碎骨,好怕,一下,一步"
6,"跑步,姿势,最后,起来,样子,两个,这样,一样,第四个,好看,最好,最像,跑不动,最快,好像"
7,"120,救护车,抢救,机器人,医生,救人,心肺,复苏,人工呼吸,医院,急救,以为,最后,急救车,旁边"
8,"去年,进步,今年,一年,明年,好多,进化,记得,昨年,太多,健步如飞,太快,很大,速度,真快"
9,"可爱,小小的,小孩,孩子,果然,东西,喜欢,真的,小孩儿,小朋友,宝宝,小可爱,好萌,小孩子,小家伙"
10,"程序员,工程师,跟着,代码,马拉松,累死,程序,终于,全程,操作员,后面,技术员,心疼,一起,今年"
11,"外卖,快递,小哥,失业,满大街,超时,机器人,取代,送餐,用来,不用,这送,驿站,配送,是不是"
12,"跟着,一起,三个,人要,后面,几个,全程,个人,一直,旁边,还跟着,有人,是不是,厉害,辛苦"
13,"奶瓶,奶嘴,可爱,脖子,断奶,还拿个,吃奶,安抚,手里,手上,喝奶,宝宝,小孩,喝口奶,牛奶"
14,"鞋子,跑鞋,孩子,穿鞋,太大,穿着,耐克,一双,双鞋,穿个,大人,小孩,脚底板,脚上,运动鞋"
15,"马拉松,测试,跑步,意义,参加,人类,目的,只是,情况,为了,有些,干嘛,活动,半马,比赛"
16,"短腿,腿短,倒腾,这小,小腿,太短,挺快,重心,以下,跑得慢,大长,事实证明,输在,人家,跑得快"
17,"低血糖,头晕,缺氧,晕倒,赶紧,停下来,明显,两下,缓缓,往后,站不稳,高个,一模一样,地上,不足"
18,"比赛,选手,参赛,参加,这位,意义,其他,多练,象棋,成绩,以赛,争取,而已,观赛,资格"
19,"担架,抬担架,抬走,扫把,拿个,单架,扫帚,塑料袋,垃圾桶,搞笑,多余,过来,还用,确实,簸箕"
