Topic,ctfidf_top_terms
-1,"机器人,跑步,机器,人类,地形,一样,为什么,轮子,比赛,为了,这些,速度,东西,发展,起来"
0,"遥控,遥控器,自主,玩具,跟着,遥控车,导航,区别,控制,后面,1.2,操控,自动,智能,全程"
1,"马拉松,机器人马拉松,机器人,跑步,测试,比赛,意义,视频,参加,技术,去年,今年,是否,为了,只是"
2,"冰块,干冰,降温,加冰,散热,后面,背后,水冷,液冷,背包,后背,冷却,冷却液,制冷,风扇"
3,"战场,打仗,炸药包,玩意,炸弹,火场,敌人,要是,消防员,冲锋,救援,救人,巷战,战争,武器"
4,"去年,进步,今年,一年,太快,记得,明年,好多,健步如飞,昨年,真快,太多,第一届,速度,半身不遂"
5,"轮子,更快,四个,换成,地形,轱辘,复杂,轮椅,路面,两条腿,方便,楼梯,螺旋桨,脚底,适应"
6,"科技,发展,科技进步,进步,技术,先进,越来越,中国,美国,过程,时代,一步,落后,一步步,国内"
7,"服务,机器人,养老,人类,伺候,维护,照顾,工作,失业,替代,普通人,就业,保姆,人来,挣钱"
8,"站不稳,停下来,几步,停下,站不住,往后,重心,两步,后退,不稳,跪下,好像,大点,孩子,上身"
9,"外卖,快递,小哥,失业,超时,满大街,送餐,取代,驿站,这送,用来,迟早,饭碗,危险,压力"
10,"人形机器人,设计,人形,工具,人类,社会,所有,设施,适配,机器,世界,各种,做成,适应,现有"
11,"电池,换电池,续航,没电,换电,充电,一块,电力,只要,有电,下来,费电,电池容量,电量,比拼"
12,"三个,个人,伺候,就业,服务,机器人,岗位,服侍,侍候,一台,需要,真人,保姆,活人,带动"
13,"跟着,三个,一起,人要,几个,全程,后面,伺候,个人,一直,还要,厉害,是不是,还跟着,有人"
14,"汽车,驾驶,自动,无人驾驶,新能源,电动车,恭喜,那不就,电瓶车,无人,有轮,没见,发明,轮子,电车"
15,"工程师,程序员,跟着,工作人员,全程,操作员,代码,一起,终于,技术人员,马拉松,保障,码农,累死,一路"
16,"轮子,变形金刚,人形,两条腿,移动,做成,更快,奔跑,机器人,机器,非要,汽车,明明,为什么,变形"
17,"搞笑,好笑,可爱,莫名,看着,好好笑,ha,好玩,为什么,啊哈,怎么回事,不行,嘎嘎,开心,真的"
18,"f1,进站,赛车,换胎,轮胎,法拉利,方程式,那样,有种,既视感,赛博,维修站,方程式赛车,味儿,太慢"
19,"意义,活着,这有,何在,哪里,存在,没意义,明白,有意义,评论,除了,到底,问有,总会,任何"
20,"认知,理解,张嘴,局限,质疑,看不懂,回答,不了,思维,知识,闭嘴,自问自答,说话,问题,看得出来"
21,"换电池,降温,电机,换电,加冰,润滑,电池,冷却,冰块,润滑剂,温度,润滑油,散热,干冰,补电"
22,"比赛,测试,极限,耐用性,性能,技术,稳定性,可靠性,考验,而已,验证,参赛,意义,其他,项目"
23,"wd40,男人,香水,wd,润滑,40,润滑剂,除锈,关节,喷涂,w40,干燥,制冷,默认,反复"
24,"配速,速度,多少,时速,分钟,挺快,超速,一阵风,手速,50,喘气,真快,不带,48,超级"
25,"云南白药,气雾剂,喷雾剂,云南,喷剂,跌打损伤,酸痛,防止,白藥,雲南,消肿,红药,压缩饼干,神药,肌肉"
26,"姿势,跑步,脚后跟,这样,大哥,起来,好好笑,一样,样子,按照,丫头,老公,说行,陶喆,重跑"
27,"伺候,三个,保姆,照顾,养老,大爷,好好,还要,三人,侍候,离不开,多人,退休,手指,服侍"
28,"终结者,t800,t1000,超能,查派,到来,很快,电影,进化,不远,800,参考,液态,六部,此事"
29,"亦庄,鸵鸟,义庄,神奇,几天,马路上,无人驾驶,地方,古代,前两天,真是,大街,白天,北京,名字"
30,"降温,发热,物理,方式,问题,朴素,解决,过热,难题,需要,还要,出汗,朴实无华,中暑,看来"
31,"降温,机器人,喝水,过热,问题,运动,中暑,散热,裆部,导致,高温,材料,长时间,喷雾,冰淇淋"
32,"人形,做成,其他,形态,为什么,磁力,成人型,执着,武器,用人,一定,更好,训练,现成,选择"
33,"马拉松,测试,刘翔,跑步,只是,意义,有些,为了,活动,不早,几十公里,承认,情况,人有,目的"
34,"战场,战争,未来,敌人,未来战士,打仗,机器人,自爆,合成,城市,想想,填线,消防员,炸弹,救火"
35,"裤裆,裆部,对着,人家,一直,部位,隐私,那里,jj,一顿,前列腺,私密,喷裆,弟弟,一阵"
36,"散热,问题,系统,人体,cpu,解决,不行,方式,淳朴,金刚石,固态,死机,过热,最大,外壳"
37,"降温,喷雾,丁烷,打火机,压缩空气,喷出来,快速,气体,夏天,二氧化碳,关节,摩擦,清凉,石油气,液化"
38,"一口,吃饱,胖子,吃成,口罩,馒头,放屁,汤饭,憋不住,吃饭,撑得,太饱,厕所,不吃,干嘛"
39,"轮子,赛车,跑步,比赛,有轮,赛道,轮滑,那些,汽车,那不就,赛好,装轮儿,賽車,motogp,脚才"
40,"晚上,吓人,恐怖,大半夜,没头,半夜,吓死,遇到,玩意,无头,玩意儿,诡异,路上,回魂夜,梅根"
41,"赛车,比赛,那不就,那特,赛马,摩托车,区别,不拿个,看赛,一样,名称,幽默,叫做,头脑,频道"
42,"膝盖,钛合金,膝关节,没事,保护,做手术,半月板,人家,置换,免费,髋关节,金属,不动,不怕,注意"
43,"最后,第四个,好看,最好,两个,最快,前倾,姿势,最像,坐地,第一第二,黑色,跑步,真人,符合"
44,"补给,太慢,扣分,补给点,停下,自动,中途,一边,1300,不补会,真弱,ms,補給,补给舰,自助餐"
45,"润滑,润滑油,关节,润滑剂,部位,以为,除锈剂,筋骨,磨损,红花油,连接,之类,半月板,轴承,摩擦"
46,"最后,姿态,第二个,第三个,姿势,最好,最像,队长,小宝,体态,最牛,蜻蜓,铁甲,好像,正常"
47,"低血糖,两下,往后,头晕,太像,晕倒,赶紧,快快,站不稳,两步,停下来,明显,似的,停下,上料"
48,"防晒,喷雾,花露水,防晒霜,防蚊,蚊子,晒黑,蚊虫,驱蚊,讲究,喷点,还要,隔绝,阴天,避雷"
49,"人类,造物主,地球,星球,进化,物种,外星,真牛,生物,统治,严重,星际,想起,哪个,终将"
50,"补给,牛马,补给站,吃饭,看病,机器人,没电,电池,换成,安装,改成,为什么,机器,要不了,超量"
51,"马车,火车,汽车,飞机,发明,蒸汽机,当年,嘲笑,质疑,当时,第一架,马车夫,蒸汽机车,巴黎,两百年"
52,"投资,圈钱,股票,上市,国家补贴,经费,东西,有钱人,折腾,公司,流量,骗钱,为了,融资,多少钱"
53,"一脚,真怕,地上,地板,摔倒,好怕,砖头,有块,勾拳,踢死,绊倒,它会,还好,我怕,一块"
54,"八步,赶蝉,疾走,三步,学会,马步,来个,赶蝉式,练舞,绝技,超低,赶蚕,赶蝉法,盗用,老祖宗"
55,"站不稳,累得,站不住,累着,受不了,机器人,不行,往后,牛马,要累,站定,裹挟,苦多,血肉,摔倒"
56,"ai,大脑,阿巴,坏话,您好,小脑,智能,你好,确定,具身智能,人工智能,硬件,逝水,高估,长江"
57,"摆臂,摆动,陀螺仪,胳膊,双臂,平衡,手臂,跑步,需要,那得,摆手,为什么,保持平衡,其实,是不是"
58,"岗位,增加,就业,失业,提供,创造,三个,工作岗位,2000,新生儿,过剩,工作,全国,数量,助理"
59,"加油,听得懂,听见,听懂,对着,冲着,机器人,观众,有人,快点,难以置信,95,群演,汽油,说好"
60,"评论,神人,经典,匪夷所思,真多,力竭,区里,质疑,语气,神评,鸽们,酸麻,集合,个球,人格"
61,"无人机,信号,空中,树林,光纤,近距离,室内,穿越,坦克,进入,大赛,巷战,无人,飞过来,fpv"
62,"代替,取代,替代,准备,替换,为了,量身,筛选,這資格,岗位,导游,派上用场,说到底,根本无法,样子"
63,"上班,背着,上下班,骑着,想买,是不是,小时,两分钟,上下学,不肯,能否,脚痛,腰酸,两班,不到"
64,"加油,听懂,加电,听得懂,人喊,王者,say,越多越好,不喊,hahahha,雷霆,鼓舞,em,能看懂,罗伯特"
65,"追不上,跑不过,造反,逃犯,逃不掉,不过,开车,追上,我要,怎么办,要是,罪犯,电磁炮,逃掉,俘虏"
