method,topic,size,share,top_terms
tfidf_nmf,11,4661,0.3884166666666667,"这个, 一个, 不是, 可以, 个人, 石化, 是不, 个机, 就是, 这么, 降温, 三个, 感觉, 还有, 怎么"
tfidf_nmf,0,2047,0.17058333333333334,"哈哈, 了哈, 啊哈, 哈好, 哈我, 哈笑, 好笑, 哈这, 我也, 搞笑, 哈太, 笑哈, 好玩, 120, 笑了"
tfidf_nmf,2,1018,0.08483333333333333,"机器, 器人, 的机, 个机, 是机, 马拉, 拉松, 人形, 人跑, 人也, 人的, 以后, 形机, 人类, 是人"
tfidf_nmf,1,783,0.06525,"笑哭, 哭了, 搞笑, 直接, 怎么, 还有, wd40, 上了, 了吗, 不能, 开心, 担架, 看着, 停下, 感觉"
tfidf_nmf,9,746,0.06216666666666667,"什么, 意义, 为什, 有什, 是什, 么意, 马拉, 拉松, 义是, 的意, 跑马, 么不, 么要, 人跑, 时候"
tfidf_nmf,5,567,0.04725,"doge, 白药, 南白, 云南, wd40, 可以, 你是, 鲁班, 汽车, 怎么, 防晒, 这就, 你的, 有点, 膝盖"
tfidf_nmf,10,467,0.03891666666666667,"遥控, 控器, 控的, 是遥, 着跑, 跟着, 自主, 控机, 玩具, 控玩, 个遥, 还是, 着遥, 拿遥, 后面"
tfidf_nmf,6,425,0.035416666666666666,"偷笑, 防晒, f1, 奶瓶, 还是, 也是, 血糖, 低血, wd40, 一下, 怎么, 已经, 好像, 好玩, 电了"
tfidf_nmf,3,408,0.034,"捂脸, 还要, 真的, 还有, 加冰, 散热, 冰块, 稀碎, 来了, 还是, 腿短, 感觉, 大的, 你们, 搞笑"
tfidf_nmf,8,398,0.033166666666666664,"可爱, 好可, 爱了, 小的, 太可, 那个, 的好, 个小, 爱啊, 个好, 小黑, 小小, 派对, 这个, 真的"
tfidf_nmf,7,285,0.02375,"笑死, 死我, 我了, 死了, 我笑, 要笑, 了哈, 那个, 我要, 不行, 镜头, 死人, 的笑, 地上, 行了"
tfidf_nmf,4,195,0.01625,"momo, 猫猫, 牛马, 打工, 见过, 有趣, 我是, 赞, 小黑, 看看, 不同, 尬住, 天才, 好笑, 同学"
