Topic,ctfidf_top_terms
0,"机器人,人类,人形机器人,机器,中国,马拉松,就业,为什么,技术,公司,跑步,比赛,人形,服务,未来"
1,"一块,粉身碎骨,挣扎,粉碎性,摔倒,稀碎,骨折,一下,几下,脾气,一地,摔得,脑浆,这样,起来"
2,"ai,视频,多少,做文章,人家,以为,这样,补贴,学生,嘲笑,正常,一堆,参加,请问,文章"
3,"玩具,科技,产品,春晚,公司,程序员,宇树,东西,知道,哪家,掏钱,遥控,研究,玩意,碰瓷"
4,"好笑,搞笑,不行,诡异,世界,真的,荒谬,过家家,震撼,首发,笑话,真是,看着,大家,视频"
5,"装备,开始,起跑线,结束,输在,自毁,解体,原地,一地,爆一地,自爆,未捷,开局,出师,自杀"
6,"测试,减速带,马拉松,跑步,轮子,设置,障碍,起步,程序,比赛,起来,过不去,液体,就别,起跑"
7,"救护车,机器人,抢救,以为,救人,医生,动物,120,复苏,心肺,变形,原来,医院,医闹,機器"
8,"质量,材料,零件,太差,电机,塑料,材质,一地,胶带,碎成,3d,打印,玻璃,为了,结实"
9,"担架,抬担架,扫把,拿个,抬走,过来,搞笑,家里,单架,扫帚,垃圾桶,塑料袋,绷住,准备,多余"
