Topic,Count,Name,Representation,Representative_Docs
-1,7610,-1_机器人_机器_人形机器人_机械,"['机器人', '机器', '人形机器人', '机械', '玩意', '机器狗', '人家', '是不是', '不过', '的话']","['@叮铃叮铃叮铃_ 机器人跑步都要晕', '机器人，人，知道吗[笑哭R]是机器的，人', '话说，以后中国足球队能派机器人去踢吗[偷笑R][偷笑R][偷笑R][偷笑R]']"
0,691,0_遥控_遥控器_遥控车_遙控,"['遥控', '遥控器', '遥控车', '遙控', '机器人', '监控', '有人', '操控', '控制', '摇控']","['遥控机器人[doge]', '是遥控还是自己巡路？', '所以还是遥控的[捂脸R]还得人陪着跑']"
1,471,1_好笑_真好玩_好好笑_搞笑,"['好笑', '真好玩', '好好笑', '搞笑', '有意思', '好玩', '笑哈哈', '逗笑', '笑死人', '笑料']","['真的太好笑了', '这真的太好笑了', '怎么这么好笑哈哈哈哈哈哈哈哈哈哈哈哈哈视频也好好笑']"
2,385,2_机器人_小机器人_机器人界_機器,"['机器人', '小机器人', '机器人界', '機器', '机器', '有个', '机械', '搞笑', '厉害', '辛苦']","['机器人也有人权[嘻嘻R]', '机器人也是人[大笑R]', '这机器人咋打这么多肌贴啊[doge]']"
3,356,3_战场_打仗_干仗_作战,"['战场', '打仗', '干仗', '作战', '战士', '上阵', '战争', '对面', '敌方', '打人']","['放战场上你就知道了[笑哭R]', '对啊，让他跑这么快的意义是？上战场吗', '你觉得上了战场的人还能顾得上笑吗[汗颜R]']"
4,349,4_摔倒_跌倒_摔了一跤_摔到,"['摔倒', '跌倒', '摔了一跤', '摔到', '摔下去', '摔得', '摔碎', '倒地', '摔成', '摔死']","['摔倒了还撒泼', '感觉随时想摔倒。', '总感觉下一秒就要摔倒了，一直到最后也没摔倒']"
5,329,5_冰块_冰塊_用冰_放冰,"['冰块', '冰塊', '用冰', '放冰', '冰冷', '加冰', '补冰', '点冰', '降温', '干冰']","['冰块降温[笑哭R]', '不是冰块，是干冰[doge]', '好像不是冰块 是干冰[笑哭R]']"
6,329,6_今年_去年_上年_昨年,"['今年', '去年', '上年', '昨年', '前年', '第二年', '跑的快', '好快', '明年', '之前']","['今年的比去年的快多了。', '去年嫌它慢，今年它们嫌我慢。', '比去年可进步多了']"
7,328,7_轮子_更快_輪子_更稳,"['轮子', '更快', '輪子', '更稳', '更强', '坐轮椅', '轮胎', '更好', '轮椅', '方便']","['放轮子更快！', '俺俩轮子跑的更快[微笑R]', '轮子不是更快吗？为啥要手，脚的']"
8,279,8_机器人_机器_人类_人工,"['机器人', '机器', '人类', '人工', '人来', '服务', '服务业', '伺候', '有个', '成为']","['人类服务于机器[doge]', '所以是机器人服务人类还是人类服务机器人[微笑R]', '以后人类要服务机器人了！']"
9,274,9_跑步_跑得慢_跑不动_姿势,"['跑步', '跑得慢', '跑不动', '姿势', '跑法', '短跑', '步态', '姿态', '好笑', '几步']","['有一个姿势很像人跑步了', '哈哈哈哈，章跑步就这个姿势', '这个跑步姿势有点丑[石化R][石化R][石化R]']"
10,266,10_科技进步_高科技_科技含量_科技,"['科技进步', '高科技', '科技含量', '科技', '技术', '突飞猛进', '先进', '技术储备', '进步', '越来越']","['科技发展太快了', '科技在进步，晚点它就会干很多事了', '科技的进步']"
11,252,11_120_机器人_急死了_有人,"['120', '机器人', '急死了', '有人', '救人', '機器', '急救', '救治', '救护车', '搞笑']","['机器人也要120救啊[笑哭R]', '120多了一个机器人部[捂脸R]', '为什么会有120的救护车？哈哈哈哈哈[捂脸R]']"
12,230,12_机器人马拉松_机器人_马拉松_人形机器人,"['机器人马拉松', '机器人', '马拉松', '人形机器人', '机器', '跑者', '跑步', '奔跑', '跑得快', '比赛']","['？机器人跑鸡猫马拉松啊', '机器人说这马拉松那么长 谁爱跑谁跑', '@我只是块小饼干 机器人都有马拉松了']"
13,208,13_电池_电池容量_换电池_电量,"['电池', '电池容量', '换电池', '电量', '费电', '充电', '续航', '电瓶', '有电', '电压']","['电池这么抗揍么？', '比谁电池更耐耗吗', '看谁电池抗用']"
