帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic,topic_prob
69e481e8000000002003ad94,"

",,,1,69e649fa0000000014019001,,565910f34476086eb20b4937,这玩意感觉站立踉跄的，跑起来也踉跄的，得啥时候才出现你们说的扛着人跑，还有什么人能受得住被扛起来跑,2026.04.20,辽宁,0.0,0.0,49,强势|服务者,强势,服务者,12,强势成功,0,0.9264253369474396
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daf187000000003501f0c0,,63d228270000000026004c98,昨晚出来三个，给我吓得，在前面，它们在后面追，个人配速达到了人生高点，4.9,2026.04.12,吉林,0.0,0.0,38,成功|观众,成功,观众,10,强势成功,0,0.919382813051757
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daf1a70000000035008fce,,63d228270000000026004c98,昨晚出来三个，给我吓得，我在前面跑，它们在后面追，个人配速达到了人生高点，4.9,2026.04.12,吉林,0.0,0.0,40,成功|观众,成功,观众,10,强势成功,0,0.919382813051757
69e43b14000000001a02e095,"好萌的小黑仔跑马拉松

",,2760.0,1,69e45d3f000000001401e44e,,610fccde0000000001003900,太卷了，操控和后勤就不能是两个人吗～你一个人全干了，害得我只能失业在家刷手机看你卷[doge],2026.04.19,浙江,0.0,0.0,47,,,,12,,0,0.9169985412022328
69e481e8000000002003ad94,"

",,,1,69e5caad0000000014013806,,621da2490000000021029d6e,前面补电，后面补冰，还有一个喷润滑……人跑就一个，机器跑要3个人……,2026.04.20,上海,1.0,0.0,34,强势|服务者,强势,服务者,8,强势成功,0,0.9109172791357403
69e481e8000000002003ad94,"

",,,1,69e4f099000000001401b831,,62f08e78000000001501b48c,是不是跟四驱兄弟一样，人跟着一起跑遥控,2026.04.19,湖北,0.0,0.0,19,强势|服务者,强势,服务者,8,强势成功,0,0.9105994238862422
69e481e8000000002003ad94,"

",,,1,69e49abe000000001401c41d,,5dc9719c0000000001006c74,前面按个摄像头 反正也是遥控的 看屏幕操控 人还跟着 太掩耳盗铃了,2026.04.19,浙江,1.0,0.0,33,强势|服务者,强势,服务者,10,强势成功,0,0.9102583304540247
69e40352000000002102fc75,"机器人马拉松现场第一视角看全部队伍

",,1160.0,2,69e5d369000000001401d42a,69e4a6f4000000001401e802,5fa6447700000000010063b4,一般心理健康的人想法不会那么消极和极端的，去看看是不是有抑郁症了，我会这么说就是因为我有抑郁症，现在吃药了控制得很好,2026.04.20,广东,0.0,,58,,,,13,,0,0.9098999021070293
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,1,69e99e35000000001401e82f,,5683b054cb35fb55caba8ab3,我是来看热闹的 ，看到最后要感谢讲解丰富的带动了欢乐,2026.04.23,江苏,0.0,0.0,26,,,,8,,0,0.9081724124691416
69e481e8000000002003ad94,"

",,,1,69e49f4a000000001401bc1f,,630ebf2c000000001200e23c,所以他这个是遥控的还是全自动的呀？如果是全自动的岂不是后面那个人也得跟着跑？,2026.04.19,广东,0.0,0.0,38,强势|服务者,强势,服务者,7,强势成功,0,0.8999232940509817
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e45d84000000001401d417,,67a5a952000000000300e4e4,不用牛马跟着跑这点挺好，免得昨晚熬夜完再跑猝死了,2026.04.19,北京,0.0,0.0,24,中性|观众,中性,观众,9,中性,0,0.8997170594314886
