帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc73fa00000000350236af,,5b825f4d72dd190001eeab6a,我还以为是机器人医生来救人[笑哭R],2026.04.13,北京,2706.0,62.0,18,失败|抢救者,失败,抢救者,4,失败,0
69e2583b00000000230211ea,"

",,2406.0,1,69e2f480000000001401a819,,687d0158000000000d03d43e,这AI吧，不可能啊，机器人怎么摔下也不至于摔成这样，碎哪里都是渣，我儿子的玩具从4楼掉下去都没掉渣，就是变形了,2026.04.18,山东,924.0,39.0,55,失败|抢救者,失败,抢救者,11,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e2f5010000000014019417,69e2f480000000001401a819,67691cf70000000018014195,这个我觉得是真实视频，因为看见过其他视角的。这跟机器人材质和重量有关吧，我觉得这个程度摔一下还是可能会碎的,2026.04.18,河北,558.0,,53,失败|抢救者,失败,抢救者,12,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dcbf41000000000203506c,,593aaac950c4b47afb0c39db,机器人老了可怎么办[doge],2026.04.13,湖南,359.0,17.0,15,失败|抢救者,失败,抢救者,2,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc8e9100000000020296bb,,61e6c5900000000010008942,科技服务不了人，还是人在服务科技[捂脸R],2026.04.13,天津,264.0,1.0,21,失败|抢救者,失败,抢救者,7,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69dcb0b900000000350151ec,69dc9de80000000002029fb1,65d1e7e2000000000401d2b0,估计有专门抬机器人的机器人，你可以去抬坏了的抬机器人的机器人,2026.04.13,江苏,130.0,,30,失败|抢救者,失败,抢救者,7,失败,0
69e2583b00000000230211ea,"

",,2406.0,1,69e2fa8a0000000014019019,,655c2b14000000000202a6fb,其实不一定应要走人型方向的机器人，弄个轮子的也不是不行吧，实用性总比观赏性大吧,2026.04.18,广东,89.0,6.0,39,失败|抢救者,失败,抢救者,12,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e2f6cf0000000014018c16,69e2f480000000001401a819,6229c0ef000000001000787a,机器人就是很脆弱的，之前就是有一个科技馆有悬浮机器人表演，结果机器出故障了机器人直接摔成渣了,2026.04.18,江苏,67.0,,46,失败|抢救者,失败,抢救者,12,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc9ece0000000002028c22,,5b1f737c11be100dcdcfab48,@inl 我以为是机器人救人，没想到是人救机器人,2026.04.13,四川,51.0,18.0,24,失败|抢救者,失败,抢救者,6,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dca2a8000000000103ef7f,,55cf6cf7e4b1cf63678f75e8,机器人还不能救人但是人已经可以救机器人了[得意R],2026.04.13,湖南,47.0,0.0,25,失败|抢救者,失败,抢救者,4,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dcaa8f00000000350162c0,,5a6a3de011be102e612d0fd9,这款机器人给我一种社会一点忙没帮到，纯添乱，而且极其热爱跳舞,2026.04.13,广东,39.0,2.0,30,失败|抢救者,失败,抢救者,10,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e30b51000000001401d839,69e30a9f000000001401bc02,65868318000000001c028045,国外的机器人就是厉害，还会挂国内ip发评论带节奏[笑哭R],2026.04.18,浙江,29.0,,29,失败|抢救者,失败,抢救者,8,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dcadc80000000016014834,,5a06762de8ac2b54aa1aef84,回收二手机器人有市场了[doge],2026.04.13,广东,21.0,2.0,17,失败|抢救者,失败,抢救者,4,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69dc9daf000000001500623d,69dc88aa000000003501e385,5aa1d858e8ac2b4ddb65b07c,我以为是机器人开救护车来救人,2026.04.13,广西,21.0,,14,失败|抢救者,失败,抢救者,4,失败,0
69e2583b00000000230211ea,"

",,2406.0,1,69e2f0f8000000001401a40c,,624577e6000000001000f77e,中国的机器人遥遥领先，像极了马保国,2026.04.18,辽宁,20.0,6.0,17,失败|抢救者,失败,抢救者,5,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e46577000000001401b817,69e3bdb4000000001401d815,6911c2110000000037004360,这肯定不是中国的机器人,2026.04.19,山东,19.0,,11,失败|抢救者,失败,抢救者,3,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69ddad1b0000000035011d50,,5928ef575e87e74b46992119,我要开始学机器人心理学了，以后必然有用[黄金薯R],2026.04.14,北京,17.0,0.0,25,失败|抢救者,失败,抢救者,6,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e3182c000000001401dc16,69e2fa8a0000000014019019,5676835c82718c2d918aa929,你是否搜国产版变形金刚。[捂脸R]这种机器人未来不是纯粹为了散步跑步，还为了可以表演武术，甚至盲人陪伴。,2026.04.18,广东,17.0,,52,失败|抢救者,失败,抢救者,15,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc9c68000000000d0358a9,,6512dbba0000000023026c8d,理想的机器人，服务人类，有趣的机器人，让人类服务,2026.04.13,山东,16.0,0.0,24,失败|抢救者,失败,抢救者,8,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc89b6000000000202b60b,,5cbfada9000000001603a627,机器人有医保吗,2026.04.13,浙江,15.0,3.0,7,失败|抢救者,失败,抢救者,2,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69dca7520000000035011e31,69dc9ece0000000002028c22,6636ca540000000003030b79,说是有的机器人跑散架了，跑骨折了,2026.04.13,四川,15.0,,16,失败|抢救者,失败,抢救者,3,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dcdded000000003502918d,,64854992000000001001da62,能工智人来救人工智能了,2026.04.13,黑龙江,13.0,0.0,11,失败|抢救者,失败,抢救者,3,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69dce7910000000016016136,69dcbf41000000000203506c,5569c9efe58d136d4fb6e088,这里也有同学,2026.04.13,山东,11.0,,6,失败|抢救者,失败,抢救者,2,失败,0
69e2583b00000000230211ea,"

",,2406.0,1,69e45606000000001401bc04,,5bfb941625225900018d37d6,平账机器人？,2026.04.19,江苏,10.0,1.0,6,失败|抢救者,失败,抢救者,2,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e7e69b000000001401e801,69e7a7150000000014019809,5f71da39000000000101db9d,但数据在，换台机器人继续优化改进就可以,2026.04.22,湖北,10.0,,19,失败|抢救者,失败,抢救者,6,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e3169d000000001401d83b,69e2fa8a0000000014019019,611f47c20000000001002336,我也觉得[流汗R]现在为什么致力于开发人形机器人，而不是注重它的功能性合和实用性呢？[看R],2026.04.18,广东,10.0,,46,失败|抢救者,失败,抢救者,7,失败,0
69e41e24000000001a025f1a,"人形机器人半马摔倒瞬间��

",1155.0,129.0,1,69e45137000000001401dc30,,58a1d1c982ec39354102a428,选手：比赛暂停 嘲笑机器人摔跟头,2026.04.19,北京,9.0,0.0,16,失败|观众,失败,观众,6,失败,0
69e41e24000000001a025f1a,"人形机器人半马摔倒瞬间��

",1155.0,129.0,1,69e485a10000000014019429,,64b9fb6d000000001403c9c6,天啊，如今轮到人类给机器人加油鼓励，还挺真诚的。[石化R],2026.04.19,广西,9.0,0.0,29,失败|观众,失败,观众,7,失败,0
69e2583b00000000230211ea,"

",,2406.0,1,69e2f88e000000001401880b,,6717a726000000000b032adc,中国机器人误入歧途，千方百计非要做成人形,2026.04.18,上海,7.0,5.0,20,失败|抢救者,失败,抢救者,7,失败,0
69e41e24000000001a025f1a,"人形机器人半马摔倒瞬间��

",1155.0,129.0,1,69e4e638000000001401ac1a,,60aba3cc00000000010090f1,人真的好有爱 还给机器人加油[赞R],2026.04.19,辽宁,7.0,0.0,18,失败|观众,失败,观众,5,失败,0
69e41e24000000001a025f1a,"人形机器人半马摔倒瞬间��

",1155.0,129.0,2,69e47cf80000000014019819,69e4779b000000001401c823,61134ebc00000000010018b4,看热闹是人之常情,2026.04.19,江苏,99.0,,8,失败|观众,失败,观众,2,失败,1
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69e49389000000001401902b,69e48f1d0000000014019819,56ef983b4775a730be72f6d7,嘎嘣一下享福去了[完啦R][完啦R],2026.04.19,广东,35.0,,18,失败|抢救者,失败,抢救者,2,失败,1
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc94e1000000003502fbee,,5f96e02500000000010086b3,好荒诞的场面[笑哭R][笑哭R],2026.04.13,安徽,28.0,0.0,16,失败|抢救者,失败,抢救者,2,失败,1
69e41e24000000001a025f1a,"人形机器人半马摔倒瞬间��

",1155.0,129.0,1,69e44aa1000000001401ac32,,60269e1c0000000001000659,摔倒了自己起不来吗,2026.04.19,山东,23.0,2.0,9,失败|观众,失败,观众,2,失败,1
69e41e24000000001a025f1a,"人形机器人半马摔倒瞬间��

",1155.0,129.0,1,69e46686000000001401a80e,,5b0a05496b58b70b711a86c0,为何我看的有点心酸,2026.04.19,北京,17.0,2.0,9,失败|观众,失败,观众,2,失败,1
69e2583b00000000230211ea,"

",,2406.0,2,69e2f979000000001401e41a,69e2f5c1000000001401b80c,6752ff7d000000001d02d472,摔了就摔了呗[doge]起步阶段摔几个不是很正常，况且又不是只有这一家,2026.04.18,北京,10.0,,35,失败|抢救者,失败,抢救者,7,失败,1
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc7c5a000000003501469c,,59ef47cfe8ac2b7e73578c47,仿佛在玩过家家[笑哭R],2026.04.13,陕西,7.0,0.0,12,失败|抢救者,失败,抢救者,2,失败,1
69e41e24000000001a025f1a,"人形机器人半马摔倒瞬间��

",1155.0,129.0,1,69e482ba000000001401e430,,557026d7b7ba221e90669a8b,由于太像人了确实会引人共情啊,2026.04.19,北京,7.0,0.0,14,失败|观众,失败,观众,6,失败,1
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dca4a1000000001500a415,,5c565dd3000000001a004ea3,不行[笑哭R]笑点太密集了,2026.04.13,福建,5.0,0.0,13,失败|抢救者,失败,抢救者,3,失败,1
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc6c0a000000000d0373ac,,5d18d2470000000011030368,@Ferrari 整个帖子透露着淡淡的诡异和滑稽,2026.04.13,北京,5.0,1.0,24,失败|抢救者,失败,抢救者,6,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e47161000000001401e821,,607450bd0000000001003a17,这……一开始是脑梗，摔倒后心梗了[大笑R],2026.04.19,天津,4.0,0.0,21,失败|抢救者,失败,抢救者,3,失败,1
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dcd59b000000003502dc1d,,687209c3000000001d015798,越往后翻越搞笑 谁懂啊,2026.04.13,北京,3.0,0.0,11,失败|抢救者,失败,抢救者,3,失败,1
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dbc068000000001400b6ba,,5fdab0910000000001009579,@整颗心悬在半空 ミ 怎么这么严肃啊。[笑哭R]怎么忍住不笑的,2026.04.12,河南,3.0,1.0,31,失败|抢救者,失败,抢救者,3,失败,1
69e2583b00000000230211ea,"

",,2406.0,2,69e49380000000001401c41a,69e3bdb4000000001401d815,5fb9a7a8000000000100380f,这一摔堪比苏联�,2026.04.19,北京,3.0,,8,失败|抢救者,失败,抢救者,3,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e9d32c000000001401e826,,61ea6c92000000002102b5f7,起步就被绊倒了[偷笑R]真惨,2026.04.23,浙江,2.0,0.0,14,失败|抢救者,失败,抢救者,3,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e32674000000001401c43b,,5e0f8b7a0000000001006db7,现在看居然会有点伤感,2026.04.18,新加坡,2.0,0.0,10,失败|抢救者,失败,抢救者,2,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e2feb90000000014019427,,5f8f8675000000000101d7aa,符合一倒就蹬腿乱踢印象[偷笑R],2026.04.18,广东,2.0,0.0,16,失败|抢救者,失败,抢救者,4,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e2f3fa000000001401a812,,64d1db1f000000000e0244f6,终于看见什么叫碎了一地[笑哭R],2026.04.18,四川,2.0,0.0,16,失败|抢救者,失败,抢救者,3,失败,1
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dcae0f000000000202a156,,5eb75f2f000000000100057c,@世界爆炸我放假（忙碌版） 我不行了,2026.04.13,上海,2.0,0.0,18,失败|抢救者,失败,抢救者,2,失败,1
69e2583b00000000230211ea,"

",,2406.0,2,69e8d747000000001401c439,69e7a7150000000014019809,63cbabff000000002702acd5,摔一下能搞成这样，说明也没花什么心思[石化R],2026.04.22,上海,2.0,,23,失败|抢救者,失败,抢救者,6,失败,1
69e2583b00000000230211ea,"

",,2406.0,2,69e30a5e0000000014019823,69e2f480000000001401a819,594f4a956a6a696ee8c83a7d,早上刷到了另一个角度的，是真的摔的七零八落的[笑哭R],2026.04.18,山东,2.0,,27,失败|抢救者,失败,抢救者,4,失败,1
69e2583b00000000230211ea,"

",,2406.0,2,69e78626000000001401c84a,69e42f12000000001401dc2c,5c41262b000000000501de12,人道主义关怀[笑哭R],2026.04.21,山东,2.0,,11,失败|抢救者,失败,抢救者,2,失败,1
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69dcad8b000000001500256a,69dca76500000000020366b4,657256ef000000001c018ac7,实则大城市真有[doge]苏北佬痛哭流涕啊,2026.04.13,上海,2.0,,21,失败|抢救者,失败,抢救者,5,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69eb3fd20000000029037d32,,5ff343e40000000001004d5d,掉地自检程序都没做好，人会掉地就拼命挣扎吗[笑哭R],2026.04.24,广东,1.0,0.0,26,失败|抢救者,失败,抢救者,6,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e9ab4e0000000014018818,,646d463200000000250359be,突发恶疾[doge],2026.04.23,广东,1.0,0.0,10,失败|抢救者,失败,抢救者,2,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e8dc0a000000001401a022,,62622b61000000002102a70f,真的像我的儿子在地上撒泼打滚的样子[偷笑R],2026.04.22,上海,1.0,0.0,22,失败|抢救者,失败,抢救者,5,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e8b34b0000000014018810,,5e046d830000000001006553,地上为啥做个凸起,2026.04.22,四川,1.0,0.0,8,失败|抢救者,失败,抢救者,3,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e813ac000000001401bc0b,,5f6036480000000001007361,快快快，先上遮羞布[doge]盖上再说,2026.04.22,浙江,1.0,0.0,19,失败|抢救者,失败,抢救者,4,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e4ea79000000001401e421,,654904b80000000030030b08,@腮lence（广州全勤版） 不行了笑死了,2026.04.19,山西,1.0,1.0,21,失败|抢救者,失败,抢救者,3,失败,1
69e2583b00000000230211ea,"

",,2406.0,1,69e480bb0000000014019810,,65cedcf8000000000401d0bd,本来好好的看着，摔倒的瞬间口水喷了平板一脸[doge],2026.04.19,福建,1.0,0.0,27,失败|抢救者,失败,抢救者,8,失败,1
