topic,top_terms,size
0,"可爱, 小小的, 东西, 宝宝, 小朋友, 小时候, 小派, 小鼻嘎, 苍蝇, 蚊子, 果然, 小孩, 蟑螂, 安全帽, 老鼠",267
1,"机器人, 未成年, 嘲笑, 这样, 玩具, 记得, 喜欢, 开始, 机器, 只是, 长大, 人形, 鼓掌, 轮子, 宇树",161
2,"孩子, 太大, 妈妈, 心血, 视频, 心疼, 长大, 自家, 工程师, 看起来, 是不是, 虽然, 这样, 吃奶, 家长",103
3,"奶瓶, 最后, 手里, 奶嘴, 手上, 小机器人, 小派, 还拿个, 随时, 人家, 两个, 喜欢, 真是, 宝宝, 幼儿园",124
4,"鲁班, 七号, 好像, 王者, 似的, 你家, 步伐, 矫健, 书包, 迈着, 这样, 马拉松, 参加, 评论, 短腿",41
5,"真的, 红领巾, 好像, 你家, 小腿, 感动, 不行, 突然, 想买, 好笑, 那些, 太短, 未成年, 问题, 这句",78
6,"第一, 倒数, 腿短, 第一名, 步伐, 好像, 知道, 矫健, 努力, 难道, 迈着, 摔倒, 虽然, 不行, 穿个",117
7,"人, 机器, 小小的, 东西, 看着, 肯定, 人形, 地球, 控制, 只有, 一下, 那些, 买得起, 大大的, 机器狗",106
8,"人类, 跑步, 一样, 机器, 妈妈, 最好, 意义, 肯定, 小派, 科技, 比赛, 需要, 适配, 这小, 玩具",119
9,"鞋子, 太大, 小孩, 大人, 是不是, 小朋友, 太重, 小鼻嘎, 不快, 下次, 跑步, 跑不动, 小孩儿, 回家, 欺负",102
10,"短腿, 这小, 倒腾, 挺快, 一步, 人家, 这样, 第一名, 卖萌, 除了, 腿短, 小腿, 摔倒, 太短, 儿童",97
11,"参加, 宝宝, 马拉松, 未成年, 意义, 人家, 比赛, 儿童组, 成人, 不要, 哪里, 儿童, 喝奶, 幼儿, 就要",175
