Topic,Count,Name,Representation,Representative_Docs
-1,841,-1_鲁班_七号_好看_那些,"['鲁班', '七号', '好看', '那些', '小朋友', '喜欢', '小派', '挺快', '可爱', '小鼻嘎']","['鲁班七号', '鲁班七号啊', '鲁班七号？']"
0,746,0_机器人_人形机器人_小机器人_机器人马拉松,"['机器人', '人形机器人', '小机器人', '机器人马拉松', '机器', '机器狗', '人形', '遥控器', '可爱', '机械']","['最可爱的机器人[害羞R]', '遥控也算机器人？', '有的。\n国外确实有机器人跑步比赛，但形式和国内最近很火的“人形机器人马拉松”不太一样。目前国际上更成熟的机器人赛事，比如在美国举办的RoboGames，已经举办了二十多年，其中就包含机器人竞速项目。不过，这些比赛中的机器人形态多样，不局限于人形。\n【国际上的机器人赛事】\nRoboGames：这是全球历史最悠久、规模最大的机器人综合性赛事之一，自2004年起在美国举办。它就像机器人的“奥运会”，包含格斗、竞速、足球等多种项目，吸引了全球的机器人爱好者和工程师参与。\n人形机器人专项赛：虽然像北京亦庄这样大规模、长距离的“人形机器人马拉松”是首创，但国外也有针对人形机器人的跑步测试和比赛。例如，一些科技公司会组织人形机器人进行短距离冲刺赛，比如与人类短跑名将进行50米赛跑，来展示其速度和动态平衡能力。\n【为什么人形机器人马拉松备受关注？】\n像笔记里看到的北京亦庄机器人马拉松，之所以引发热议，是因为它不仅仅是比赛，更是一次对机器人综合能力的极限测试。\n考验核心能力：马拉松考验的是机器人的 续航能力、系统稳定性以及在复杂路况下的动态平衡和自主决策能力 。这些都是人形机器人未来走进家庭、工厂、救援现场等真实场景的关键。\n全球同台竞技：这项赛事吸引了来自德国、巴西、葡萄牙、法国等国家的队伍参与，是全球人形机器人技术的一次“大阅兵”和公开“摸底考”。\n技术迭代迅速：从早期只能完成简单动作的实验室模型，到如今能跑完半马甚至超越部分人类成绩的机器人，技术进步非常快。比如有信息提到，冠军机器人的半马成绩已经超过了人类的世界纪录。']"
1,562,1_倒数_第一名_第一_好像,"['倒数', '第一名', '第一', '好像', '一名', '很难', '人家', '不过', '好笑', '记住']","['倒数第一也是第一，也是流量王，谁会记住中间的啊，都会记住第一和倒数第一[笑哭R][笑哭R][笑哭R][笑哭R]该说不说真的好可爱[笑哭R][笑哭R]', '它是倒数第一，它自己知道吗', '倒数第一吗？[捂脸R]']"
2,324,2_降降温_降温_喷雾_喷个,"['降降温', '降温', '喷雾', '喷个', '喷喷', '发热', '高温', '喷洒', '喷药', '过热']","['降温喷雾吧 哈哈哈哈哈哈', '降温喷雾[坏笑R]', '就是降温喷雾']"
3,141,3_可爱_小可爱_好萌_小小的,"['可爱', '小可爱', '好萌', '小小的', '小东西', '喜欢', '呆萌', '很乖', '萌物', '太小']","['小小的也很可爱[害羞R]', '好可爱好可爱[皱眉R][皱眉R][皱眉R][皱眉R]', '真的好可爱啊，越看越可爱。[害羞R]']"
4,116,4_短腿_腿短_这小_小腿,"['短腿', '腿短', '这小', '小腿', '太短', '细腿', '这小细', '太小', '矮个子', '越腿长']","['这小短腿儿[笑哭R]', '这小短腿儿', '这小短腿']"
5,91,5_荣耀_华为_厉害_顶尖,"['荣耀', '华为', '厉害', '顶尖', '手机', '不错', '官方', '夺冠', '第一个', '好看']","['荣耀不是第一个撞线的，第一个撞线的是遥控的，×1.2后就不如荣耀时间短，所以荣耀包揽了前三', '荣耀是华为那个荣耀嘛', '啥？荣耀做机器人了？']"
6,84,6_奶瓶_可爱_有奶_奶盆,"['奶瓶', '可爱', '有奶', '奶盆', '喝奶', '奶嘴', '奶娃', '喝口奶', '吃奶', '喜欢']","['拿着奶瓶有点可爱了', '小奶瓶太可爱啦[哇R]', '拿着个奶瓶可可爱爱的']"
7,76,7_摔倒_摔下来_摔下去_摔到,"['摔倒', '摔下来', '摔下去', '摔到', '爬不起来', '摔得', '倒地', '撞到', '紧迫感', '好怕']","['总感觉下一步就要摔倒了[笑哭R]', '总感觉下一秒就要摔倒了，一直到最后也没摔倒', '感觉随时想摔倒。']"
8,70,8_鞋大_大鞋_太大_鞋子,"['鞋大', '大鞋', '太大', '鞋子', '太重', '挺大', '这大', '穿鞋', '这鞋', '小鞋子']","['谁给孩子穿那么大的鞋子[失望R][失望R]', '孩子是不是鞋子太大了', '孩子鞋子太大了[皱眉R]']"
9,59,9_参赛_未成年_参加_参赛者,"['参赛', '未成年', '参加', '参赛者', '参与', '小朋友', '年龄', '报名', '儿童', '成年']","['不是，怎么还有小朋友参加？[偷笑R]', '这个应该参加儿童组', '这个应该去参加未成年机器人组']"
10,55,10_保安_犯了错_报警_误伤,"['保安', '犯了错', '报警', '误伤', '一脚', '安保', '搞笑', '大爷', '保住', '能犯']","['踹了保安大叔一脚的那个笑喷了🤣', '保安被踢了一脚算谁的', '保安被踢了一脚[笑哭了R]']"
11,52,11_长不大_心疼_孩子_长大,"['长不大', '心疼', '孩子', '长大', '小孩子', '小孩', '家长', '好怀念', '小时候', '看着']","['自己的孩子自己心疼', '现在好怀念我儿子小时候，现在长大了气死人，有次我跟儿子说好怀念小时候的你，要是不长大，永远那么小就好了，他说我要是真长不大你就急死了[捂脸R][捂脸R][捂脸R]', '看着孩子心疼']"
12,47,12_蟑螂_蚊子_老鼠_苍蝇,"['蟑螂', '蚊子', '老鼠', '苍蝇', '虫子', '蚊虫', '蜈蚣', '几只', '小老鼠', '蜘蛛']","['蟑螂，蚊子，苍蝇和老鼠（无恶意，纯抽象，不喜可删，别骂我，没有挑刺哈[飞吻R]）', '蚊子，苍蝇，蛆', '对  苍蝇  蚊子 老鼠小时候都可爱[笑哭R]']"
13,39,13_ppt_欣赏_好几遍_写过,"['ppt', '欣赏', '好几遍', '写过', '多次', '记下来', '珍惜', '一份', '每一個', '尝试']","['👍🏻，每一個自己写的ppt我都会欣赏很多次', 'ppt我都珍惜[完啦R]', '我自己做的ppt我都反复欣赏宝贝的不行']"
14,37,14_戴帽子_帽子_小帽子_帽帽,"['戴帽子', '帽子', '小帽子', '帽帽', '戴着', '戴个', '头戴', '安全帽', '可爱', '好看']","['这么热还带个帽子', '还戴个帽子 太可爱了', '帽子这么可爱']"
15,35,15_喝了酒_假酒_喝多_喝醉,"['喝了酒', '假酒', '喝多', '喝醉', '喝醉酒', '喝大酒', '喝成', '喝酒', '喝高', '喝到']","['假酒喝多了', '定一个和假酒喝多了', '假酒喝多了[笑哭R]']"
16,31,16_后面_有车_到达_中途,"['后面', '有车', '到达', '中途', '坐在', '后头', '当时', '到时候', '那车', '有个']","['没错，稳稳的坐在车后座，我也刚看到的', '并没有，20分钟前刚看到舒服的坐在车后座过去了[笑哭R]', '这颠颠颠的，到时候到达终点都得计几个时间才能到齐[大笑R]']"
