Topic,ctfidf_top_terms
0,"机器人,人类,机器,马拉松,人形机器人,跑步,比赛,需要,人形,服务,为什么,三个,发展,意义,机器人马拉松"
1,"跑步,姿势,低血糖,最后,膝盖,担架,站不稳,孩子,地上,摔倒,起来,倒数,好像,八步,第一"
2,"镜头,评论,亦庄,搞笑,好笑,真的,诡异,鸵鸟,不行,视频,地上,好好笑,世界,一转,看着"
3,"去年,马拉松,跟着,进步,程序员,今年,比赛,工程师,跑步,速度,一年,工作人员,参加,补给,三个"
4,"外卖,意义,科技,发展,技术,人类,快递,东西,进步,伺候,知道,无聊,为了,玩意,研究"
5,"降温,散热,冰块,干冰,电池,润滑,wd40,云南白药,换电池,喷雾,关节,加冰,冷却,润滑剂,电机"
6,"轮子,汽车,赛车,人形,f1,地形,更快,复杂,为什么,比赛,四个,驾驶,发明,速度,做成"
7,"战场,ai,终结者,人类,打仗,玩意,未来,战争,炸药包,炸弹,机器人,要是,不用,无人机,救援"
8,"可爱,奶瓶,小黑,鲁班,大湾,小孩,孩子,小派,小鼻嘎,小小的,奶嘴,喜欢,蟑螂,宝宝,苍蝇"
9,"遥控,遥控器,自主,玩具,跟着,控制,荣耀,机器人,操控,后面,遥控车,导航,区别,自动,需要"
