topic,top_terms,size
0,"机器人, 服务, 人类, 为什么, 外卖, 加油, 以为, 伺候, 三个, 人形, 个人, 云南白药, 是不是, 这些, 救护车",3380
1,"人, 三个, 机器, 伺候, 需要, 服务, 一样, 最后, 很多, 機器, 跟着, 好像, 还要, 控制, 补给",1655
2,"可爱, 真的, 小小的, 奶瓶, 小黑, 搞笑, 宝宝, 小孩, 东西, 小鼻嘎, 小机器人, 大湾, 起来, 果然, 不行",1613
3,"遥控, 玩具, 自主, 赛车, 还要, 区别, 需要, 导航, 今年, 智能, 控制, 大号, 人员, 有人, 1.2",767
4,"跑步, 姿势, 人类, 一样, 为了, 好像, 这样, 搞笑, 只是, 测试, 最后, 真的, 站不稳, 样子, 走路",1411
5,"降温, 冰块, 散热, 润滑, 干冰, 换电池, 关节, 还要, 电池, 后面, 喷雾, 电机, 加冰, 需要, 换电",1685
6,"马拉松, 人类, 参加, 去年, 测试, 比赛, 人形机器人, 程序员, 真的, 今年, 进步, 电池, 为了, 干嘛, 速度",1686
7,"轮子, 比赛, 赛车, 为什么, 汽车, 更快, 人形, 机器, 人形机器人, 不行, f1, 四个, 地形, 换成, 做成",3708
8,"跟着, 遥控器, 后面, 一起, 程序员, 工作人员, 一直, 工程师, 全程, 还要, 是不是, 控制, 人要, 个人, 有人",1230
9,"意义, 何在, 哪里, 东西, 评论, 这有, 活着, 知道, 这样, 比赛, 人类, 机器人马拉松, 玩意, 明白, 存在",1697
