topic,top_terms,size
0,"机器人, 服务, 外卖, 伺候, 加油, 三个, 个人, 云南白药, 需要, 补给, 是不是, 发展, 站不稳, 人类, 以为",2004
1,"人, 三个, 伺候, 机器, 需要, 服务, 一样, 最后, 很多, 几个, 补给, 为了, 跟着, 機器, 工作",1035
2,"降温, 润滑, 干冰, 关节, 换电池, 还要, 喷雾, 冰块, 电机, 物理, 需要, 加冰, wd40, 换电, 液氮",805
3,"遥控, 玩具, 自主, 还要, 区别, 需要, 导航, 今年, 智能, 大号, 人员, 组和, 赛车, 自动, 不用",532
4,"轮子, 汽车, 更快, 赛车, 四个, 地形, 换成, 不行, 是不是, 复杂, 不用, 人形, 早就, 更好, 有没有",960
5,"意义, 何在, 哪里, 东西, 评论, 这有, 活着, 这样, 知道, 明白, 机器人马拉松, 汽车, 需要, 战场, 存在",826
6,"跑步, 姿势, 为了, 一样, 站不稳, 只是, 测试, 摆臂, 跳舞, 走路, 最后, 这样, 知道, 干嘛, 三个",848
7,"跟着, 遥控器, 后面, 一起, 工作人员, 程序员, 一直, 全程, 工程师, 还要, 人要, 控制, 是不是, 个人, 几个",668
8,"冰块, 散热, 后面, 电池, 问题, 背后, 干冰, 背包, 润滑剂, 不行, 背着, 后背, 为了, 原来, 背上",744
9,"马拉松, 去年, 今年, 参加, 速度, 程序员, 进步, 测试, 电池, 为了, 发展, 续航, 汽车, 人形机器人, 开车",958
10,"比赛, 赛车, f1, 人形机器人, 一样, 去年, 进步, 今年, 轮胎, 好像, 摩托车, 速度, 那不就, 区别, 干嘛",869
11,"为什么, 人类, 人形, 机器, 知道, 补给, 设计, 进化, 搞笑, 站不稳, 做成, 还要, 人形机器人, 地形, 评论",1884
