Topic,Count,Name,Representation,Representative_Docs
-1,11909,-1_doge_笑哭r_偷笑r_捂脸r,"['doge', '笑哭r', '偷笑r', '捂脸r', '哭惹r', '失望r', '大笑r', '微笑r', '汗颜r', '派对r']","['我累了，这疯狂世界[doge]', '你确定你跑得过这玩意[doge]', '那种应用最好的应该是轮足的机器狗，人形其实只是炫技用的[doge]']"
0,5944,0_笑哭r_捂脸r_doge_偷笑r,"['笑哭r', '捂脸r', 'doge', '偷笑r', '机器人', '微笑r', '失望r', '暗中观察r', '大笑r', '哭惹r']","['机器人说少管我[笑哭R][笑哭R][笑哭R]', '这机器人会集成GNSS吗？怎么总跑偏[笑哭R]', '那是固定程序啊[捂脸R]要是他的系统能自动判断和做动作，那人类离灭亡真不远了[doge]']"
1,1854,1_点赞r_笑哭r_捂脸r_赞r,"['点赞r', '笑哭r', '捂脸r', '赞r', '偷笑r', 'doge', '进步太快了', '失望r', '哇r', '派对r']","['就是为了玩的[笑哭R]大众看热闹，投资人看成没成功挺好的[doge]', '这是创造历史的一帮人。后辈看你们的时候，你们已经载入史册[点赞R][点赞R][点赞R]', '经过一年的进化，都飞速发展[点赞R]']"
2,1514,2_笑哭r_偷笑r_大笑r_捂脸r,"['笑哭r', '偷笑r', '大笑r', '捂脸r', '点赞r', 'doge', '这小短腿', '赞r', '哈哈哈', '哈哈哈哈哈']","['不是说不让外国人参赛吗，这个非洲选手是哪来的[笑哭R]', '最后那一段跑得好心酸，一拐一拐的[笑哭R]', '这跑起来姿势有点丑[笑哭R]， 不能只看速度， 步态优美也很重要的']"
3,1058,3_换电池_降温_换电_冰块,"['换电池', '降温', '换电', '冰块', '润滑', '冰块降温', '加冰降温', '干冰', '散热', '加冰']","['换电，润滑，降温', '换电，降温，润滑', '降温，换电，润滑？']"
4,914,4_doge_微笑r_偷笑r_f1,"['doge', '微笑r', '偷笑r', 'f1', '汗颜r', '笑哭r', '汽车', '不行吗', '我有个想法', '捂脸r']","['夸成车床了[doge]', '当年火车刚发明的时候你也这么说[doge]', '怎么不加几个轮子[偷笑R][doge]']"
5,694,5_好可爱_太可爱了_大笑r_皱眉r,"['好可爱', '太可爱了', '大笑r', '皱眉r', '偷笑r', '捂脸r', '笑哭r', '好可爱啊', '还拿个奶瓶', '喝奶茶r']","['好可爱，好努力的背影[偷笑R]', '好可爱，像我刚会走路的娃[偷笑R]', '太可爱了[大笑R]它还拿着奶瓶的年纪，很努力了[大笑R][偷笑R][偷笑R][偷笑R]']"
6,665,6_大笑r_点赞r_玫瑰r_笑哭r,"['大笑r', '点赞r', '玫瑰r', '笑哭r', '哈哈哈', '捂脸r', '笑哭了r', '哈哈哈哈', '哈哈', '笑死我了']","['警察叔叔也很樂[大笑R][大笑R][大笑R]', '您的解说和配乐丰富了整场[大笑R]', '音乐适配度[点赞R][点赞R][点赞R][大笑R][大笑R][大笑R]']"
7,190,7_防晒喷雾_防晒_裆部散热_防蚊喷雾,"['防晒喷雾', '防晒', '裆部散热', '防蚊喷雾', '都晒黑了', '还要喷防晒', '晒黑了', '捂嘴笑r', 'doge', '偷笑r']","['防晒喷雾[捂脸R]', '防晒喷雾[doge]', '防晒喷雾[偷笑R][偷笑R]']"
8,190,8_wd40_40_润滑关节的_我以为是润滑油,"['wd40', '40', '润滑关节的', '我以为是润滑油', '男人的香水', 'wd', '印度神油', '是不是润滑油', '润滑剂吧', '只能通过反复喷涂wd40防止干燥']","['多囤点 wd40 以后能涨价', 'wd40，给缝隙处除锈除污的[笑哭R]', 'wd40，机器人的杜蕾斯[doge]']"
9,188,9_外卖员_能实现从锅边儿到桌边儿的最短时间_让机器人送外卖_送外卖,"['外卖员', '能实现从锅边儿到桌边儿的最短时间', '让机器人送外卖', '送外卖', '外卖小哥要失业了', '完了', '呃r', '捂脸r', '第一反应想让他们送外卖', '红色那个可以去送外卖']","['外卖员，可能大多数30岁以后就会失业了[捂脸R]', '吓死人，用途是什么？送外卖？跑在路上撞伤路人咋整', '让机器人送外卖  能实现从锅边儿到桌边儿的最短时间  我可太期待了']"
10,165,10_黑薯问号r_意义在哪里_这有什么意义啊_意义何在,"['黑薯问号r', '意义在哪里', '这有什么意义啊', '意义何在', '有什么意义', '你活着的意义是什么', '有何意义', '意义在哪', '毫无意义', '坏笑r']","['意义在哪里？[笑哭R]', '意义在哪？？？？？？？？我请问？？？？？？？？？？？？[黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R]', '意义在哪里[doge]']"
11,162,11_蚊子_苍蝇_好恐怖_好诡异,"['蚊子', '苍蝇', '好恐怖', '好诡异', '蟑螂', '有点诡异', '妈呀', '笑哭了r', '真的太阴了', '突然感觉场面很魔性']","['蟑螂，蚊子，苍蝇和老鼠（无恶意，纯抽象，不喜可删，别骂我，没有挑刺哈[飞吻R]）', '小强，杰瑞，蚊子，苍蝇……[doge]', '对  苍蝇  蚊子 老鼠小时候都可爱[笑哭R]']"
