Topic,ctfidf_top_terms
-1,"机器人,跑步,轮子,机器,比赛,人类,评论,为什么,为了,一样,知道,真的,意义,测试,需要"
0,"遥控,遥控器,自主,玩具,跟着,荣耀,控制,遥控车,导航,操控,后面,区别,自动,1.2,智能"
1,"好笑,搞笑,好好笑,真的,视频,啊哈,哈哈笑,莫名,没招,见过,有意思,不行,这句,我要,救命"
2,"马拉松,机器人马拉松,跑步,机器人,测试,比赛,意义,技术,续航,为了,人类,参加,运动,极限,只是"
3,"人形,人形机器人,设计,人类,工具,社会,做成,人型,适配,机器,很多,所有,机器狗,设施,形态"
4,"姿势,跑步,最后,起来,最像,两个,样子,一样,最好,好看,步伐,第四个,好像,这样,跑不动"
5,"机器人,小机器人,鼓掌,可爱,摔倒,看热闹,机器,最近,搞笑,不行,真的,羊癫疯,折磨,这些,起来"
6,"轮子,更快,地形,复杂,四个,换成,轱辘,轮椅,方便,两条腿,楼梯,履带,人形,螺旋桨,适应"
7,"科技,发展,技术,进步,科技进步,时代,过程,先进,美国,越来越,中国,落后,国家,科研,再过"
8,"冰块,干冰,降温,加冰,散热,冷却,后面,背后,后背,水冷,背包,液冷,冷却液,背上,冰冷"
9,"摔倒,绊倒,随时,一秒,稀碎,骨折,碎成,一地,跪下,好怕,粉碎性,粉身碎骨,一块,一步,就要"
10,"去年,进步,今年,一年,明年,记得,健步如飞,好多,太快,进化,昨年,真快,太多,很大,速度"
11,"战场,打仗,炸药包,炸弹,玩意,战争,要是,武器,敌人,不用,背个,冲锋,军用,对面,tnt"
12,"120,救护车,抢救,医生,心肺,救人,复苏,人工呼吸,急救,医院,机器人,以为,急救车,最后,旁边"
13,"服务,机器人,人类,养老,伺候,照顾,维护,代替,替代,上班,工作,家务,家庭,保姆,老人"
14,"奶瓶,小鼻嘎,奶嘴,可爱,断奶,脖子,还拿个,安抚,吃奶,嘎子,宝宝,手上,手里,喝奶,小孩"
15,"电池,没电,换电池,续航,充电,换电,电力,电量,一块,只要,有电,费电,一半,耐用,多久"
16,"程序员,工程师,跟着,代码,操作员,全程,终于,技术人员,累死,程序,工作人员,心疼,一起,马拉松,后面"
17,"外卖,快递,小哥,失业,超时,满大街,取代,送餐,这送,驿站,配送,用来,迟早,不用,饭碗"
18,"三个,伺候,个人,就业,服务,服侍,机器人,岗位,需要,侍候,活人,一台,维护,一车,保姆"
19,"汽车,驾驶,自动,无人驾驶,新能源,电动车,那不就,无人,没见,智驾,轮子,电动汽车,电车,电瓶车,有轮"
20,"跟着,一起,人要,三个,后面,全程,几个,个人,一直,有人,厉害,旁边,多人,是不是,观光车"
21,"可爱,小小的,果然,东西,喜欢,小可爱,好萌,小家伙,真的,怎么回事,小不点,小时候,太小,宝宝,喜人"
22,"鞋子,跑鞋,孩子,穿鞋,太大,穿着,耐克,一双,双鞋,穿个,大人,脚底板,小孩,脚上,运动鞋"
23,"马拉松,测试,参加,意义,跑步,目的,人类,有些,不早,几十公里,活动,只是,半马,承认,规定"
24,"短腿,腿短,倒腾,这小,小腿,太短,挺快,站不稳,重心,跑得慢,以下,大长,输在,事实证明,好细"
25,"伺候,养老,三个,照顾,老人,失业,保姆,大爷,多人,就业,好好,还要,医院,方向,三人"
26,"意义,活着,这有,何在,哪里,明白,存在,没意义,到底,人生,评论,哪儿,有意义,问有,多人"
27,"f1,进站,赛车,换胎,轮胎,法拉利,方程式,有种,既视感,那样,维修站,方程式赛车,太慢,一样,加油"
