relation_type,term,comment
parenting,儿子,亲子关系
parenting,闺女,亲子关系
parenting,娃,亲子关系
parenting,娃娃,亲子关系
parenting,孩子,亲子关系
parenting,宝宝,亲子关系
parenting,宝贝,亲子关系
parenting,爸爸,亲子关系
parenting,妈妈,亲子关系
parenting,带娃,亲子关系动作
parenting,送孩子比赛,亲子关系动作
parenting,养,照护语义
parenting,长大,成长语义
species_competition,碳基,物种竞争
species_competition,碳基生物,物种竞争
species_competition,人类,物种竞争
species_competition,统治地球,物种竞争
species_competition,造反,物种竞争
species_competition,追不上,能力比较
species_competition,跑不过,能力比较
species_competition,取代,替代语义
species_competition,灭绝,物种竞争
species_competition,威胁,物种竞争
tool_toy,这东西,工具/玩具
tool_toy,那东西,工具/玩具
tool_toy,这玩意,工具/玩具
tool_toy,那玩意,工具/玩具
tool_toy,遥控玩具,工具/玩具
tool_toy,遥控,工具/玩具
tool_toy,玩具,工具/玩具
tool_toy,机器,工具化
tool_toy,机器人,工具化
tool_toy,意义在哪,工具化质疑
tool_toy,没用,工具化质疑
peer_worker,像极了我,同类投射
peer_worker,像我,同类投射
peer_worker,打工人,同类投射
peer_worker,上班,劳动身份
peer_worker,失业,劳动身份
peer_worker,社畜,劳动身份
peer_worker,同行,同类关系
peer_worker,同事,同类关系
pet_cute,可爱,萌化
pet_cute,太萌了,萌化
pet_cute,萌,萌化
pet_cute,小可爱,萌化
pet_cute,小朋友,幼态/萌化
pet_cute,狗子,宠物化
pet_cute,修狗,宠物化
pet_cute,心疼,照护情绪
pet_cute,扶起来,照护动作
warrior_hero,战场,战士/英雄
warrior_hero,上战场,战士/英雄
warrior_hero,坚持,战士/英雄
warrior_hero,倔强,战士/英雄
warrior_hero,战士,战士/英雄
warrior_hero,英雄,战士/英雄
warrior_hero,不想放弃,战士/英雄
warrior_hero,不服输,战士/英雄
warrior_hero,冲锋,战士/英雄
