Topic,Count,Name,Representation,Representative_Docs
0,295,0_好笑_搞笑_好好笑_好玩,"['好笑', '搞笑', '好好笑', '好玩', '笑死人', '笑点', '好看', '凑热闹', '真是', '好几个']","['哈哈哈哈 真的很好笑', '真的太好笑了', '@좋아한다구 好搞笑，评论区也好搞笑']"
1,236,1_龟兔_赛跑_跑不过_比赛,"['龟兔', '赛跑', '跑不过', '比赛', '参赛', '跑步', '马拉松', '版龟', '挺快', '参加']","['龟兔赛跑啊', '@海底火山 哈哈哈哈哈哈哈哈哈龟兔赛跑', '什么龟兔赛跑']"
2,226,2_好笑_地上_好好笑_坐在,"['好笑', '地上', '好好笑', '坐在', '倒地', '转过', '有个', '坐下', '搞笑', '一转']","['镜头一转有个坐地上的[失望R]', '镜头一转一个坐地上的给我笑死了', '镜头一转怎么地上还坐了一个[笑哭了R]']"
3,168,3_机器人_人形机器人_機器_机器,"['机器人', '人形机器人', '機器', '机器', '人形', '机器狗', '机械', '人型', '叫做', '人类']","['机器人就不是人吗[偷笑R]', '机器人不做成人形还叫机器人嘛，汽车咋不叫机器人', '机器人机器人嘛，不做成人形就是机器，不是机器人了[笑哭R]']"
4,139,4_小机器人_机器人_可爱_机器,"['小机器人', '机器人', '可爱', '机器', '机器人马拉松', '好笑', '真好玩', '好好笑', '搞笑', '喜欢']","['@千变小樱桃� 小机器人好可爱[偷笑R][偷笑R]', '哈哈哈哈哈哈小的机器人好可爱啊', '连机器人都是小的可爱[笑哭R]']"
5,104,5_可愛的_可爱_小可爱_可爱多,"['可愛的', '可爱', '小可爱', '可爱多', '好萌', '太萌', '小孩儿', '小朋友', '小孩', '孩子']","['那个小孩好可爱啊', '那个小孩太可爱了[偷笑R]', '@洛樱 好可爱一小孩']"
6,100,6_奶瓶_有奶_奶嘴_瓶奶,"['奶瓶', '有奶', '奶嘴', '瓶奶', '可爱', '喝口奶', '卖萌', '奶壶', '小鼻嘎好', '老大不小']","['太可爱啦还拿着奶瓶�[笑哭R][笑哭R][笑哭R][笑哭R][笑哭R][笑哭R]', '小的还拿了一个奶瓶，哈哈哈哈哈哈哈，好可爱', '拿着奶瓶挂着奶嘴好可爱啊']"
7,89,7_低血糖_头晕_晕倒_饿晕,"['低血糖', '头晕', '晕倒', '饿晕', '吃点', '眩晕', '缺氧', '跑步', '发疯', '喂点']","['跑一半低血糖了', '真的很像低血糖哈哈啊哈哈哈', '坐地上的笑死我了@K宝 低血糖']"
8,80,8_遥控_遥控器_操控_玩意,"['遥控', '遥控器', '操控', '玩意', '车里', '那车', '汽车', '驾驶', '自动', '跟车']","['那直接放遥控汽车不就起飞了。', '这蓝色号码牌是完全自主导航的，即便是紫色号码牌的遥控组，操作员也只能遥控运动方向，机器人自身的姿态控制运动补偿全都是自主的，没有任何一台是完全遥控的', '你说的是遥控汽车吧，还有遥控飞机呢，那些都有比赛你可以去搜一搜']"
9,66,9_镜头_语言_画面_这运镜,"['镜头', '语言', '画面', '这运镜', '拍得', '拍到', '好笑', '出声', '展现', '这才']","['镜头语言@上上签', '这个镜头语言我笑死', '你是懂镜头语言的']"
