帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic,topic_prob
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dae3b2000000000d03f7d4,,677a316b00000000180175ee,话说，以后中国足球队能派机器人去踢吗[偷笑R][偷笑R][偷笑R][偷笑R],2026.04.12,北京,9.0,2.0,38,成功|观众,成功,观众,3,强势成功,0,0.2367184149857591
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db04690000000016014218,69db02c8000000003501de1d,5ea3b5590000000001004228,你猜机器人为啥叫机器人,2026.04.12,浙江,4.0,,11,成功|观众,成功,观众,2,强势成功,0,0.2367184149857591
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dbbeac000000001500ba51,,613892e50000000002026074,陆军各集团军合成旅空降兵军合成旅海军陆战队合成旅都可以编成一个机器人营！,2026.04.12,浙江,2.0,0.0,36,成功|观众,成功,观众,10,强势成功,0,0.2367184149857591
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daf3a7000000003500ccff,69daf2f8000000000d03494e,5c138faf49cf5900014b6908,机器人：力大砖飞[坏笑R],2026.04.12,陕西,2.0,,13,成功|观众,成功,观众,2,强势成功,0,0.2367184149857591
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e58b130000000014018008,,5c8761120000000011007157,这个银色的机器人太赞了[赞R],2026.04.20,山东,1.0,0.0,15,成功|被超越者,成功,被超越者,3,强势成功,0,0.2367184149857591
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69db301a0000000002029b9a,,5bd690286b58b707c8b50318,以后就不是僵尸围城了，是机器人围城,2026.04.12,浙江,1.0,0.0,17,成功|观众,成功,观众,4,强势成功,0,0.2367184149857591
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daf23400000000350259fa,,689dca32000000001900c114,机器人领跑员[偷笑R],2026.04.12,河南,1.0,0.0,11,成功|观众,成功,观众,2,强势成功,0,0.2367184149857591
69e481e8000000002003ad94,"

",,,1,69e6f206000000001401881b,,5c79dd0e000000001803e88d,机器人就该是这种没有性别的,2026.04.21,广东,1.0,0.0,13,强势|服务者,强势,服务者,3,强势成功,0,0.2367184149857591
69e481e8000000002003ad94,"

",,,1,69e4a181000000001401bc1b,,6007d4dc0000000001008ea8,这个机器人又高又乖，太帅了[点赞R],2026.04.19,广东,1.0,0.0,18,强势|服务者,强势,服务者,2,强势成功,0,0.2367184149857591
69e481e8000000002003ad94,"

",,,1,69e56d64000000001401c405,,641a67e00000000012013cbe,感觉机器人好笨,2026.04.20,韩国,1.0,0.0,7,强势|服务者,强势,服务者,2,强势成功,0,0.2367184149857591
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db1ec0000000000d03c1a8,69db07d900000000020368d2,60f1747800000000010051bf,机器人：我也是太难了,2026.04.12,浙江,1.0,,10,成功|观众,成功,观众,2,强势成功,0,0.2367184149857591
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db0a6b0000000035027afc,69db09ea0000000035017942,60db32f60000000001001954,有四足机器人啊,2026.04.12,宁夏,1.0,,7,成功|观众,成功,观众,2,强势成功,0,0.2367184149857591
