帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e462bc0000000014019807,69e46241000000001401e822,60a9d18b0000000001002fd3,镜头转到这里的时候真的太好笑了[捂脸R],2026.04.19,山东,1933.0,,20,中性|观众,中性,观众,5,中性,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e45b0c0000000014018c18,69e459f2000000001401bc38,604d8387000000000100a4db,扎得小啾啾，怀疑是工程师按照自己闺女形象设计的[偷笑R],2026.04.19,湖南,1362.0,,28,中性|观众,中性,观众,6,中性,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e46d59000000001401c42a,,5cb19a9e0000000012003403,果然什么东西小了都可爱[喝奶茶R],2026.04.19,马来西亚,1250.0,27.0,17,中性|观众,中性,观众,3,中性,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e508c0000000001401d40c,69e4d997000000001401a802,5a019594db2e60206df6d698,我服了，没招了[捂脸R][点赞R],2026.04.20,广东,815.0,,17,中性|观众,中性,观众,2,中性,0
69e43a5a000000001d01dcc7,"机器人嘲讽同伴

",1966.0,167.0,1,69e450da000000001401d82d,,59b22f86db2e607509e8b39e,72的结局[偷笑R],2026.04.19,北京,681.0,44.0,10,中性|评价者,中性,评价者,2,中性,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e486ff000000001401e82c,69e46d59000000001401c42a,556e82b8f5a263037789d5d8,也确实老了做啥都心酸。[大笑R],2026.04.19,广东,643.0,,16,中性|观众,中性,观众,2,中性,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e477c1000000001401d809,69e46241000000001401e822,5c66287c00000000110093de,淘气的娃，无力的爷爷，没用的爸,2026.04.19,北京,621.0,,15,中性|观众,中性,观众,4,中性,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e481650000000014018c2c,,64db26e20000000002011656,什么镜头转过去地上还坐了一个，把我笑抽了,2026.04.19,广东,617.0,12.0,20,中性|观众,中性,观众,3,中性,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e462de000000001401b01d,69e461fb000000001401e82b,5944e17882ec397a22d76fd6,天气太热，中暑了吧,2026.04.19,广东,547.0,,9,中性|观众,中性,观众,3,中性,0
69e43a5a000000001d01dcc7,"机器人嘲讽同伴

",1966.0,167.0,1,69e43cee000000001401d430,,5d3a4f66000000001003090f,我说他干嘛呢，后来才看见地上坐着一个[偷笑R]，看他这两步跑得跟喝多了似的，五十步笑百步呢[偷笑R][偷笑R][偷笑R],2026.04.19,山西,287.0,3.0,60,中性|评价者,中性,评价者,7,中性,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e519d5000000001401a009,69e4d997000000001401a802,62525348000000001000abe1,镜头最后真的太好笑了哈哈哈哈哈哈哈哈哈哈,2026.04.20,江苏,225.0,,20,中性|观众,中性,观众,4,中性,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e45a81000000001401a408,69e459f2000000001401bc38,5b4ebd096b58b74393c94505,天呐你不说我还没注意，好可爱哈哈哈哈,2026.04.19,北京,167.0,,18,中性|观众,中性,观众,3,中性,0
