Topic,Count,Name,Representation,Representative_Docs
0,4023,0_机器人_人类_机器_马拉松,"['机器人', '人类', '机器', '马拉松', '人形机器人', '跑步', '比赛', '需要', '人形', '服务']","['机器人贴膜', '机器人也是人[偷笑R]', '机器人也是人[捂脸R][捂脸R]']"
1,2617,1_跑步_姿势_低血糖_最后,"['跑步', '姿势', '低血糖', '最后', '膝盖', '担架', '站不稳', '孩子', '地上', '摔倒']","['低血糖了吗，怎么站不稳了[偷笑R]', '有一个姿势很像人跑步了', '跑步姿势笑死']"
2,2367,2_镜头_评论_亦庄_搞笑,"['镜头', '评论', '亦庄', '搞笑', '好笑', '真的', '诡异', '鸵鸟', '不行', '视频']","['哈哈哈哈 真的很好笑', '真的太好笑了', '@叫我言西就好啦 真的很好笑']"
3,1973,3_去年_马拉松_跟着_进步,"['去年', '马拉松', '跟着', '进步', '程序员', '今年', '比赛', '工程师', '跑步', '速度']","['今年程序员这么不跟着跑了？', '马拉松程序员也得跟着跑[笑哭R]', '工程师也得跟着跑个马拉松吗[捂脸R]']"
4,1864,4_外卖_意义_科技_发展,"['外卖', '意义', '科技', '发展', '技术', '人类', '快递', '东西', '进步', '伺候']","['哦靠，外卖都用机器人送吗？', '以后机器人送外卖', '以后送外卖就机器人跑着来']"
5,1706,5_降温_散热_冰块_干冰,"['降温', '散热', '冰块', '干冰', '电池', '润滑', 'wd40', '云南白药', '换电池', '喷雾']","['冰块是降温的。', '降温散热的', '冰块，应该是给电池降温的吧']"
6,1698,6_轮子_汽车_赛车_人形,"['轮子', '汽车', '赛车', '人形', 'f1', '地形', '更快', '复杂', '为什么', '比赛']","['放轮子更快！', '有轮子的那叫赛车！', '因为这是机器人，用轮子不就是汽车比赛了？']"
7,922,7_战场_ai_终结者_人类,"['战场', 'ai', '终结者', '人类', '打仗', '玩意', '未来', '战争', '炸药包', '炸弹']","['意义就是以后战场不需要人了[doge]', '你真以为这个玩意上的去战场', '以后会不会有ai奥义[doge][doge][自拍R]']"
8,870,8_可爱_奶瓶_小黑_鲁班,"['可爱', '奶瓶', '小黑', '鲁班', '大湾', '小孩', '孩子', '小派', '小鼻嘎', '小小的']","['比拉布布还可爱[doge]', '有点可爱是怎么回事儿呢', '太可爱啦还拿着奶瓶�[笑哭R][笑哭R][笑哭R][笑哭R][笑哭R][笑哭R]']"
9,792,9_遥控_遥控器_自主_玩具,"['遥控', '遥控器', '自主', '玩具', '跟着', '控制', '荣耀', '机器人', '操控', '后面']","['遥控机器人啊[笑哭R] 。', '都是遥控机器人', '有狗会说是遥控的吧？']"
