Topic,Count,Name,Representation,Representative_Docs
-1,5213,-1_笑哭r_doge_偷笑r_捂脸r,"['笑哭r', 'doge', '偷笑r', '捂脸r', '哭惹r', '失望r', '大笑r', '害羞r', '微笑r', '石化r']","['装个喷射器直接飞了。[笑哭R]', '人才啊解读的太好啦bgm配的太牛了👍[笑哭R][笑哭R][笑哭R][笑哭R][笑哭R]笑哭了😂😂😂😂😂', '穿的很不专业[偷笑R][笑哭R]像是遛街的']"
0,1874,0_笑哭r_偷笑r_doge_捂脸r,"['笑哭r', '偷笑r', 'doge', '捂脸r', '机器人', '微笑r', '哭惹r', '机器人也是人', '遥控', '暗中观察r']","['嘲讽组，还嘲讽到底的机械人[笑哭R]', '触发底层代码了[笑哭R]', '人形比较亲切一点 总不能做成机械加鲁鲁吧 那也太魔幻了[笑哭R]']"
1,1277,1_捂脸r_笑哭r_偷笑r_doge,"['捂脸r', '笑哭r', '偷笑r', 'doge', '哈哈哈', '皱眉r', '玫瑰r', '哈哈哈哈', '大笑r', '暗中观察r']","['哈哈哈下次再战[捂脸R]', '[捂脸R]你确定不是我保护它，因为它太贵了', '恰恰相反，我倒希望等老了女儿给买一个[捂脸R]']"
2,1276,2_笑哭r_捂脸r_doge_偷笑r,"['笑哭r', '捂脸r', 'doge', '偷笑r', '汗颜r', '微笑r', '抠鼻r', '大笑r', '跑步', '呃r']","['但是以后我们的使用空间肯定不全是平地啊，要上下搬东西怎么办，要爬山怎么办？[笑哭R]', '[笑哭R] 如果婴儿不能跑步，那学走路和爬都没有意义[doge]', '不然逼它们热量过高还要跑步，以后都是鲨光人类的证据[笑哭R][笑哭R][捂脸R]']"
3,714,3_笑哭r_偷笑r_捂脸r_干冰,"['笑哭r', '偷笑r', '捂脸r', '干冰', 'doge', '冰块', '冷媒', '失望r', '降温', '降温的']","['哦不，孙子把年迈的它绊倒了[笑哭R]', '可能是救被机器人气过去的主人[笑哭R]', '那里有电机转轴吧[笑哭R]']"
4,108,4_暗中观察r_闪电_黑宇树_红荣耀,"['暗中观察r', '闪电', '黑宇树', '红荣耀', '白天工', '荣耀的', '除了跑啥也不会', '重要的是给大家助助兴', '还有元气仔', '这是别人的买了宇树机器的']","['第一个撞线的确实是遥控的，是遥控版的“闪电”，不知道是不是荣耀官方派的还是第三方用“闪电”参赛，但跟宇树八竿子打不着啊', '白天工，红荣耀，黑宇树。', '白天工，红荣耀，黑宇树']"
5,87,5_要花生米_大湾鸡_飞吻r_皱眉r,"['要花生米', '大湾鸡', '飞吻r', '皱眉r', '萌萌哒r', '椒麻鸡丝拌面也好吃', '椒麻的再加点糖醋', '麻酱里面可别忘了再加点花生酱', '有鸡冠', '放点麻酱']","['要花生米！要花生米！', '大湾鸡！你小子怎么也去了[嘻嘻R]', '太可爱了，大湾鸡[飞吻R][飞吻R][飞吻R]']"
6,66,6_云南白药_云南白药气雾剂_云南白药喷雾_防止跌打损伤,"['云南白药', '云南白药气雾剂', '云南白药喷雾', '防止跌打损伤', 'doge', '暗中观察r', '难免会摔跤啥的', '是云南白药气雾剂', '抽筋啦', '机器人也腿疼']","['云南白药。加的运动饮料', '云南白药，怕机器人膝盖疼[doge]', '云南白药，喷上去凉凉的[doge]']"
7,51,7_wd40_降温的_wd40吧_只能通过反复喷涂wd40防止干燥,"['wd40', '降温的', 'wd40吧', '只能通过反复喷涂wd40防止干燥', '降温', '这种电机打油是拆开了换润滑脂', '还有某些重机枪带的工具箱里面', '没见过这一款', '这不干冰吗', '机械灵丹妙药']","['WD40 当水喷[惊恐R]', 'wd40，给缝隙处除锈除污的[笑哭R]', '感觉像轴承润滑的，因该是 wd40']"
8,49,8_更容易猝死了_熬夜_很容易猝死_完了,"['更容易猝死了', '熬夜', '很容易猝死', '完了', '大笑r', '捂脸r', '更容易猝si', '然后增加猝死概率', '高强度运动', '猝死double']","['更容易猝死了', '更容易猝死了[偷笑R]', '更容易猝死了[捂脸R]']"
9,47,9_蚊子_苍蝇_蟑螂_毛毛虫的幼虫,"['蚊子', '苍蝇', '蟑螂', '毛毛虫的幼虫', '水蛭呢', '无恶意', '我这ip也有很多蟑螂宝宝', '所以是蛆是苍蝇都讨厌', '杰瑞', '驱蚊的作用']","['小强，杰瑞，蚊子，苍蝇……[doge]', '蚊子，苍蝇，蛆', '对  苍蝇  蚊子 老鼠小时候都可爱[笑哭R]']"
10,46,10_豆包_我现在跟豆包说话都賊礼貌_看见豆脚没_看到了一个长脚豆包的作者发了一个视频,"['豆包', '我现在跟豆包说话都賊礼貌', '看见豆脚没', '看到了一个长脚豆包的作者发了一个视频', '还有初音的壳', '疑似猪圈', '我酷姐怎么变成这样了', '还是豆包那个吓人', '我的豆包才是真的', '疑似豆包小号']","['好吓人啊[笑哭R][笑哭R][笑哭R]这是豆包吗？还不如整个红豆包顶着算了', '底特律：豆包', '豆包 豆脚']"
11,39,11_捂脸r_笑哭r_点赞r_科技的进步日新月异,"['捂脸r', '笑哭r', '点赞r', '科技的进步日新月异', '需要工程师抱下来', '机器人走路还费劲呢', '某年他又想起来春晚扭秧歌的画面', '根据现场情况做出反应', '每一个机器人都是经历过无数次摔倒', '比去年的流畅太多太多了']","['但是只是再春晚播出的时候没出问题[笑哭R][笑哭R][笑哭R][笑哭R][捂脸R][捂脸R][捂脸R]', '没事，这玩意儿进步很快的，前两年还得靠人扶着走得歪歪扭扭，现在能跑马拉松了，前年春晚只会转手帕，还得靠人扶着进场，去年春晚已经可以表演空中转圈的武术，进步速度很牛了。我很期待机器人养老，比雇人靠谱[doge]', '春晚的机器人上场也一样！这次机器人半马，每一个机器人都是经历过无数次摔倒，包括第一名冠军也是，距离终点10多米再次摔倒，一群人抬担架过去，把它立起来，没摔碎，重新调整一下，还能跑，拿了冠军！。      说白就看谁家的结实耐摔，谁家工作人员及时上去为机器人服务（降温，润滑，扶起来）到位！']"
12,32,12_防晒喷雾_防晒_防蚊喷雾_暗中观察r,"['防晒喷雾', '防晒', '防蚊喷雾', '暗中观察r', '这肤色倒也不用防了', '防狼噴霧劑', '防嗮喷雾', '都黑成碳了', '这颜色还要防晒', '这题我知道']","['防晒喷雾', '防晒喷雾[doge]', '防晒喷雾[暗中观察R]']"
13,31,13_机器人把餐食打翻了平台得赔钱_机器人送外卖_有做快餐外卖的用机器人做炒饭了_所以才有四肢,"['机器人把餐食打翻了平台得赔钱', '机器人送外卖', '有做快餐外卖的用机器人做炒饭了', '所以才有四肢', '所以价格很高', '新时代外卖员', '里面餐品放在重力仪上', '机器人外卖员跟机器人门卫打起来了', '送外卖的被机器人取代的话', '送外卖这个行业注定是要消失']","['机器人送外卖 快递 照顾老人', '不太可能 外卖这块还是无人机靠谱 这种机器人基本都是军事或者家政领域使用 因为要和人接触 所以才有四肢[偷笑R]', '机器人多贵！机器人被车撞了你得重新买一个，外卖员被车撞了就赖给外卖员自己不遵守交通规则0成本的[doge][doge][doge]机器人把餐食打翻了平台得赔钱，外卖员打翻了自己垫着[doge][doge][doge]你是老板你选择机器人还是外卖员，就这么说就国内的人力成本除了没有厂里，不然机器人暂时还替代不了人力']"
