Topic,ctfidf_top_terms
0,"机器人,机器,人类,公司,工具,人形机器人,生产,目前,工作,小机器人,大人,心疼,想到,这些,其实"
1,"比赛,参加,演唱会,厉害,宇树,人家,现场,张杰,晚上,表演,春晚,选手,参赛,明年,想去"
2,"孩子,最后,跑步,马拉松,感动,看着,真的,一样,后面,样子,终点,努力,逆战,走路,步态"
3,"好像,衣服,可爱,鞋子,一样,一段,自带,跳舞,阅读,穿衣服,停下来,舞蹈,模式,以为,哐啷"
4,"机器人,跑步,马拉松,比赛,半马,技术,意义,人类,测试,工程师,中国,汽车,机器,轮子,研发"
5,"意义,上班,年轻人,工作,科技,进步,发展,祖国,家务,时间,需要,自愿,未来,是不是,下班"
6,"统治,本人,地球,之后,当做,严肃,名状,评论,机器人,ai,人类,知道,robot,世界,智械"
7,"遥控,自主,没电,遥控器,玩具,控制,代码,散热,工作人员,电池,降温,程序员,特斯拉,底层,身上"
8,"本人,点赞,内容,豆包,严肃,评论,支持,本文,认同,豆脚,代表,此条,对象,清除,说辞"
9,"凉面,麻酱,加点,好吃,鸡丝,我要,花生米,黄瓜,要加,凉皮,豆芽,份量,糖醋,加一点,放点"
