帖子id,post_category,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,exclude_reason
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dad9000000000001005adf,,60632874000000000100b01a,@Hector,2026.04.12,北京,0.0,0.0,7,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dad9c800000000150080cb,,60a3f13e00000000010043f2,@叁叁肆肆,2026.04.12,北京,0.0,1.0,5,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dadb6900000000150013dd,,57f905ad82ec392f742028cb,@蓬蓬的莲蓬 @lq,2026.04.12,湖北,0.0,1.0,10,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dadc16000000000c033ce9,,5a989e0be8ac2b023e40b7af,@Dream,2026.04.12,澳大利亚,0.0,0.0,6,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dade4e0000000015000ece,,5bb0e47e81d7350001d9e526,@Bing�,2026.04.12,河北,0.0,1.0,6,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dae1fe000000003501b1d6,,5a9ab0eae8ac2b71c1b68a1a,@kipuddle,2026.04.12,英国,0.0,0.0,9,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69dae297000000003501045f,69dac8d7000000000c0319f8,5c6bc65900000000120121d5,@momo,2026.04.12,北京,0.0,,5,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dae36e0000000035024037,,58aa872882ec39508504d473,@那咋了？,2026.04.12,北京,0.0,0.0,5,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dae60d000000003500efb1,,5a8945774eacab251b8ef00b,@悉宝,2026.04.12,四川,0.0,0.0,3,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69dae6820000000016016433,69dac8d7000000000c0319f8,563acecf9eb5784ebf66f69c,@hiykom,2026.04.12,北京,0.0,,7,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69dae724000000003501eaf5,69dac8d7000000000c0319f8,5e2fcfcf0000000001000a7e,@想把小宗带回家,2026.04.12,江西,1.0,,8,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dae94400000000140089a1,,57452353aed758596cae090b,@momo,2026.04.12,辽宁,0.0,1.0,5,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daea560000000001004856,,62561896000000001000ef70,@天凉了穿个马甲吧,2026.04.12,内蒙古,0.0,1.0,9,only_at_mentions
69da7e87000000001a03484e,成功|观众,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daef770000000035025005,,5fe9bf200000000001006a21,@狍跑跑,2026.04.12,湖北,0.0,0.0,4,only_at_mentions
