Topic,Count,Name,Representation,Representative_Docs
0,4023,0_机器人_人形机器人_小机器人_机器,"['机器人', '人形机器人', '小机器人', '机器', '机器人马拉松', '机器狗', '有人', '人类', '机械', '人形']","['机器人也是人[偷笑R]', '机器人也是人[大笑R]', '机器人贴膜']"
1,2617,1_跑不动_站不稳_跑步_姿势,"['跑不动', '站不稳', '跑步', '姿势', '走路', '跑鞋', '步伐', '晕倒', '踉跄', '腿短']","['低血糖了吗，怎么站不稳了[偷笑R]', '跑步姿势笑死', '有一个姿势很像人跑步了']"
2,2367,2_好笑_好好笑_搞笑_哈哈笑,"['好笑', '好好笑', '搞笑', '哈哈笑', '好玩', '有意思', '不笑', '真是', '开心', '看过']","['哈哈哈哈 真的很好笑', '真的太好笑了', '@叫我言西就好啦 真的很好笑']"
3,1973,3_跟不上_跑不过_跟着_马拉松,"['跟不上', '跑不过', '跟着', '马拉松', '参加', '有人', '参赛', '跑步', '太慢', '赛跑']","['今年程序员这么不跟着跑了？', '工程师也得跟着跑个马拉松吗[捂脸R]', '马拉松程序员也得跟着跑[笑哭R]']"
4,1864,4_外卖_有意义_玩意_玩意儿,"['外卖', '有意义', '玩意', '玩意儿', '人家', '伺候', '东西', '背着', '需要', '别人']","['以后送外卖就机器人跑着来', '以后机器人送外卖', '哦靠，外卖都用机器人送吗？']"
5,1706,5_降温_冰块_加冰_发热,"['降温', '冰块', '加冰', '发热', '过热', '冷却', '温度', '高温', '散热', '制冷']","['冰块降温 怕烧了', '冰块，应该是给电池降温的吧', '降温散热的']"
6,1698,6_轮子_轮胎_轮椅_轮式,"['轮子', '轮胎', '轮椅', '轮式', '更快', '赛车', '跑步', '机器', '比赛', '马拉松']","['放轮子更快！', '有轮子的那叫赛车！', '因为这是机器人，用轮子不就是汽车比赛了？']"
7,922,7_打仗_战场_玩意_出现,"['打仗', '战场', '玩意', '出现', '用来', '玩意儿', '作战', '没用', '要是', '以为']","['你真以为这个玩意上的去战场', '哈哈哈哈哈哈你是ai那国的吧', '以后会不会有ai奥义[doge][doge][自拍R]']"
8,870,8_可爱_好萌_小可爱_这小,"['可爱', '好萌', '小可爱', '这小', '小小的', '一只', '喜欢', '这小鼻', '萌萌', '搞笑']","['�这个二娃可爱☺[笑哭了R]', '有点可爱是怎么回事儿呢', '太可爱啦还拿着奶瓶�[笑哭R][笑哭R][笑哭R][笑哭R][笑哭R][笑哭R]']"
9,792,9_遥控器_遥控_遥控车_机器人,"['遥控器', '遥控', '遥控车', '机器人', '机器', '玩意', '失控', '有人', '监控', '玩具']","['遥控机器人', '遥控机器人啊[笑哭R] 。', '有狗会说是遥控的吧？']"
