Topic,ctfidf_top_terms
0,"机器人,人类,机器,马拉松,人形机器人,跑步,统治,比赛,之后,地球,本人,评论,当做,严肃,名状"
1,"可爱,奶瓶,搞笑,真的,解说,好笑,评论,镜头,孩子,喜欢,不行,诡异,视频,小黑,鲁班"
2,"意义,进步,比赛,去年,科技,发展,亦庄,技术,加油,这样,东西,这些,知道,一年,中国"
3,"低血糖,膝盖,摔倒,担架,地上,站不稳,孩子,一下,停下来,装备,补给,以为,鞋子,好像,保安"
4,"跑步,马拉松,跟着,姿势,最后,去年,第一,起来,猝死,后面,速度,倒数,今年,比赛,工作人员"
5,"降温,散热,冰块,电池,喷雾,云南白药,干冰,wd40,润滑,关节,换电池,电机,加冰,冷却,防晒"
6,"轮子,汽车,人形,赛车,f1,更快,地形,为什么,复杂,发动机,比赛,做成,人类,机器人,发明"
7,"ai,外卖,战场,人类,终结者,快递,伺候,替代,玩意,工作,代替,打仗,养老,取代,要是"
8,"遥控,程序员,自主,遥控器,玩具,跟着,工程师,控制,后面,程序,代码,机器人,操控,导航,遥控车"
9,"荣耀,春晚,宇树,元气,八步,赶蝉,机器人,仔跑,华为,手机,撞线,闪电,晚上,那些,厉害"
