帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic,topic_prob
69e43b14000000001a02e095,"好萌的小黑仔跑马拉松

",,2760.0,1,69e468030000000014018c02,,5de650450000000001001280,果然任何东西只要小小的就会萌萌的,2026.04.19,四川,9.0,0.0,16,弱势|服务者,弱势,服务者,7,弱势,0,0.8846466352267217
69e43b14000000001a02e095,"好萌的小黑仔跑马拉松

",,2760.0,1,69e4b084000000001401ac16,,60c0d9bb0000000001003ec9,有点可爱 果然什么东西都是小小的可爱,2026.04.19,广东,2.0,0.0,18,弱势|服务者,弱势,服务者,5,弱势,0,0.8666666666666651
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,1,69e672e10000000014018c03,,61e373200000000010007788,我40多岁的老男人竟然喜欢那奶瓶的小机器人，太可爱了,2026.04.21,山东,2.0,0.0,26,弱势|观众,弱势,观众,8,弱势,0,0.8666666666666648
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,1,69e55f320000000014018809,,5d6244570000000001007719,迈着矫健的步伐[偷笑R]，怕是萌萌哒的步伐哦,2026.04.20,四川,0.0,0.0,22,弱势|观众,弱势,观众,5,弱势,0,0.8666666666666629
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,1,69e71ac3000000001401b025,,689fe0750000000019015632,小派的奶爸谢谢大家对小鼻嘎的喜爱，爱你们[飞吻R]！我们会继续努力💪,2026.04.21,广东,0.0,0.0,34,弱势|观众,弱势,观众,7,弱势,0,0.8629623407919751
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,2,69e7a80f000000001401e014,69e7a39d000000001401d408,5e44fa5e0000000001007377,果然什么东西小小的都会变可爱,2026.04.22,浙江,1.0,,14,弱势|观众,弱势,观众,5,弱势,0,0.8399999999999979
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,1,69e9c635000000001401d80c,,6979767a000000001d01a163,果然 什么东西小小的都很可爱[笑哭R],2026.04.23,山东,0.0,0.0,19,弱势|观众,弱势,观众,4,弱势,0,0.8399999999999979
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,1,69e505d8000000001401a409,,5f491bd20000000001001c90,果然 什么东西小小的都很可爱,2026.04.20,广西,,436.0,14,弱势|观众,弱势,观众,4,弱势,0,0.8399999999999979
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,1,69e8252f0000000014013007,,5eb382a50000000001005ebd,我宣布！奶瓶小派获得最佳人气奖！太可爱了这小玩意儿[萌萌哒R],2026.04.22,四川,2.0,0.0,31,弱势|观众,弱势,观众,7,弱势,0,0.8399999999999971
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,2,69e74118000000001401ac15,69e505d8000000001401a409,5d1b75140000000010000711,老鼠小时候很可爱红色的没毛,2026.04.21,浙江,0.0,,13,弱势|观众,弱势,观众,5,弱势,0,0.8395132721862737
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,1,69e675d1000000001401a801,,58109e73a9b2ed072e679c0f,荣耀包揽了冠亚季军[笑哭R],2026.04.21,北京,0.0,0.0,14,弱势|观众,弱势,观众,4,弱势,0,0.8391026464441698
