comment_id,帖子id,post_category,robot_status,human_role,content,topic_raw,topic_assigned
69e8bc65000000001401b021,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,设计的问题，更程序员关系不大（如果程序员没参与设计的话）,-1,0
69e2fc2d000000001401b82a,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,能不能做成四个轮子的，加一种液体就可以跑起来的那种！,-1,0
69e3352a000000001401e016,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,加油继续,-1,1
69e2fda9000000001401b01f,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,地上不许睡觉，赶快起来,-1,2
69e7d221000000001401d803,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,就是一个电动遥控玩具。,5,5
69e309df000000001401dc36,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,宇树是不是禁赛，太欺负人了,-1,0
69e7a7150000000014019809,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,只有我心疼这个机器的报废了吗，程序员不心碎了吗,-1,9
69e787d0000000001401c427,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,这就是传说中的还没开始就结束了吗[doge],10,10
69e97657000000001401a403,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,摔一跤就成碎片了？,2,2
69e2f480000000001401a819,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,这AI吧，不可能啊，机器人怎么摔下也不至于摔成这样，碎哪里都是渣，我儿子的玩具从4楼掉下去都没掉渣，就是变形了,0,0
69ef227c000000002902c4d5,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,还有义体医生？牛逼啊 v,7,7
69ec18db000000002901aa52,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,出征即阵亡,10,10
69eb811c0000000029037cc9,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,我上完体育课就这样。。,4,4
69eb5dfc00000000280394d5,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,还挺像回事，还用担架[笑哭R],6,6
69eb7c080000000028030c67,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,摔个稀碎。,2,2
69eb6d8800000000270291aa,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,真正实现了死在起跑线上了[大笑R],-1,3
69eb46950000000029036186,69e2583b00000000230211ea,失败|抢救者,失败,抢救者,一个跟头就稀碎了[石化R],2,2
