Topic,ctfidf_top_terms
0,"机器人,人类,机器,人形机器人,马拉松,跑步,比赛,人形,需要,发展,这些,为什么,技术,服务,机器人马拉松"
1,"跑步,姿势,低血糖,膝盖,最后,摔倒,起来,担架,地上,好像,站不稳,孩子,一下,停下来,以为"
2,"可爱,奶瓶,解说,搞笑,真的,镜头,好笑,孩子,喜欢,鲁班,小黑,豆包,小孩,诡异,小派"
3,"意义,评论,科技,发展,技术,加油,进步,东西,知道,这样,中国,这些,无聊,玩意,世界"
4,"降温,散热,冰块,电池,喷雾,云南白药,干冰,wd40,润滑,关节,换电池,电机,加冰,冷却,过热"
5,"轮子,汽车,赛车,人形,f1,更快,地形,为什么,复杂,发动机,比赛,发明,日本,驾驶,跑步"
6,"程序员,马拉松,跟着,跑步,工程师,代码,猝死,程序,后面,补给,公里,工作人员,三个,意义,运动"
7,"ai,外卖,人类,战场,终结者,伺候,快递,替代,玩意,工作,养老,代替,取代,打仗,背着"
8,"去年,荣耀,比赛,进步,春晚,今年,宇树,亦庄,元气,一年,第一,参赛,明年,进化,参加"
9,"遥控,自主,遥控器,玩具,控制,跟着,后面,机器人,导航,操控,遥控车,自动,1.2,区别,智能"
