Topic,Count,Name,Representation,Representative_Docs
-1,6888,-1_机器人_机器_玩意_比赛,"['机器人', '机器', '玩意', '比赛', '人类', '怎么', '速度', '东西', '不要', '为什么']","['中国的:这种比赛的意义是什么？有什么用呢？          美国的:你看人家的机器人都已经到这种程度了，我们还在靠人在送外卖。（配乐:我们都在努力的活着）', '一个机器人需要配三个陪跑，哈哈哈[捂脸R]', '人走着走着就散了，机器人走着走着就散了。']"
0,689,0_遥控器_遥控_遥控员_遥控车,"['遥控器', '遥控', '遥控员', '遥控车', '机器人', '摇控器', '有人', '玩意', '控制', '操控']","['遥控机器人[偷笑R]', '遥控的人跑死掉', '有狗会说是遥控的吧？']"
1,550,1_跑不动_跑步_姿势_奔跑,"['跑不动', '跑步', '姿势', '奔跑', '走路', '步态', '动作', '挺快', '姿态', '脚后跟']","['有一个姿势很像人跑步了', '和我跑步一个姿势', '跑步姿势不对伤膝盖']"
2,324,2_摔倒_跌倒_摔了一跤_摔得,"['摔倒', '跌倒', '摔了一跤', '摔得', '摔碎', '摔成', '摔个', '倒地', '倒下', '摔死']","['感觉随时想摔倒。', '摔倒了的那个不蹭，嘣💥', '真不是故意摔倒的？']"
3,297,3_程序员_跑不动_码农_run,"['程序员', '跑不动', '码农', 'run', '跑啦', '程序', '跟不上', '马拉松', '跟着', '代码']","['程序员马拉松', '程序员跑得动吗', '程序员康复训练[失望R]']"
4,218,4_去年_今年_跑的快_跑得快,"['去年', '今年', '跑的快', '跑得快', '强太多', '这次', '之前', '进步', '明年', '一年']","['相较去年今年进步真的太快了[赞R]', '今年比去年快多了[doge]', '比去年的大会上有进步']"
5,216,5_机器人马拉松_机器人_马拉松_机器,"['机器人马拉松', '机器人', '马拉松', '机器', '马拉', '比赛', '跑者', '参加', '比拼', '怎么']","['不懂机器人跑马拉松的意义在哪[捂脸R]', '啊 机器人马拉松比赛？', '看机器人跑马拉松吗？']"
6,207,6_战场_打仗_作战_上阵,"['战场', '打仗', '作战', '上阵', '战士', '背着', '全副武装', '冲过来', '武器', '子弹']","['想想这玩意在战场上端着枪追你，慌不慌', '对啊，让他跑这么快的意义是？上战场吗', '上战场背个炸药包，跑的还快[doge]']"
7,205,7_好笑_哈哈哈哈_哈哈哈_搞笑,"['好笑', '哈哈哈哈', '哈哈哈', '搞笑', '哈哈', '好好笑', '这笑点', '真好玩', '有趣', '笑料']","['真的很好笑[笑哭R]', '哈哈哈哈哈这个视频好笑', '多拍点，真的好搞笑[笑哭R][笑哭R]']"
8,201,8_电池_续航_电池容量_电量,"['电池', '续航', '电池容量', '电量', '换电池', '充电', '费电', '有电', '耐用', '电压']","['比电池续航吗？', '比的是电池续航吧[捂脸R]', '比电池续航呗[捂脸R]']"
9,191,9_可爱_可爱多_太萌_好萌,"['可爱', '可爱多', '太萌', '好萌', '小可爱', '超萌', '小小的', '喜欢', '小东西', '小玩意']","['真的好可爱啊，越看越可爱。[害羞R]', '可爱到要命', '两小只太可爱了']"
10,190,10_比赛_参赛_大赛_参加,"['比赛', '参赛', '大赛', '参加', '哈哈哈', '哈哈哈哈', '完赛', '赛前', '哈哈', '赛后']","['比不比赛了还[笑哭R]哈哈哈哈光饭撒了', '哈哈哈，不专心比赛哦[偷笑R][偷笑R]', '这是比谁的尸块多比赛[笑哭R]']"
11,188,11_小机器人_机器人_机器_可爱,"['小机器人', '机器人', '机器', '可爱', '人家', '小小的', '卖萌', '哈哈哈', '萌萌', '大人']","['这些机器人太可爱了[点赞R][点赞R][点赞R][点赞R]', '这个小机器人好可爱哦', '[色色R][色色R][色色R]反正我就是觉得，拿🍼那个小机器人宝宝真的好可爱鸭[色色R][色色R][色色R]']"
12,167,12_鞋太大_鞋大_太大_鞋子,"['鞋太大', '鞋大', '太大', '鞋子', '太重', '这大', '穿鞋', '这鞋', '买大', '鞋跟']","['孩子是不是鞋子太大了', '谁给孩子穿那么大的鞋子[失望R][失望R]', '孩子鞋子太大了[皱眉R]']"
13,154,13_机器人_外卖_送餐_配送,"['机器人', '外卖', '送餐', '配送', '送买外', '这送', '餐员', '闪送', '快递', '更多人']","['以后机器人送外卖', '哦靠，外卖都用机器人送吗？', '外卖机器人🤖']"
14,150,14_还跟着_跟着_这三人_有人,"['还跟着', '跟着', '这三人', '有人', '三个', '赶上', '多人', '跑动', '后面', '人要']","['人还得跟着跑，还三个[微笑R]', '这三个人也要跟着跑完？', '三个人跟着跑']"
15,140,15_轮子_用轮_用轮儿_輪子,"['轮子', '用轮', '用轮儿', '輪子', '驱动轮', '为啥', '滑轮', '轮椅', '为什么', '不用']","['用轮子不行吗[汗颜R]', '为什么？不装轮子', '为什么没轮子啊']"
16,136,16_f1_赛车_赛车场_赛事,"['f1', '赛车', '赛车场', '赛事', '方程式赛车', '赛道', '赛人', '赛场', '比赛', '大奖赛']","['机器人F1[笑哭R]', 'F1 机器人', 'F1 赛机手[汗颜R][汗颜R]']"
17,114,17_机器人_用脚_轮子_机器,"['机器人', '用脚', '轮子', '机器', '两条腿', '人形机器人', '双脚', '交叉', '两足', '轮椅']","['不懂就问，明明可以机器人用履带或者轮子。为什么一定要研究怎么用脚呢？', '为什么非得两足交替触地这种弱的一批的运动形式。[doge] 直接安个轮子不比这破烂模式强？[doge]自然界，进化出速度优势的基本是四足。四足在稳定性和输出量上显然更具优势。即便袋鼠也是双足跳跃提高单次输出的功率。[doge]非要模仿人类的形态，就没憋什么好屁。[doge]', '机器人是不是不一定要两条腿，弄轮子不是更好吗[黑薯问号R]']"
18,114,18_奶瓶_瓶奶_小可爱_可爱,"['奶瓶', '瓶奶', '小可爱', '可爱', '喝奶', '我奶', '奶嘴', '吃奶', '小玩意儿', '老大不小']","['太可爱啦还拿着奶瓶🍼[笑哭R][笑哭R][笑哭R][笑哭R][笑哭R][笑哭R]', '小奶瓶好可爱啊', '笑死了小个儿的还拿个奶瓶[笑哭R]']"
19,112,19_短腿_腿短_短小_这小,"['短腿', '腿短', '短小', '这小', '小腿', '太短', '长腿', '短手', '小个子', '蹬腿']","['这小短腿[偷笑R]', '这小短腿其实倒腾挺快的[笑哭R][笑哭R]', '这小短腿，紧着倒腾']"
20,110,20_降温_降降温_降热_降温法,"['降温', '降降温', '降热', '降温法', '发热', '发烧', '降个', '高温', '过热', '清凉']","['古法降温', '我要化了，快降温', '笑死我了给ka降温']"
21,104,21_有何意义_有意义_意义_没意义,"['有何意义', '有意义', '意义', '没意义', '意思', '实际意义', '玩意', '什么', '有人', '解释']","['手摇的意义在哪？', '扛个rpg意义不就来了[doge]', '有什麼意义']"
22,104,22_科技进步_高科技_科技界_科技,"['科技进步', '高科技', '科技界', '科技', '科学技术', '不断进步', '技术', '先进', '进步', '越来越快']","['科技真厉害啊！', '科技的进步', '科技在进步[飞吻R]']"
23,104,23_低血糖_头晕_站不稳_晕倒,"['低血糖', '头晕', '站不稳', '晕倒', '迷糊', '有点', '晕厥', '喝点', '缺氧', '有点像']","['像走着走着低血糖了一样', '低血糖还跑步？', '有点低血糖，站不太稳']"
24,104,24_机器人_站不稳_站不住_小机器人,"['机器人', '站不稳', '站不住', '小机器人', '累得', '太累', '扛不住', '摔倒', '机械', '摔成']","['机器人站不稳，要倒了', '机器人都跑累了，站都站不稳[偷笑R]', '瞧把机器人累的，站都站不稳了']"
25,99,25_机器人_养老_老龄化_老人,"['机器人', '养老', '老龄化', '老人', '老年人', '养老院', '老年', '电器', '这老', '伺候']","['以后养老靠机器人感觉很有希望了', '养老型机器人', '以后养老机器人也能这么快吗？']"
26,98,26_解说_解说词_好笑_精彩,"['解说', '解说词', '好笑', '精彩', '有趣', '有意思', '搞笑', '好好笑', '好棒', '了解']","['解说很赞', '解说好绝[笑哭R][笑哭R]', '解说精辟']"
27,93,27_喷裆_裤裆_喷个_喷喷,"['喷裆', '裤裆', '喷个', '喷喷', '喷水', '喷药', '喷点', '裆部', '喷剂', '喷油']","['给人家裤裆喷', '往人家裤裆喷什么嘛[doge]', '为什么喷裤裆']"
