comment_id,帖子id,post_category,robot_status,human_role,content,topic_raw,topic_assigned,topic_reduced
69e464cb000000001401e415,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,您是语言的艺术,-1,-1,-1
69e477f8000000001401c828,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,您们都是生活的艺术家,-1,-1,-1
69e4801b000000001401dc2d,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,你们都是伟大的人类,-1,-1,-1
69e48467000000001401c42e,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,当初游老师要求退出文坛的时候我是强烈反对的,12,12,1
69e486a9000000001401cc22,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,我上网就是为了看您这样的评论[赞R],-1,-1,-1
69e48767000000001401a016,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,您是评论的艺术[笑哭R],-1,-1,-1
69e4bafb0000000014019004,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,您们都是伟大的碳基生命,-1,-1,-1
69e4c5a4000000001401981a,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,能弥补我的“哇塞”,-1,-1,-1
69e4c6da000000001401bc2b,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,您们都是无限的套娃[嘻嘻R],-1,-1,-1
69e4e601000000001401a00f,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,真会说话呢,9,9,1
69e4eab4000000001401cc29,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,我是蠕动的蛆虫[doge],37,37,7
69e4fd560000000014018c1a,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,您真是语言的艺术,-1,-1,-1
69e5b153000000001401c816,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,哇 好会说话！[皱眉R],9,9,1
69e5dde9000000001401e02b,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,游心老师退出文坛我是不同意的,-1,-1,-1
69e6e4ec000000001401e02a,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,幸好有点赞的功能，要是让我自己留言，我只会说666,-1,-1,-1
69e480f3000000001401b00e,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,llllllllllllll）了））llllllllll,9,9,1
69e47ec3000000001401a006,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,胸前还挂了一个奶嘴[捂脸R][捂脸R],18,18,1
69e48d54000000001401e814,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,机宝可爱捏,8,8,0
69e4af6f000000001401a402,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,是，跑到后面奶瓶找不到了[偷笑R],18,18,1
69e4b085000000001401ac25,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,几岁啦？这么小就参赛啦？有前途[点赞R],24,24,0
69e4dc28000000001401e400,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,敷面膜的我笑成鹅叫[捂脸R],9,9,1
69e4dc62000000001401e809,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,这孩子后面的码农就没想过赢，纯纯是来萌死我们的[笑哭R],10,10,0
69e572060000000014019818,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,花儿对我笑，小鸟说早早早，你为什么背上小书包？我要去炸学校[笑哭R],-1,-1,-1
69e585840000000014019008,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,哈哈哈哈哈哈哈我昨天看到一个豆包机器人,8,8,0
69e5ff11000000001401e01e,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,拿着个奶瓶就出来上班了,18,18,1
69e64204000000001401c412,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,敏感是一个人的天赋[派对R],-1,-1,-1
69e64780000000001401dc05,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,是呢，敏感是一个好词,-1,-1,-1
69f2c6a10000000027021a1d,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,说得好感动啊[赞R],-1,-1,-1
69f2c6eb000000002a0276e8,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,博主语气渲染得好[哭惹R],-1,-1,-1
69e4abb1000000001401ac2c,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,[笑哭R]它的头是镂空的，所以从哪个面看都像在看你,-1,-1,-1
69e48932000000001401e022,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,白色毫毛，添福添寿。,-1,-1,-1
69e4b3a8000000001401dc38,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,你这么说我开心好多，我脸上有两根，好困扰，还很长,-1,-1,-1
69e4dacd0000000014019413,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,你看视频后半段头转回去了,-1,-1,-1
69e4dc8e000000001401d80b,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,人里人气的[笑哭R],-1,-1,-1
69e88272000000001401e00c,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,谢谢您的鼓励,-1,-1,-1
69e80a300000000014018c0b,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,嗯嗯能听出来一点 特别熟悉的感觉[偷笑R],-1,-1,-1
69e73c75000000001401e029,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,您太聪明了，这能听出来吗,-1,-1,-1
69e4e58f000000001401a80a,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,这是珍贵录像[偷笑R],-1,-1,-1
69e59871000000001401e40d,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,跑太快了，我掏出手机，他就跑走了[偷笑R],0,0,0
69e855bd000000002b031349,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,閃電真的太快了……從別人的視角看不明顯，從跑者的腳步一看簡直是絕望[石化R],-1,-1,-1
69e5023b000000001401a017,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,哈哈，铲它[笑哭了R]不过它应该有什么遇到障碍物跌倒后的代码，不会完全起不来,16,16,1
69e5db190000000014019429,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,被踩一脚你自己骨折了[doge]挺重的,16,16,1
69e4a13a000000001401c002,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,早晚的事情[笑哭R] 机器人只需要有一个学会了 所有的都会,8,8,0
69e4b6f3000000001401e42f,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,蒸汽机诞生时还不如马车呢[偷笑R],36,36,0
69e7f3b7000000001401d406,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,这才第二年，都会有的,-1,-1,-1
69e4af1a000000001401e818,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,它马拉松都跑了以后7*24看护比你做的好[笑哭R],0,0,0
69e4cffd000000001401e00b,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,人形机器人技术爆发才第2年。所以你急什么？,-1,-1,-1
69e4698b0000000014019809,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,白天工，红荣耀，黑宇树。,29,29,2
69e4701f000000001401d428,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,就这三家跑的正常一点吧，其他的机器人感觉都是来整活的[doge],-1,-1,-1
69e5b1bf000000001401b800,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,增添乐趣啊[笑哭R] 我看的很开心[笑哭R][笑哭R][笑哭R],-1,-1,-1
69e6062f0000000014019c16,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,謝謝好專業啊[大笑R],-1,-1,-1
69e6025e000000001401a80a,69e44278000000001a0217bb,强势|被超越者,强势,被超越者,这是天工，去年的冠军,24,24,0
