Topic,Count,Name,Representation,Representative_Docs
-1,908,-1_参加_厉害_几个_更好,"['参加', '厉害', '几个', '更好', '水平', '不如', '一下', '里面', '参赛', '玩意']","['现在刚开始肯定有的不行，但是为什么不放那些好的呢？不知道你是什么目的，任何事物在实验的过程当中肯定要出一些这样那样的问题，不要笑失败，是成功之母，再等几年，我们的机器人工业一定能取得很大成就的', '对不起我的女儿[哭惹R][哭惹R]   我是一个蹦溃的母亲。宝贝女儿才5岁就得了 重z.症  。。在ICu里面连呼吸都困难，我实在太无...助了，为了留住宝宝，一天只能睡4小时，在饭店做服务员，夜里送外卖。不敢休息[哭惹R]  给大伙:跪:下球啦闺女一把[合十R]叩谢', '前几天听说是大学生机器人比赛，明天在亦庄比赛，这个可能是参赛前测试吧？']"
0,622,0_机器人_人形机器人_机器_机器人马拉松,"['机器人', '人形机器人', '机器', '机器人马拉松', '机器狗', '人形', '人类', '机械', '人家', '玩意']","['机器人得像人呀', '机器人也是人[偷笑R][偷笑R]', '人走着走着就散了，机器人走着走着就散了。']"
1,324,1_解说_好笑_搞笑_笑死人,"['解说', '好笑', '搞笑', '笑死人', '有趣', '笑话', '这波', '有意思', '讲解', '笑声']","['解说太搞笑了', '这解说太搞笑了', '笑死我了，这个解说好搞笑']"
2,178,2_一块_摔得东_摔到_摔得,"['一块', '摔得东', '摔到', '摔得', '摔碎', '摔成', '摔个', '摔倒', '一跤', '这一']","['摔的东一块西一块的', '东一块，西一块了[捂脸R]', '东一块西一块']"
3,119,3_一大批_玩意_不像_没弄,"['一大批', '玩意', '不像', '没弄', '产品', '骗钱', '技术', '垃圾', '不够', '没钱']","['你们这些所谓的科技公司都好好的做点实事吧？有几个是真正在做事的？', '都是不成熟的科技', '就是这样一家下重本研发成功出产品，家家仿着做 肯定有好有差，完后家家升级试验，成功后销售价格一家比一家低，最先研发的倒闭了，在淘汰一大批比价比死了，留下的价格也不行了，公司死了可惜，活着还遭罪']"
4,97,4_马拉松_跑不过_跑步_慢跑,"['马拉松', '跑不过', '跑步', '慢跑', '别跑', '追不上', '参赛', '跑鞋', '速度', '参加']","['跑步讲求稳定性，动作指令的精准性，跑步是很多指令纠正的结果', '平时不跑步，就别参加马拉松了', '这速度跑马拉松得跑一天吧']"
5,97,5_遥控_遥控器_遥控车_玩意,"['遥控', '遥控器', '遥控车', '玩意', '玩具', '玩意儿', '机器人', '摇控器', '有人', '操控']","['笑死，遥控玩具', '都是些遥控玩具，有什么好炫的[笑哭R][笑哭R][笑哭R]', '[微笑R]这不都是人遥控的么']"
6,93,6_担架_抬担架_担架员_好笑,"['担架', '抬担架', '担架员', '好笑', '抬不动', '搞笑', '有模有样', '抬去', '抬走', '还要']","['笑死，还需要担架', '还有人拿担架[doge]', '担架太搞笑了']"
7,73,7_救护车_救護車_机器人_救人,"['救护车', '救護車', '机器人', '救人', '人救', '急救车', '救護', '機器', '急救', '抢救']","['哈哈哈哈 机器人救护车🚑', '机器人救护车，我还以为是机器人抢救人[笑哭R]', '我以为是机器人开救护车来救人']"
8,49,8_ai_有点像_怀疑_好糊,"['ai', '有点像', '怀疑', '好糊', '视频', '搞笑', '识别', '没碎', '以为', '一堆']","['因为是AI,[doge]上面还一堆说不是ai的', '笑死我了，这是什么AI整出来的，也太搞笑了', 'ai 视频吗']"
9,49,9_太差_很差_劣质_不好,"['太差', '很差', '劣质', '不好', '质量', '太脆', '太假', '垃圾', '差到', '好差']","['这质量也太差了吧', '质量太差了！', '这个质量太差了']"
10,44,10_结束_结束战斗_停止_开始,"['结束', '结束战斗', '停止', '开始', '结局', '开场', '结果', '不早', '开局', '继续']","['还没开始就结束了[大笑R]', '还没开始呢[笑哭R]  就已经结束了', '开始就结束了[捂脸R]']"
11,42,11_装备_爆一地_大爆_掉落,"['装备', '爆一地', '大爆', '掉落', '一出场', '一地', '东西', '碰瓷', '击中', '厉害']","['爆了一地的装备[偷笑R][偷笑R]', '这是爆了一地的装备', '爆了一地装备']"
12,40,12_闪电_閃電_红色_闪电侠,"['闪电', '閃電', '红色', '闪电侠', '红眼', '哪个', '跑得快', '哪個', '小红', '红衣服']","['闪电是红色的', '那个红色闪电⚡', '那个红色闪电笑死我了[笑哭R]']"
13,40,13_降温_过热_发热_冷却,"['降温', '过热', '发热', '冷却', '冰才行', '加冰', '干冰', '温度', '散热', '电池']","['电机过热[吃瓜R]', '降温的干冰', '背的干冰降温的？']"
14,35,14_抢救_不够_不错_一下,"['抢救', '不够', '不错', '一下', '回去', '赶紧', '挺快', '能取', '帮忙', '抬下去']","['还能抢救一下', '家里不够乱的可以买一个回去添乱了[捂脸R]', '嫌自己家里不够乱的可以买一个回去添乱']"
15,35,15_春晚_机器人_厉害_看过,"['春晚', '机器人', '厉害', '看过', '差远了', '这次', '费劲', '那批', '哪个', '播出']","['春晚不是这水平啊！', '咋春晚的机器人那么厉害', '春晚的机器人不是都挺厉害的吗[石化R]']"
