topic,top_terms,size
0,"机器人, 这些, 救护车, 人类, 春晚, 马拉松, 跑步, 救人, 中国, 自爆, 之前, 跳舞, 碰瓷, 肯定, 厉害",677
1,"人, 机器, 中国, 起来, 好像, 一样, 汽车, 设计, 代替, 不够, 一堆, 那些, 照顾, 機器, 确实",219
2,"担架, 搞笑, 还要, 不好, 还用, 抬走, 需要, 好笑, tm, 塑料袋, 拿个, 玩意, 扫把, 确实, 准备",128
3,"装备, 一地, 上来, 零件, 爆一地, 开始, 摔倒, 好像, 第一个, 666, 真的, 爆率, 厉害, 东西, 碰瓷",110
4,"视频, 解说, 搞笑, ai, 人类, 有趣, 宇树, 精彩, 水平, 真的, 去年, 评论, 刷到, 看过, 在外",203
5,"红色, 闪电, 厉害, 荣耀, 真的, 自爆, 一样, 哪家, 撞车, 哪个, 想起, 追尾, 喜欢, 汽车, 冠军",105
6,"遥控, 玩具, 自主, 自动, 东西, 遥控器, 是不是, 玩意, 不如, 而已, 意思, 好像, 样子, 拿个, 操作",218
7,"比赛, 马拉松, 测试, 人形机器人, 为什么, 人类, 真的, 参加, 玩意, 人形, 现场, 开始, 好笑, 厂家, 意义",574
8,"这样, 以为, ai, 原来, 碎成, 零件, 晚上, 救人, 救护车, 知道, 大家, 粉末, 中国, 结果, 只是",330
9,"一下, 抢救, 真的, 处理, 质量, 解体, 公司, 测试, 好像, 骨折, 确实, 粉碎性, 散架, 哪家, 无法",281
