topic,top_terms,size
0,"一地, 视频, 东西, 解体, 程序员, 塑料, 回收, 电机, 不够, 晚上, 一点, 有人, 家里, 到底, 问题",405
1,"ai, 真的, 零件, 做成, 一样, 模式, 一堆, 视频, 下面, 看着, 摔成, 自毁, 四个, 创业, 上来",87
2,"机器, 玩意, 科技, 还要, 好像, 发展, 挣扎, 只有, 正常, 失败, 研究, 进步, 要是, 几下, 起步",86
3,"不行, 质量, 程序, 大家, 是不是, 散架, 知道, 太差, 怎么办, 材质, 倒地, 现场, 厉害, 结实, 事情",85
4,"起来, 搞笑, 为什么, 这些, 人, 抬担架, 心疼, 不用, 心碎, 拿个, 真人, 人形, 崩溃, 里面, 加油",78
5,"机器人, 救护车, 以为, 抢救, 春晚, 多少, 服务, 医院, 世界, 医生, 120, 高级, 原来, 未来, 那些",298
6,"担架, 人类, 好笑, 为了, 之前, 不好, 最后, 过来, 工作人员, 代替, 未来, 抬走, 必要, 抢救, 关节",108
7,"人, 需要, 中国, 地上, 骨折, 粉身碎骨, 粉碎性, 确实, 脾气, 学生, 发明, 参加, 机械, 一堆, 未来",78
8,"公司, 摔倒, 起跑线, 输在, 就业, 扫把, 很多, 哪家, 过去, 方向, 充电, 老人, 玻璃, 报废, 只能",60
9,"开始, 一下, 测试, 比赛, 结束, 材料, 不要, 结果, 原地, 自爆, 还用, 做文章, 哪个, 参赛, 医生",101
10,"这样, 玩具, 跑步, 稀碎, 设计, 救人, 以为, 碎成, 碰瓷, 摔得, 遥控, 可是, 掏钱, 一样, 专门",90
11,"装备, 马拉松, 知道, 人形机器人, 减速带, 技术, 成熟, 产品, 汽车, 人家, 不如, 研发, 意义, 为什么, 看看",92
