帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic,topic_prob
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db3e43000000003501f444,69db2eba000000003501189f,6406e417000000002a008955,机器人未来是服务人类代替人类完成一些工作，所以是按照人类外形设计能更好融入场景，比如要去柜子上面取放东西，比如要搀扶照顾老人等等，懂了吧？,2026.04.12,湖北,7.0,,69,强势|观众,强势,观众,25,强势成功,0,0.9608645068889321
69e481e8000000002003ad94,"

",,,2,69e4a845000000001401ac21,69e490ae000000001401d42a,671b9640000000001d021b02,我看马斯克说过一个解释：机器人是要为人服务的，生活中事物都是为两腿人设计的。只有两腿才能更好的为人服务,2026.04.19,上海,0.0,,51,强势|服务者,强势,服务者,17,强势成功,0,0.9437416634486382
69e481e8000000002003ad94,"

",,,1,69e4a390000000001401cc07,,6057790c000000000101d3fe,无聊的人类，本来机器人的创造是为了代替人类，去做高风险职业，比如高空作业，，下地下井，外太空等等，但是反过来了,2026.04.19,云南,35.0,12.0,55,强势|服务者,强势,服务者,17,强势成功,0,0.9357081373758107
69e481e8000000002003ad94,"

",,,2,69e5b5dc000000001401b00f,69e490ae000000001401d42a,60e1923f00000000200274a4,因为是用来代替人的，人为啥会成为动物界食物链顶端也是有原因的，说明我们这身体结构就是物理界的最优答案。,2026.04.20,四川,0.0,,51,强势|服务者,强势,服务者,15,强势成功,0,0.9356999158665041
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db364500000000150052a8,69daef940000000001007f78,5c3b72250000000007001f6c,都是在探索极限，背后的驱动力都是人的思想，只是人没在跑，但是人的思想在跑，以往付出的努力和科研成果在跑，最起码现阶段看没什么不妥。,2026.04.12,山东,0.0,,65,强势|观众,强势,观众,18,强势成功,0,0.9356898299783215
69e481e8000000002003ad94,"

",,,2,69e4a77a000000001401a41b,69e4a6fe0000000014019c0d,6513ad800000000023027338,造出代替人类工作的机器人 你又要说，影响普通人就业 找不到工作都怪机器人,2026.04.19,浙江,0.0,,36,强势|服务者,强势,服务者,12,强势成功,0,0.9307662526630043
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69e4b871000000001401e41d,69e42853000000001401cc00,64466e56000000001f0318e9,预设一个目标，在过程中解决工程和算法问题，然后再把结果应用到实际应用场景。,2026.04.19,广东,0.0,,37,强势|观众,强势,观众,12,强势成功,0,0.9249866666065426
69e481e8000000002003ad94,"

",,,2,69e5a7bd000000001401c010,69e5a177000000001401c82e,606b02700000000001008610,但是机器人不应该成为工具吗，现在反而都在替代人类“生活”而不是改善人类的生活。,2026.04.20,山东,0.0,,39,强势|服务者,强势,服务者,10,强势成功,0,0.9181770333185267
69e481e8000000002003ad94,"

",,,1,69e49c880000000014018c14,,5956ee4d5e87e72450165051,社会很多东西都是给人设计的，人形机器人能更好的适应“人类”的社会,2026.04.19,上海,0.0,0.0,32,强势|服务者,强势,服务者,10,强势成功,0,0.9181709739023929
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db0632000000003500e45e,69db02c8000000003501de1d,5cf4755000000000180104be,因为所有东西都是按人类设计的 用人型机器人会更低成本跟快更高效去应对所有场景[偷笑R],2026.04.12,广东,0.0,,43,强势|观众,强势,观众,11,强势成功,0,0.9181707534714195
69e481e8000000002003ad94,"

",,,1,69e4a5880000000014019028,,680a07bb000000000a03f67d,为啥说做机器人不好[笑哭R]做机器人目前来看太好了 一个机器人配三个跟班 促进就业,2026.04.19,天津,0.0,0.0,41,强势|服务者,强势,服务者,11,强势成功,0,0.9181667305965305
69e481e8000000002003ad94,"

",,,2,69e60f8a000000001401882d,69e490ae000000001401d42a,687772ec000000001d00918a,很多事可以做啊，比如火灾救援 家政 保洁 工地，可以替代掉一大堆职业，很庞大的市场,2026.04.20,广东,0.0,,41,强势|服务者,强势,服务者,12,强势成功,0,0.9099940144689093
69e481e8000000002003ad94,"

",,,2,69e5a25e000000001401dc0d,69e57c66000000001401e818,5c9064930000000011022c90,工业上利用跑步能测出很多机器人的短板，其实是很有效的方式,2026.04.20,浙江,0.0,,28,强势|服务者,强势,服务者,10,强势成功,0,0.9099924125630084
69e481e8000000002003ad94,"

",,,1,69e4a5b6000000001401b819,,58cd40ac5e87e71197ea611b,机器人不会替代人类，因为每个机器人需要好几个人来维护[doge],2026.04.19,浙江,1.0,0.0,32,强势|服务者,强势,服务者,9,强势成功,0,0.9099876027673327
69e481e8000000002003ad94,"

",,,1,69e4a049000000001401e024,,5fa645450000000001006844,未来地球和上外太空战略需要，代替人类进行的作业,2026.04.19,广东,0.0,0.0,23,强势|服务者,强势,服务者,9,强势成功,0,0.8999978368326743
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db13000000000035020ffc,69db09350000000035018759,5a3884dc11be10110993c991,因为这个世界所有设施都是为人类设计的，所以人形机器人是适用性最强的形态,2026.04.12,上海,0.0,,35,强势|观众,强势,观众,9,强势成功,0,0.8999937598615054
69e481e8000000002003ad94,"

",,,2,69e49aa3000000001401e823,69e490ae000000001401d42a,666acdab0000000003030b4e,因为社会上90%以上的工具设施都是按照人类身体结构设计的,2026.04.19,山东,0.0,,28,强势|服务者,强势,服务者,9,强势成功,0,0.899992753208306
69e481e8000000002003ad94,"

",,,1,69e5aa11000000001401b800,,5fa3aa1e0000000001002ebc,这对吗？ 一个人跑不需要人照顾 一个机器人跑三个人照顾？,2026.04.20,重庆,6.0,3.0,28,强势|服务者,强势,服务者,8,强势成功,0,0.8999889280767616
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,2,69e74be3000000001401a006,69e605120000000014019c0d,61ac9371000000001000d064,比如将来想用机器人代替消防员工作，腿可以更自由的爬上爬下,2026.04.21,北京,1.0,,28,强势|服务者,强势,服务者,9,强势成功,0,0.8874977861486886
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69db2819000000000d034b8a,,61b19b7600000000210232b1,其实机器人跑步不需要摆臂[偷笑R] 摆臂的时候髋关节也会动嘛，,2026.04.12,云南,0.0,0.0,31,强势|观众,强势,观众,8,强势成功,0,0.8874943430371973
69e481e8000000002003ad94,"

",,,1,69e62e68000000001401e83c,,661cd6fb00000000070058e9,研发点照顾老人机器人，高危工作机器人,2026.04.20,内蒙古,0.0,0.0,18,强势|服务者,强势,服务者,7,强势成功,0,0.8874943263310202
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69e106b5000000001401ac10,69daef220000000035024590,5f8043560000000001002eff,是的，以后的养老机器人可以解决很多老人的护理问题。,2026.04.16,福建,0.0,,25,强势|观众,强势,观众,7,强势成功,0,0.887493025535924
69e481e8000000002003ad94,"

",,,1,69e49d71000000001401cc08,,63f41a1c000000001400d782,技术创造就业，一个机器人需要3人来服务,2026.04.19,北京,1.0,0.0,19,强势|服务者,强势,服务者,7,强势成功,0,0.887492252674354
69e481e8000000002003ad94,"

",,,2,69e4f694000000001401d803,69e490ae000000001401d42a,629b83890000000019028738,因为人类世界所有工具都是围绕人的身体设计的,2026.04.19,德国,0.0,,21,强势|服务者,强势,服务者,8,强势成功,0,0.8874920623515579
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69db24700000000035009fef,,633e3d84000000001802dcf8,人跑步摆手是为了保持平衡，机器人跑步摆手是为了？,2026.04.12,广东,0.0,0.0,24,强势|观众,强势,观众,9,强势成功,0,0.8874916967271173
69e481e8000000002003ad94,"

",,,1,69e49877000000001401b005,,5e0303320000000001001259,人类是准备用这个来应对未来对碳基生物毁灭性灾难下文明传承的问题么,2026.04.19,广东,0.0,0.0,32,强势|服务者,强势,服务者,10,强势成功,0,0.8874888617024608
69e46730000000001d0199c8,"

",,761.0,1,69e76fb4000000001401b811,,64068309000000001401345b,太好了一个机器人就可以帮助一辆车人解决就业[喝奶茶R],2026.04.21,广东,0.0,0.0,27,强势|观众,强势,观众,7,强势成功,0,0.887487275666659
69e481e8000000002003ad94,"

",,,2,69e53460000000001401a801,69e490ae000000001401d42a,5c3f1ba2000000000503b1f2,让机器人适应人类社会，直接用人的行走方式是最直接的。,2026.04.20,江苏,0.0,,26,强势|服务者,强势,服务者,7,强势成功,0,0.8874849372515617
69e48341000000001a02d0c4,"机器人马拉松，我们看乐了，西方人看破防了🤣

",3931.0,1022.0,1,69e4e375000000001401a415,,65464211000000000400a2e4,你能跑俩小时也白搭啊，人家都打破人类的世界纪录了，你能跑得过世界纪录嘛[偷笑R],2026.04.19,山东,0.0,0.0,40,强势|观众,强势,观众,7,强势成功,0,0.8714260146397651
69e481e8000000002003ad94,"

",,,2,69e88bdd000000001401cc1e,69e592e5000000001401dc07,618f36c30000000002026e32,因为要适应人类社会制造的工具和基础设施。,2026.04.22,江苏,0.0,,20,强势|服务者,强势,服务者,6,强势成功,0,0.8714258737348662
69e481e8000000002003ad94,"

",,,1,69e4a5d2000000001401e01c,,6359f0220000000018029a2f,后面有人拿着遥控器操控机器人跟着跑？还是全程有自主意识的在跑,2026.04.19,广东,0.0,0.0,30,强势|服务者,强势,服务者,9,强势成功,1,0.9099968583791763
69e4412a000000002103883f,"荣耀闪电队-齐天大圣夺冠！

",3517.0,445.0,1,69e475840000000014019008,,5e21610d000000000100259c,机器人在前面跑，一群人坐在后面的车里跟着遥控[笑哭R],2026.04.19,广东,9.0,4.0,27,强势|观众,强势,观众,9,强势成功,1,0.9099944457798022
69e481e8000000002003ad94,"

",,,1,69e49502000000001401e811,,6452f41b000000000f0052b1,我倒是注意到，咱们的工作人员都好年轻，咱们的研发人员也这么年轻吗,2026.04.19,广西,4.0,3.0,32,强势|服务者,强势,服务者,8,强势成功,1,0.8999939932478741
69e46730000000001d0199c8,"

",,761.0,2,69e4f11b000000001401c027,69e4db8c000000001401b823,62e8ffa5000000001f006316,机器人分两个组别，一个是自主组一个是遥控组，而且遥控机器人也是机器人呀。,2026.04.19,广西,27.0,,36,强势|观众,强势,观众,8,强势成功,1,0.8999892936338136
69e481e8000000002003ad94,"

",,,1,69e4a3b50000000014019006,,61947a020000000010007ad5,所以到底是是人跑马拉松还是机器人啊？机器人还要三个人陪跑,2026.04.19,山西,1.0,0.0,28,强势|服务者,强势,服务者,8,强势成功,1,0.8999886068801193
69e481e8000000002003ad94,"

",,,1,69e49f4a000000001401bc1f,,630ebf2c000000001200e23c,所以他这个是遥控的还是全自动的呀？如果是全自动的岂不是后面那个人也得跟着跑？,2026.04.19,广东,0.0,0.0,38,强势|服务者,强势,服务者,7,强势成功,1,0.887490827041375
69e481e8000000002003ad94,"

",,,1,69e70068000000001401dc25,,63003016000000001200d498,跑个步一个机器需要三个人后面跟着，作孽呀有什么用！,2026.04.21,浙江,0.0,0.0,25,强势|服务者,强势,服务者,8,强势成功,1,0.8874905315403816
69e481e8000000002003ad94,"

",,,1,69e73b4a000000001401e001,,5db061780000000001007089,原来机器人是要用遥控器指挥的啊[偷笑R][偷笑R]一直以为它们自己会跑,2026.04.21,浙江,0.0,0.0,35,强势|服务者,强势,服务者,7,强势成功,1,0.8874873180570414
69e481e8000000002003ad94,"

",,,1,69e57bae000000001401cc13,,5bcfc1cc5d9d3b0001f809f9,后面拿个遥控器是啥意思？人工遥控智能？,2026.04.20,山东,0.0,0.0,19,强势|服务者,强势,服务者,7,强势成功,1,0.8874852313164264
69e481e8000000002003ad94,"

",,,1,69eab9060000000014019016,,5fb25f520000000001007e6f,人跑马拉松一个人就够了，机器人跑马拉松要一个机器人加3个人[偷笑R],2026.04.24,浙江,0.0,0.0,34,强势|服务者,强势,服务者,7,强势成功,1,0.8874831587056823
69e481e8000000002003ad94,"

",,,1,69e59e0e000000001401c83d,,5631b55d9eb57863b0de86c3,我想的是机器人跑，技术员得跟着看情况，这是一场马拉松，这不得跑死…,2026.04.20,上海,0.0,0.0,33,强势|服务者,强势,服务者,7,强势成功,1,0.8874757160750075
69e481e8000000002003ad94,"

",,,2,69e4a7810000000014018823,69e4a6fe0000000014019c0d,5fa78dbf000000000100b1ff,造不出机器人的人不准批判能造出机器人的人,2026.04.19,江西,4.0,,20,强势|服务者,强势,服务者,8,强势成功,1,0.8874743459601555
69e481e8000000002003ad94,"

",,,2,69e48ff5000000001401900c,69e48adf000000001401b835,63ff29a3000000001001dab0,两个组，自主导航和遥控组，这个是自主导航组的,2026.04.19,江苏,16.0,,22,强势|服务者,强势,服务者,6,强势成功,1,0.8714263349716711
69e45dbe000000001f00434f,"机器人跑马拉松超越人类？

",4650.0,773.0,1,69e4f4a0000000001401d428,,5b13619b6b58b75a5a3fafa3,十几年后跑道内是人，跑道外呐喊的是机器……人[捂脸R],2026.04.19,北京,1.0,0.0,27,强势|观众,强势,观众,7,强势成功,1,0.8714261949029256
69e481e8000000002003ad94,"

",,,1,69e49ca1000000001401bc2b,,653cf5d0000000000200ee4c,[doge]边上那个操控员做到了承上启下作用一路跟着的吗,2026.04.19,浙江,0.0,0.0,28,强势|服务者,强势,服务者,7,强势成功,1,0.8714236466346951
69e481e8000000002003ad94,"

",,,2,69e6ca96000000001401981f,69e4a81a000000001401e809,5de5feff000000000100b525,给后面遥控手的吧！人要跑还要操控机器人是挺累的,2026.04.21,安徽,0.0,,23,强势|服务者,强势,服务者,6,强势成功,1,0.8714223502320309
69e481e8000000002003ad94,"

",,,1,69e59b95000000001401cc2e,,5eff06be000000000101e317,好费人啊，后面还得跟着个拿遥控器的人拼命跑,2026.04.20,河北,0.0,0.0,21,强势|服务者,强势,服务者,7,强势成功,1,0.8714218633078058
69e481e8000000002003ad94,"

",,,1,69e6ce12000000001401e420,,695b36050000000032026183,这特么的就是一个遥控玩具，怎么叫机器人的，就是像人的机器嘛？,2026.04.21,广东,0.0,0.0,30,强势|服务者,强势,服务者,6,强势成功,1,0.8714215708472101
69e481e8000000002003ad94,"

",,,2,69e49970000000001401c00f,69e49908000000001401bc36,5a5490a811be100f5406ce00,机器人胸口挂着自主两个字，是不用遥控的,2026.04.19,浙江,3.0,,19,强势|服务者,强势,服务者,6,强势成功,1,0.8714204359337622
69e481e8000000002003ad94,"

",,,2,69e4998a000000001401c02a,69e4992e000000001401dc0e,5a5490a811be100f5406ce00,机器人胸口挂着自主两个字，是不用遥控的。,2026.04.19,浙江,0.0,,20,强势|服务者,强势,服务者,6,强势成功,1,0.8714204359337622
69e481e8000000002003ad94,"

",,,1,69e57b24000000001401b00b,,5df4501e000000000100823e,我就想问，机器人前面跑，工作人员后面追，到底是谁在跑马拉松[捂脸R],2026.04.20,新疆,0.0,0.0,34,强势|服务者,强势,服务者,6,强势成功,1,0.8714192175786687
