Topic,ctfidf_top_terms
-1,"机器人,机器,一样,人类,跑步,比赛,发展,速度,这些,知道,孩子,汽车,为了,马拉松,为什么"
0,"遥控,遥控器,自主,玩具,导航,跟着,遥控车,控制,1.2,操控,后面,组和,区别,自动,智能"
1,"战场,炸药包,打仗,炸弹,战争,巷战,玩意,要是,火场,武器,救援,对面,军用,冲锋,背个"
2,"人形,人形机器人,工具,设计,做成,适配,社会,人类,机器狗,形态,设施,机器,人型,适应,所有"
3,"小机器人,机器人,摔倒,可爱,站不稳,机器,这些,上吊,摔跤,喜欢,人机,疲惫,搞笑,累得,躺平"
4,"摔倒,一地,一块,绊倒,随时,骨折,一秒,粉碎性,稀碎,粉身碎骨,假摔,碎成,好怕,摔得,跪下"
5,"好笑,搞笑,好好笑,真的,视频,哈哈笑,哎哟,发财,救命,各有,笑话,招笑,眼泪,有意思,我要"
6,"程序员,代码,程序,跟着,久坐,解决,没想到,运动,好消息,体力,bug,电脑,体能,招聘,体力活"
7,"姿势,跑步,最后,起来,两个,样子,最像,第四个,好看,奔跑,最好,几个,前面,姿态,标准"
8,"冰块,干冰,加冰,降温,散热,背包,背后,水冷,后背,后面,液冷,背上,冷却液,冷却,制冷"
9,"机器人马拉松,马拉松,半马,比赛,一场,测试,机器人,能力,北京,意义,举办,这场,环境,技术,极限"
10,"轮子,更快,地形,换成,轱辘,四个,复杂,履带,螺旋桨,装个,适应,楼梯,两条腿,翅膀,路面"
11,"比赛,参赛,冠军,选手,第一,参加,夺冠,重要,第一名,名次,成绩,非洲,参赛选手,完赛,人家"
12,"电池,没电,续航,充电,换电池,断电,换电,电力,电量,费电,一会,中途,比拼,青海湖,有电"
13,"科技,技术,科技进步,发展,进步,展示,科研,高科技,研发,一蹴而就,先进,越来越,研究,验证,所有"
14,"理解,阅读,问题,认知,回答,看不懂,思维,提问,不了,谢谢,这样,回复,张嘴,眼界,道理"
15,"马拉松,测试,跑步,参加,半马,意义,比赛,为了,目的,耐力,大赛,只是,情况,真人,全马"
16,"ai,是否,人工智能,智能,害怕,具身智能,冲击,底层,视频,模型,行业,替代,文字,担心,大人"
17,"奶瓶,奶嘴,脖子,喝奶,还拿个,可爱,安抚,手上,吃奶,宝宝,手里,喝口奶,牛奶,断奶,甚至"
18,"意义,活着,无聊,何在,这有,存在,哪里,无趣,明白,没意义,有意义,到底,人生,评论,玩意"
19,"外卖,快递,小哥,失业,超时,满大街,配送,送餐,取代,这送,驿站,饭碗,迟早,用来,桌边"
20,"鞋子,跑鞋,穿鞋,太大,孩子,穿着,双鞋,穿个,耐克,运动鞋,一双,大人,脚底板,赞助,小孩"
21,"三个,伺候,个人,就业,服务,岗位,服侍,活人,一台,侍候,机器人,需要,维护,好几个,真人"
22,"可爱,小小的,果然,小玩意,东西,好萌,喜欢,小不点,蠢萌,萌萌,小可爱,眼睛,小玩意儿,太小,小家伙"
23,"养老,家务,照顾,老人,家里,回去,做饭,指望,医院,添乱,伺候,生活,爸妈,背着,搭子"
24,"养老,照顾,保姆,家务,买个,希望,养老院,期待,护理,老人,家庭,指望,机器人,伺候,攒钱"
25,"短腿,腿短,倒腾,这小,小腿,太短,挺快,吃亏,太细,输在,跑得慢,出溜,以下,个子,重心"
26,"跟着,三个,人要,一起,全程,还跟着,伺候,几个,个人,一直,后面,乔格,还要,基普,多人"
27,"去年,进步,一年,今年,昨年,好多,太多,比起,强多,神速,很大,前年,时间,可见,肉眼"
28,"补贴,股票,投资,骗钱,广告,国家补贴,资本,韭菜,到手,圈钱,股民,补助,上市,股价,大跌"
29,"轮子,两条腿,明明,更快,非得,做成,为什么,非要,更好,四个,履带,奔跑,一定,双腿,机器人"
30,"荣耀,华为,撞线,手机,闪电,六名,包揽,第一个,宇树,厉害,冠亚,红色,听说,牌子,那家"
31,"低血糖,晕倒,头晕,缺氧,两下,停下来,停下,站不稳,缓缓,赶紧,太像,066,不足,低电压,明显"
32,"人类,代替,替代,取代,地球,星球,造物主,人类文明,替换,进化,一千年,反噬,智商,全人类,一败涂地"
33,"五年,发展,年后,时代,过程,几年,十年,很快,再过,实现,慢慢来,事物,时间,多久,不出"
34,"裤裆,裆部,对着,jj,部位,一直,私密,那里,隐私,人家,屁股,屁屁,喷点,一顿,过热"
35,"f1,进站,赛车,换胎,轮胎,法拉利,方程式,既视感,有种,方程式赛车,维修站,那样,一样,太慢,方程"
36,"诡异,吓人,恐怖,晚上,吓死,大半夜,半夜,遇到,玩意儿,玩意,没头,画面,梅根,脑袋,可怕"
37,"降温,放屁,制冷剂,过热,中暑,高温,散热,热量,喷雾,机器人,运动,电机,裆部,关节,导致"
38,"降温,发热,物理,过热,太热,方式,降降温,朴素,温度,人工,爷爷,解决,需要,还要,朴实无华"
39,"解说,有趣,幽默,主播,鸟鸟,有意思,太逗,搞笑,配乐,拆解,声音,解说词,超级,美女,好笑"
40,"喷雾,降温,丁烷,打火机,关节,二氧化碳,液氮,气体,压缩空气,摩擦,喷出来,液化,可燃,制冷,夏天"
41,"wd40,香水,男人,wd,润滑,40,润滑剂,万能,除锈,关节,干燥,制冷,默认,降温,上点"
42,"云南白药,气雾剂,喷点,抽筋,喷雾剂,云南,喷剂,跌打损伤,腿抽筋,防止,酸痛,白藥,神药,红药,消肿"
43,"战场,打仗,敌人,铁甲,战争,星球大战,钢拳,小宝,钢铁,未来,自爆,机甲,废墟,合成,填线"
44,"散热,问题,系统,cpu,解决,主板,人体,淳朴,方式,工业产品,散热器,水冷,优化,不行,固态"
45,"小黑,黑色,黑人,小黑子,可爱,吸热,黑黑,黑皮,皮肤,不错,努力,小子,娃儿,山东,小个子"
46,"春晚,晚上,武术,那些,跳舞,好看,表演,舞台,那批,上过,明年,这波,神通广大,抱下来,编程"
47,"担架,抬担架,抬走,扫把,单架,扫帚,拿个,垃圾桶,塑料袋,还用,多余,收拾,簸箕,绷住,搞笑"
48,"亦庄,鸵鸟,义庄,神奇,地方,古代,马路上,几天,无人驾驶,北京,名字,前两天,真是,由来,字庄"
49,"120,救护车,抢救,急救,医生,急救车,最后,心梗,人工呼吸,医院,闯红灯,拉走,必要,美国,愿意"
50,"心酸,命苦,看着,热泪盈眶,感动,看得,回报,力竭,泪目,得不到,有种,努力,激动,心疼,竟然"
51,"跑步,搞笑,姿势,赛跑,姿态,挺快,机器人,扑哧,博主,小机器人,红色,我妈,周末,努力,看着"
52,"汽车,电动车,那不就,电瓶车,没见,恭喜,那特,新能源,发明,电动汽车,早就,能源,tm,玩意,普及"
53,"宇树,h1,g1,宇树家,参赛,编程,说宇树,宇树用,10m,玉树,显眼,跳舞,档次,费用,气氛"
54,"防晒,喷雾,晒黑,防晒霜,喷点,痱子粉,黢黑,孩子,防蚊,蚊虫,止痒,黑成,防老,避雷,喷个"
55,"救护车,120,救人,抢救,医生,急救,以为,医院,机器人,说道,医学生,动物,救援,機器,一辆"
56,"评论,神人,区里,人格,经典,真多,匪夷所思,下面,反驳,耐心,人才,某些,这条,搞笑,质疑"
57,"豆包,豆脚,豆角,豆德,满分,疑似,看见,哪里,名字,只有,权威,我爱上,超萌,喜欢,吓人"
58,"润滑油,润滑,神油,润滑剂,关节,印度,摩擦,部位,以为,机油,除锈剂,润滑液,磨损,之类,连接"
59,"后面,前面,有的是,失控,追上来,跟着,换车,视频,电脑,后边,机器人,愿意,指挥,没了,疯狂"
60,"一口,吃饱,吃饭,胖子,吃成,撑得,太饱,不吃,馒头,人累,筷子,工作人员,回来,够呛,吃个"
61,"终结者,t800,t1000,到来,很快,参考,800,此事,雏形,1000,步枪,进化,电影,不远,想想"
62,"发动机,日本,电车,不差,专利,奇瑞,碾压,挖掘机,变速箱,国产,中国,新能源,国内,油车,马力"
63,"换电池,换电,降温,加冰,润滑,润滑剂,电池,润滑油,冰块,冷却,散热,上油,补冰,一边,更换"
64,"国外,外国人,美国,之光,国内,老外,视觉效果,要是,中国,西方,抨击,印度人,外网,闹麻,ip"
