topic,top_terms,size
0,"人, 后面, 跟着, 遥控器, 好像, 遥控, 还要, 不要, 有人, 看看, 一起, 程序员, 停下来, 前面, 控制",3367
1,"一下, 开始, 好笑, 喜欢, 第一, 突然, 努力, 不错, 今天, 是不是, 真的, 其实, 战场, 发现, 有些",2367
2,"可爱, 发展, 技术, 程序员, 科技, 奶瓶, 机器人马拉松, 程序, 世界, 进步, 工程师, 肯定, 越来越, 国家, 公司",2449
3,"机器人, 知道, 起来, 真的, 搞笑, 这些, 工作人员, 养老, 可爱, 之前, f1, 跑得快, 担架, 小孩, 豆包",2551
4,"机器人, 人类, 人, 评论, 之后, 统治, 地球, ai, 三个, 本人, 严肃, 玩意, 名状, 服务, 伺候",3058
5,"机器人, 马拉松, 比赛, 跑步, 人, 测试, 意义, 为了, 参加, 需要, 摔倒, 人类, 云南白药, 几年, 低血糖",2867
6,"遥控, 这样, 自主, 最后, 去年, 视频, 进步, 荣耀, 玩具, 以为, 今年, 宇树, 补给, 速度, 两个",2919
7,"降温, 意义, 散热, 问题, 不行, 电池, 冰块, 关节, 东西, 喷雾, 需要, 电机, 干冰, 润滑, 解决",2561
8,"机器人, 轮子, 为什么, 机器, 人形, 汽车, 人类, 人形机器人, 设计, 人, 赛车, 更快, 地形, 做成, 复杂",3321
9,"机器人, 孩子, 加油, 厉害, 人家, 姿势, 跑步, 样子, 一样, 原来, 确实, 真是, 亦庄, 第一个, 大家",2595
