帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69e481e8000000002003ad94,"

",,,2,69e4916c0000000014018c09,69e490ae000000001401d42a,5a3cea154eacab600209420b,为以后做准备，复杂地形，废墟，山地，城市，你懂的[偷笑R]。之后还会有多足机器人，那玩意可就吓人了,2026.04.19,上海,8904.0,,49,强势|服务者,强势,服务者,12,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daef220000000035024590,,6225a0840000000010004d0d,你们这些说机器人跑步没用的人。想想你们老的走不动路的时候。突然心梗 机器人就可以飞一样背着去医院。,2026.04.12,美国,4613.0,241.0,49,强势|观众,强势,观众,13,强势成功,0
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,2,69e494fd000000001401c01e,69e490dd000000001401e423,585b320482ec390142b28a5a,据我今天刷到的不完全统计：在摔倒的机器人对手旁边鼓掌，给观众跳舞，最后没电坐上了救护车,2026.04.19,山东,3219.0,,43,强势|被超越者,强势,被超越者,14,强势成功,0
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,2,69e455d5000000001401dc2f,69e45575000000001401e004,621ddac6000000002102735d,好像是机器人自己跑了，工程师赶上去断电,2026.04.19,天津,2703.0,,19,强势|服务者,强势,服务者,5,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daf728000000001400868f,69daf56d000000001601419c,576457d06a6a695229d3dd8d,他们有时候还会给这玩意穿个带反光条的上衣！但是没有裤子！远远的就听见声音了，它跑过来才看到是个没穿裤子的机器人！,2026.04.12,北京,1203.0,,56,强势|观众,强势,观众,14,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e4962e000000001401b006,,5c23652e00000000050032b8,一个机器人需要3个人伺候，就业新方向来了,2026.04.19,黑龙江,1144.0,73.0,20,强势|服务者,强势,服务者,6,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e492de000000001401d809,69e490ae000000001401d42a,651a3fa30000000024014f22,因为人形可以和人本身结合起来，他可以用人的装备，人的武器，人也可以用他们的,2026.04.19,山东,907.0,,37,强势|服务者,强势,服务者,10,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e49292000000001401a80a,69e490ae000000001401d42a,5b4ae3344eacab35f35772a7,具身智能也是要发展的，这是未来5年重要的发展方向之一,2026.04.19,广东,786.0,,26,强势|服务者,强势,服务者,7,强势成功,0
69e463df000000001b003017,"

",3270.0,219.0,1,69e578ee000000001401bc24,,5ec625ff000000000101c342,此刻宇树的一个机器人在关注的欢呼声中唱跳rap无法自拔，另一个在看小朋友摔跤吃瓜[暗中观察R],2026.04.20,天津,662.0,9.0,47,强势|服务者,强势,服务者,11,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69db30220000000016016d90,,6787d0a3000000000803e9aa,假如，我是说假如，某一天，机器人造反了，我们会不会连开车都追不上了[笑哭R],2026.04.12,广东,537.0,166.0,38,强势|观众,强势,观众,7,强势成功,0
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,2,69e45a6c000000001401a412,69e45575000000001401e004,67a1abc3000000000e01276b,[扶墙R][扶墙R]机器人现在就有自己想法了吗，好高级[扶墙R],2026.04.19,江苏,402.0,,32,强势|服务者,强势,服务者,3,强势成功,0
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,2,69e46fa4000000001401d40e,69e46f4d0000000014018827,596450666a6a6926c5475979,那机器人晚上就不回家吃饭了,2026.04.19,北京,387.0,,13,强势|服务者,强势,服务者,4,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dab64a0000000016015dcc,,5f532c2c000000000101eb92,上次见机器人跑步视频，还是两个肥仔在旁边跟着呢。现在这个视频要是没加速，估计程序员跟不上了[笑哭R],2026.04.12,美国,361.0,13.0,50,强势|观众,强势,观众,14,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e5841a000000001401d81f,,5ba7a42e95d6810001712b6e,一个机器人，三个人服侍它，以后不怕没岗位啦[偷笑R],2026.04.20,广东,339.0,51.0,26,强势|服务者,强势,服务者,6,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e5731c000000001401a017,69e571d9000000001401c009,61d9801000000000100071f8,很简单的理解。为什么是人型，因为这个社会所有的设施都按人为基准建的。你想，造一个人出来，首先要教会这个人走路，跑步啊，这才只是最简单的一步。只能说现在是刚学会走路跑步的一两岁小孩子。,2026.04.20,北京,251.0,,91,强势|服务者,强势,服务者,25,强势成功,0
69e48341000000001a02d0c4,"机器人马拉松，我们看乐了，西方人看破防了🤣

",3931.0,1022.0,2,69e4b1fa000000001401c82c,69e4a930000000001401a020,5e1e88b6000000000100a2c5,现在迭代这么快，应该十年内就能实现。上一届机器人马拉松这群玩意儿还是连滚带爬的，一年就超过人类了。,2026.04.19,江苏,251.0,,49,强势|观众,强势,观众,11,强势成功,0
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,1,69e490dd000000001401e423,,62517ab8000000001000963a,宇树机器人成绩呢,2026.04.19,北京,229.0,82.0,8,强势|被超越者,强势,被超越者,3,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daf95800000000020358f1,69daef220000000035024590,5a572bd211be103277fe0bbf,外骨骼机器人让你自己跑去医院途中顺便给你心肺复苏[doge],2026.04.12,广东,228.0,,30,强势|观众,强势,观众,7,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db311200000000020375d8,69db30220000000016016d90,5c369050000000000502f484,到那天，车也是机器人。还敢开车，躲还来不及[doge],2026.04.12,广东,227.0,,27,强势|观众,强势,观众,5,强势成功,0
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,2,69e49fd5000000001401e410,69e490dd000000001401e423,5dd49ad000000000010074e2,宇树机器人进化了，会偷懒了，跑一半整活去了,2026.04.19,广东,178.0,,21,强势|被超越者,强势,被超越者,6,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db0a5000000000350147ff,69db09350000000035018759,5e770029000000000100987c,专门跑的快的机器人叫汽车,2026.04.12,云南,174.0,,12,强势|观众,强势,观众,4,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db3122000000000d03da88,69db30220000000016016d90,64be3761000000001403a338,车也是机器人的一员，你还想开车[doge],2026.04.12,山西,156.0,,21,强势|观众,强势,观众,3,强势成功,0
