topic_id,raw_count,assigned_count,n_posts_raw,top_post_share_raw,top_terms,representative_docs,sample_comments_10,domain,label,notes
0,689,689,27,0.5921625544267054,"遥控机器人, 遥控玩具, 遥控的, 遥控, 自主, 还拿个遥控器, 还要遥控器, 拿个遥控器, 呵呵, 这是遥控的吗","['遥控机器人[偷笑R]', '遥控机器人[笑哭R][笑哭R][笑哭R]', '以后叫“遥控机器人”，准确一点[笑哭R][笑哭R][笑哭R]']",1. [69e65240000000001401900c|post=69e634590000000022003bb5|likes=249.0|top_like] 居然是蓝标，自主不是遥控，棒极了 || 2. [69df98b4000000003500e5c5|post=69df625d0000000021005c63|likes=146.0|top_like] 他们跑步，是遥控器操控，还是自己识别路面情况，纯粹自己跑呀？ || 3. [69e415cc000000001401ac0c|post=69e2583b00000000230211ea|likes=79.0|top_like] 旁边还要有人拿着遥控器跟跑操作，纯属造势圈钱！ || 4. [69e5af30000000001401a00f|post=69e463df000000001b003017|likes=75.0|cross_post] 竟然是自主的夺冠了，遥控的怎么会输给自主[捂脸R] || 5. [69eae867000000001401e003|post=69e48b0b000000001a02578c|likes=56.0|cross_post] 他手里拿的是遥控器吗[笑哭R]，这玩意不就是个遥控玩具么？ || 6. [69e4b56c000000001401e82f|post=69e46730000000001d0199c8|likes=51.0|cross_post] 也就是遥控玩具吧 || 7. [69e5babd0000000014019c1f|post=69e481e8000000002003ad94|likes=39.0|cross_post] 完全非自主，就是大号遥控玩具🪀 || 8. [69e5d8da000000001401c811|post=69e481e8000000002003ad94|likes=1.0|random] 就自嗨吧，毫无自主智能靠遥控的玩具…… || 9. [69ede3240000000027016d56|post=69e481e8000000002003ad94|likes=0.0|random] 拿遥控器的要跟着跑吗 || 10. [69e724cb0000000014019002|post=69e481e8000000002003ad94|likes=0.0|random] 这不就是高级版的遥控车[笑哭R],,,
1,600,550,27,0.425,"坐着跑, 你别说, 点赞r, 笑哭r, 闪开, 跑不赢, 最后一个跑姿最好, 最像人, 最后一个姿态最好, 迈着矫健的步伐","['看这跑姿，应该是内急！闪开……茅厕在哪儿……闪开！', '对“坐着跑”有了形象的感知[doge]', '坐着跑─=≡Σ(((つ•̀ω•́)つ比较省力，快点正常']",1. [69da9a3500000000010073ef|post=69da7e87000000001a03484e|likes=1046.0|top_like] 我就知道是因为你小子使劲儿跑步呢[生气R][生气R] || 2. [69e4d3db000000001401b839|post=69e46730000000001d0199c8|likes=254.0|top_like] 这个最像人跑步👍 || 3. [69e59530000000001401d424|post=69e47f8f000000001f007203|likes=156.0|top_like] 哇塞，这个跑步的姿势很矫健呐[赞R] || 4. [69e45de8000000001401d809|post=69e43a5a000000001d01dcc7|likes=68.0|cross_post] 虽然跑得慢，但架不住戏挺多的[笑哭R][笑哭R] || 5. [69e43d160000000014018c04|post=69e429b4000000001b00037a|likes=58.0|cross_post] 孩子，跑步比赛呢，还在逆战，看来你还是不累[偷笑R] || 6. [69e70ad1000000001401e404|post=69df625d0000000021005c63|likes=38.0|cross_post] 这就是我每天上班赶末班车的状态，身体和灵魂都在努力摆动，但速度全靠缘分 || 7. [69e460fe000000001401c835|post=69e4412a000000002103883f|likes=12.0|cross_post] 真有个跑的披头散发的[笑哭R] || 8. [69dae7d8000000001500828b|post=69da7e87000000001a03484e|likes=0.0|random] 感觉是全脚掌着地，有点伤膝盖啊 || 9. [69e47ae6000000001401c42f|post=69e4412a000000002103883f|likes=0.0|random] 好像都没人关注人类跑步的了 || 10. [69e4a236000000001401c432|post=69e43b14000000001a02e095|likes=0.0|random] 刚才跑的还挺快。,,,
2,348,324,26,0.22126436781609196,"机器人, 色色r, 吐舌头h, 坏笑r, 连站都站不稳, 机器人也是, 可怜r, 哭惹r, 点赞r, 人类","['机器人:俺歇一下子肿么了？', '机器人：我大腿根磨破了[捂脸R]', '机器人：先别忙活了，让我歇歇[doge]']",1. [69e98134000000001401d408|post=69e46032000000001f002048|likes=1629.0|top_like] [微笑R][微笑R][微笑R]你们就卷吧，我真服了，当狗腿子我都没赶上热乎的。机器人大人其实我是比较笨才想到，但是我忠心啊[哭惹R][哭惹R][哭惹R] || 2. [69e619ca0000000014018c16|post=69e59e520000000022027a90|likes=340.0|top_like] 这里好像机器人宝宝它爸再给它擦屁股呢 || 3. [69e90d63000000001401e404|post=69e46032000000001f002048|likes=134.0|top_like] 机器人的反应是人类的七倍，不舒服了自己会叛乱 || 4. [69e6d300000000001401d404|post=69e463df000000001b003017|likes=86.0|cross_post] 机器人激动得半天说不出一句话[笑哭R] || 5. [69e5a52f0000000014019413|post=69e48d54000000002102e178|likes=43.0|cross_post] 感觉研究机器人的都是很年轻的小男孩  像商场里卖玩具区那些买机甲战士挑奥特曼的小孩长大了 || 6. [69dfa6f40000000035014bba|post=69df625d0000000021005c63|likes=39.0|cross_post] 都吹上天了的机器人原来就这样 || 7. [69e7365b000000001401c81c|post=69e6f2bc0000000023005345|likes=39.0|cross_post] 是被大机器人嘲笑的那个机器人吗 || 8. [69e45ee6000000001401b000|post=69e4426b000000001d01c7ed|likes=2.0|random] 好可爱呀～机器人小宝宝拿着🍼 || 9. [69e5605f0000000014019005|post=69e47f8f000000001f007203|likes=0.0|random] 看这些机器人仿佛看见了他们的作者 || 10. [69e777de000000001401d834|post=69e6f2bc0000000023005345|likes=0.0|random] 最可爱的机器人[害羞R],,,
3,324,297,22,0.3611111111111111,"粉碎性骨折, 粉身碎骨浑不怕, 摔得稀碎, 假摔, 我一直在等他摔倒, 孩子啊, 捂脸r, 有的还摔残了, 有点像兔子运动完站不稳直接倒下的感觉, 每个我都担心会摔倒","['粉碎性骨折', '粉碎性骨折[doge][捂脸R]', '粉碎性骨折、挣扎几下就不动了…']",1. [69e4a2e5000000001401b816|post=69e48d54000000002102e178|likes=4072.0|top_like] 他是怕摔下来，公司要他赔 || 2. [69e30be4000000001401e836|post=69e2583b00000000230211ea|likes=774.0|top_like] 粉碎性骨折[doge] || 3. [69e2f2e9000000001401b801|post=69e2583b00000000230211ea|likes=217.0|top_like] 这是面粉做的糖人吗？碎成渣了 || 4. [69e472c6000000001401a80a|post=69e44171000000001a026b25|likes=192.0|cross_post] 报告裁判，这里有人假摔[偷笑R] || 5. [69e42cb3000000001401c41a|post=69e41e24000000001a025f1a|likes=79.0|cross_post] 啥东西，碎一地[doge] || 6. [69e46f4d0000000014018827|post=69e447d2000000001d01aa01|likes=35.0|cross_post] 这要是摔了把电脑砸了怎么办 || 7. [69df65b0000000001400b720|post=69df625d0000000021005c63|likes=19.0|cross_post] 是不是得先解决摔倒了不把自己搞得支离破碎[笑哭R] || 8. [69e4e6c0000000001401dc1d|post=69e42cc100000000220001ad|likes=1.0|random] 每一步都在把自己绊倒的边缘 || 9. [69e30e38000000001401981d|post=69e2583b00000000230211ea|likes=0.0|random] 这下“摔死了”[笑哭R] || 10. [69e804360000000014019802|post=69e2583b00000000230211ea|likes=0.0|random] 东一块西一块,,,
4,297,218,23,0.5791245791245792,"程序员, 好消息, 坏消息, 能跑马拉松, 程序员缺乏运动, 代码能跑了, 雾草, 招程序员, 没想到, 黑薯问号r","['程序员:我谢谢你', '程序员：到底谁在跑马拉松啊？', '好消息：程序员：我的代码能跑了\n坏消息：程序员：我跑不过我的代码\n网友：没想到有一天码农是个体力活😂']",1. [69e48c45000000001401e034|post=69e447d2000000001d01aa01|likes=2025.0|top_like] 怪不得程序员不要35以上的[捂脸R] || 2. [69e44e85000000001401a404|post=69e447d2000000001d01aa01|likes=1848.0|top_like] 三公里就得换一个程序员 || 3. [69dafb65000000001500583a|post=69da7e87000000001a03484e|likes=80.0|top_like] 今年不用选体能好的程序员跟跑了，因为体能再好都跟不上了 || 4. [69e442b50000000014019c22|post=69e43a5a000000001d01dcc7|likes=20.0|cross_post] 程序猿有有趣的灵魂[派对R] || 5. [69e4547b000000001401a807|post=69e44fbf000000001e00cc6a|likes=17.0|cross_post] 全能工程师：熬最深的夜，顶着最高的脑门，跑得像风一样快 || 6. [69e4f739000000001401a00a|post=69e42cc100000000220001ad|likes=13.0|cross_post] 可能因为他的程序员跑不动[笑哭R]所以就跑的很慢 || 7. [69e5fb4b000000001401d832|post=69e481e8000000002003ad94|likes=9.0|cross_post] 所以程序员之类的也得跟着跑……？[黄金薯R] || 8. [69e4715e0000000014019420|post=69e447d2000000001d01aa01|likes=20.0|random] 火化那天，突然在他耳边说他写的代码出bug了，他能活过来 || 9. [69e45fa8000000001401c407|post=69e447d2000000001d01aa01|likes=2.0|random] 解决了程序员久坐、缺乏运动的问题 || 10. [69e6b4c60000000014019c0d|post=69e481e8000000002003ad94|likes=0.0|random] 以后找程序员要搞体测,,,
5,218,216,21,0.6834862385321101,"赞r, 我去, 今年就健步如飞了, 进步神速啊, 点赞r, 太厉害了, 进步太快了, 和去年比, 比去年强多了, 比去年快多了","['我去，这么快，记得去年好像比赛有的都走不稳老摔倒', '去年可是跑的磕磕绊绊，今年就能这么稳了！[赞R]', '去年他还需要人扶，今年都能跑马拉松了[赞R]']",1. [69e4f103000000001401e018|post=69e4c771000000002102c3fc|likes=545.0|top_like] 时隔一年进步就这么大，为祖国骄傲 || 2. [69e5f0f90000000014019420|post=69e45dbe000000001f00434f|likes=251.0|top_like] 去年都还在连滚带爬，今年已经从从容容了[彩虹R][彩虹R][赞R][赞R] || 3. [69e4a2d0000000001401ac06|post=69e48d54000000002102e178|likes=74.0|top_like] 相信他们会把它们“养”好的，感觉今年脚底下利索点了 || 4. [69dafb8f0000000016014fbc|post=69da7e87000000001a03484e|likes=69.0|cross_post] 比起昨年，肉眼可见的进步 || 5. [69df9c990000000002036314|post=69df625d0000000021005c63|likes=26.0|cross_post] 怎么比去年还退化？ || 6. [69e634c9000000001401d817|post=69e481e8000000002003ad94|likes=16.0|cross_post] 去年他还需要人扶，今年都能跑马拉松了[赞R] || 7. [69e74726000000001401d407|post=69e59e520000000022027a90|likes=3.0|cross_post] 一年后再看吧，这些家伙就能跨栏了 || 8. [69dbb220000000003500b06a|post=69da7e87000000001a03484e|likes=0.0|random] 进步太大了，[点赞R]，去年还跌跌撞撞，今年飞毛腿了。 || 9. [69df9d27000000001500a0d6|post=69df625d0000000021005c63|likes=0.0|random] 一年，才一年，咱们的进步太大了，再过几年你还存在吗？ || 10. [69db3d43000000000d03c2ec|post=69da7e87000000001a03484e|likes=0.0|random] 比去年强太多了,,,
6,216,207,25,0.30092592592592593,"机器人跑马拉松, 机器人马拉松, 有什么意义呢, 抠鼻r, 马拉松, 呃r, 有啥意义, 然后用摆臂带动身体, 比续航是吧, 狠狠踹","['[捂脸R]机器人马拉松，我想看机器人跳水[doge]', '机器人跑马拉松[偷笑R]', '机器人跑马拉松，不跑冒烟才怪[偷笑R]']",1. [69e4da0f000000001401d820|post=69e4b08d000000001d01c1bc|likes=1807.0|top_like] emm……马拉松的意义不是锻炼身体和耐力么，机器人真的需要这个吗 || 2. [69e4779b000000001401c823|post=69e41e24000000001a025f1a|likes=188.0|top_like] 机器人马拉松会不会影响真人跑者的成绩啊，感觉大家都忍不住看哈哈哈 || 3. [69e4636b0000000014018824|post=69e447d2000000001d01aa01|likes=99.0|top_like] 机器人跑马拉松是何用处呢（纯好奇） || 4. [69ef404c000000002b003d6a|post=69e48b0b000000001a02578c|likes=89.0|cross_post] 不懂机器人跑马拉松的意义在哪[捂脸R] || 5. [69e4e3310000000014018809|post=69e44278000000001a0217bb|likes=54.0|cross_post] “多年以后，面对机器人，人类回想起了它在马拉松超过自己的瞬间” || 6. [69e47cf3000000001401dc01|post=69e4412a000000002103883f|likes=26.0|cross_post] 刚想说为什么不做有轮子的机器人的跑步比赛，后来想到那他妈叫新能源车[捂脸R] || 7. [69e57c66000000001401e818|post=69e481e8000000002003ad94|likes=16.0|cross_post] 我不懂，机器人参加马拉松，和吃饱了没事干哪个含金量更高？ || 8. [69db0f6f0000000001005ab0|post=69da7e87000000001a03484e|likes=0.0|random] 干啥啊？以后出个机器人马拉松战队呗 || 9. [69db54ff0000000015006d85|post=69da7e87000000001a03484e|likes=1.0|random] 太好了，以后机器人可以代替人跑马拉松了[汗颜R] || 10. [69db36bf000000003500c4e0|post=69da7e87000000001a03484e|likes=0.0|random] 我能明白 可能是要测试机器人之类的 但咱们为啥要在大马路上学人类跑马拉松 还大晚上 很诡异[呃R][呃R][呃R],,,
7,207,205,19,0.4444444444444444,"小鸟说早早早, 太阳当空照, 花儿对我笑, 逮小偷, 你为什么背着炸药包, 我去炸学校, 老师不知道, 得意r, in, 爬山又急猛","['太阳当空照，花儿对我笑，小鸟说早早早，你为什么要去炸学校[笑哭R]', '太阳当空照，花儿对我笑。                                    小鸟说早早早，你为什么背着炸药包。                 我要炸学校，老师不知道。                                     一点火我就跑，老师学校全都不见了。                  [害羞R][害羞R][害羞R]', '太阳当空照，花儿对我笑，小鸟说早早早，你为什么背上炸药包~我去炸学校，老师不知道，砰的一声，学校没有了~[捂脸R][捂脸R][捂脸R]']",1. [69e4c0ce000000001401980e|post=69e4551e000000001f005895|likes=93.0|top_like] 这玩意加个强化外壳，装上遥控炸药，想拦住不太容易呀[笑哭R] || 2. [69db12970000000035018b53|post=69da7e87000000001a03484e|likes=54.0|top_like] 这nb了 这要是上战场了… || 3. [69e49b9f0000000014019c07|post=69e481e8000000002003ad94|likes=21.0|top_like] 确实可以上战场了，人员配齐就行 || 4. [69e480d7000000001401e02e|post=69e44278000000001a0217bb|likes=18.0|cross_post] 如果战场上，他拿个枪，就是个大麻烦 || 5. [69e63d97000000001401d435|post=69e59e520000000022027a90|likes=13.0|cross_post] 希望以后追杀我的都是这些型号[doge] || 6. [69e96bc9000000001401cc07|post=69e46032000000001f002048|likes=9.0|cross_post] 别开枪，智械老爷！这个问题我充分认同啊！ || 7. [69e4d854000000001401e80e|post=69e4b08d000000001d01c1bc|likes=3.0|cross_post] 这要是绑了个炸弹[doge]设定目标，冲向敌方堡垒 || 8. [69e58493000000001401a416|post=69e42cc100000000220001ad|likes=0.0|random] 太阳当空照，花儿对我笑。                                    小鸟说早早早，你为什么背着炸药包。                 我要炸学校，老师不知道。                                     一点火我就跑，老师学校全都不见了。                  [害羞R][害羞R][害羞R] || 9. [69e585d2000000001401c40c|post=69e481e8000000002003ad94|likes=0.0|random] 谁要看这玩意，我要的是机械军团抱着步枪像敌军阵地三三制冲锋[偷笑R] || 10. [69e4ef72000000001401b801|post=69e42cc100000000220001ad|likes=0.0|random] 我去炸学校，天天不迟到,,,
8,205,201,22,0.25853658536585367,"真的很好笑, 点赞r, 救命, 不行了, 真的太好笑了, 虽然, 肚子疼, 哎哟哟, 不知道为啥, 笑哭r","['真的很好笑[笑哭R]', '真的太好笑了，救命', '喜悦，兴奋，感动，蒸蚌[点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R]']",1. [69e63bbc000000001401982e|post=69e59e520000000022027a90|likes=77.0|top_like] 休息的时候好好笑 || 2. [69e5949f000000001401a402|post=69e47f8f000000001f007203|likes=31.0|top_like] 莫名好笑，一群高智聚集在一起苦思冥想制造出了以上…哈哈 || 3. [69dfaa1d0000000002035b98|post=69df625d0000000021005c63|likes=30.0|top_like] 我先收藏起来心情不好的时候可以再看一遍 || 4. [69dc94e1000000003502fbee|post=69db34bb000000001a0348ae|likes=28.0|cross_post] 好荒诞的场面[笑哭R][笑哭R] || 5. [69e47f86000000001401b837|post=69e4426b000000001d01c7ed|likes=9.0|cross_post] 我看这个视频笑得流眼泪妈呀 || 6. [69e45e8e000000001401e436|post=69e447d2000000001d01aa01|likes=5.0|cross_post] 这真的很搞笑啊救命 || 7. [69ed984c000000002800988c|post=69e481e8000000002003ad94|likes=4.0|cross_post] 最大的笑话 || 8. [69e650fb000000001401dc21|post=69e59e520000000022027a90|likes=0.0|random] [大笑R]来个正常的看看行么 || 9. [69e30221000000001401b811|post=69e2583b00000000230211ea|likes=0.0|random] 好笑不好笑？？？就这玩意儿还能拿出来显摆，丢不丢脸！ || 10. [69e72388000000001401b83b|post=69e59e520000000022027a90|likes=0.0|random] 哈哈哈，太搞笑了。拉屎那个,,,
9,201,191,22,0.3383084577114428,"没电了, 泪崩r, 一会没电了, 中途需要充电吗, 还回来充电吗, 吃瓜r, 然后停下来自己换电池, 现在的比赛是比电力了, 没电了怎么办, 没电了直接换电池吗","['没电了，比人倒的快[笑哭R]', '它逃～他追～它插翅难飞～嘎——！吧唧！没电了', '没电了，倒下来，我都扶不起来']",1. [69e48d160000000014018c1b|post=69e4551e000000001f005895|likes=2825.0|top_like] 这玩意只要有电，能跑死你们人类 || 2. [69e47395000000001401e037|post=69e4551e000000001f005895|likes=36.0|top_like] 喘气儿的跑不过烧电的！ || 3. [69eb618f0000000029027c14|post=69e47f8f000000001f007203|likes=34.0|top_like] 青海湖电池也是用在闪电身上了 || 4. [69eb54d0000000002803e2d9|post=69e463df000000001b003017|likes=33.0|cross_post] 你们说闪电和win会不会电池是一样的[旺柴] || 5. [69e4a28f000000001401d81f|post=69e481e8000000002003ad94|likes=14.0|cross_post] 所以那位拿着电池的要一直跟着它跑吗[笑哭R] || 6. [69e55856000000001401d400|post=69e42cc100000000220001ad|likes=14.0|cross_post] 笑死我了，这个小的没电了待机了大的过来看了一会鼓掌了[捂脸R] || 7. [69e465a8000000001401bc3d|post=69e4426b000000001d01c7ed|likes=5.0|cross_post] 小巧负担小，电池耐用。 || 8. [69e46323000000001401a815|post=69e43b14000000001a02e095|likes=0.0|random] 我还以为跑着跑着没电了[笑哭了R] || 9. [69e48f69000000001401a015|post=69e481e8000000002003ad94|likes=0.0|random] 我就说嘛 现有电池怎么可能跑完21公里 || 10. [69e82c40000000001401c418|post=69e47f8f000000001f007203|likes=1.0|random] 干嘛扣我们唔西迪西的电池[泪崩R][泪崩R][泪崩R],,,
