relation_type,comment_id,post_category,comment_level,like_count,hit_count,content,audit_label,audit_note
parenting,69e505e7000000001401a40e,弱势|观众,2,5719.0,1,而且它还不会长大[doge],,
parenting,69e4a662000000001401a016,弱势|同伴,2,4242.0,1,那也是他的心血和作品，确实跟自己孩子似的,,
parenting,69e504de000000001401bc03,弱势|同伴,1,3268.0,1,这个程序员也长得很小，有点清澈的孩子气，新的人搂着新的机器人，一代年轻人更比一代强，中国一定会越来越好,,
parenting,69e72520000000001401e42b,弱势|观众,1,3237.0,1,下次给娃买双会闪光会叫叫的鞋,,
parenting,69e4abf1000000001401c014,弱势|同伴,1,2942.0,1,搂的这孩子,,
parenting,69e47b6f000000001401940b,成功|被超越者,1,1394.0,1,你去超过它儿子[嘻嘻R],,
parenting,69e45b0c0000000014018c18,中性|观众,2,1362.0,1,扎得小啾啾，怀疑是工程师按照自己闺女形象设计的[偷笑R],,
parenting,69e2f480000000001401a819,失败|抢救者,1,924.0,1,这AI吧，不可能啊，机器人怎么摔下也不至于摔成这样，碎哪里都是渣，我儿子的玩具从4楼掉下去都没掉渣，就是变形了,,
parenting,69e477c1000000001401d809,中性|观众,2,621.0,1,淘气的娃，无力的爷爷，没用的爸,,
parenting,69e447f6000000001401e037,弱势|观众,1,465.0,1,没事，真到了生不出小孩的那一天，它将是我的儿子哈哈哈哈,,
parenting,69e4eb35000000001401bc14,弱势|同伴,2,412.0,1,我自己写的报告也是我的宝宝……[害羞R]不准任何人说他不好,,
parenting,69e5731c000000001401a017,强势|服务者,2,251.0,1,很简单的理解。为什么是人型，因为这个社会所有的设施都按人为基准建的。你想，造一个人出来，首先要教会这个人走路，跑步啊，这才只是最简单的一步。只能说现在是刚学会走路跑步的一两岁小孩子。,,
parenting,69e4c202000000001401e839,弱势|同伴,1,238.0,1,这个就跟送自家孩子参加比赛一样 失败了就下次努力,,
parenting,69e4af92000000001401d82d,弱势|同伴,2,168.0,1,[抠鼻R]自己的心血就是自己的孩子,,
parenting,69e4b1a6000000001401c010,弱势|同伴,2,106.0,1,他还有安全帽  他爸爸确实很爱他了[捂脸R][捂脸R][捂脸R][捂脸R],,
parenting,69dafe15000000000d03e54c,成功|观众,1,87.0,2,我发现小红书好多人还在为机器人到底有啥用耿耿于怀，觉得就是跑个步跳个舞打个拳，又不能洗碗洗衣服带娃啥的那就是没用[笑哭R]他们觉得这玩意儿一诞生这些家务活就应该手到擒来。,,
parenting,69e4c4c3000000001401cc2a,弱势|同伴,2,80.0,1,感觉工作人员很开心啊 孩子应该跑的不错,,
parenting,69e4a2d0000000001401ac06,弱势|同伴,1,74.0,1,相信他们会把它们“养”好的，感觉今年脚底下利索点了,,
parenting,69e5a59b000000001401e01c,弱势|同伴,2,67.0,1,这个全称肯定命题是不管研究机器人的女孩子是吗？,,
parenting,69e4985c000000001401c004,强势|服务者,2,65.0,1,给它养老[doge],,
parenting,69e4c62f000000001401c40e,弱势|同伴,2,56.0,1,孩子半路上车了[笑哭R],,
parenting,69e485ae0000000014019c12,成功|被超越者,2,56.0,1,养条狗，狗也可以陪跑[doge],,
parenting,69e45b6f000000001401e41a,中性|观众,2,54.0,2,孩子太小了，已经很不错了，等长大点再来吧[doge],,
parenting,69e590ad000000001401a406,all,2,45.0,1,公公爸爸的,,
parenting,69e5a52f0000000014019413,弱势|同伴,1,43.0,1,感觉研究机器人的都是很年轻的小男孩  像商场里卖玩具区那些买机甲战士挑奥特曼的小孩长大了,,
parenting,69e48a37000000001401e811,中性|观众,2,0.0,1,以后的趋势会用机器人代替人来负担养老，比如做家务扶老人给老人翻身，当然要做成人形啊，不然做成机器狗，它够得着灶台洗手台和床吗。[笑哭R][笑哭R],,
parenting,69e472d8000000001401e400,中性|观众,2,3.0,1,因为人形能替代人类做更多人类的家务和工作，比如站在我的厨房了给我备菜炒菜洗碗刷锅，完了还能替我去学校接娃回来完了还能陪娃下楼跑步完了回来洗衣服上阳台晾衣服[笑哭R][笑哭R]哈哈哈哈哈哈我幻想这一天很久了，想来想去只能使人型才能都胜任[笑哭R][笑哭R][笑哭R],,
parenting,69e78094000000001401e030,中性|观众,2,1.0,1,@以后我一定要养一只小猫咪咪咪,,
parenting,69e4977a000000001401e415,中性|观众,2,0.0,1,疲惫的妈 摆烂的爸 还有满电撒欢的娃,,
parenting,69e494c6000000001401d412,中性|观众,2,0.0,1,有用的爸爸，有前途的小孩，躺平的我,,
parenting,69e489e70000000014019801,中性|观众,2,1.0,1,家里的老人小孩还在跑，小孩子生命力旺盛，虽然一开始跑的慢，但是持续性更强，老的眼睛不好容易看叉路，跑着跑着容易东倒西歪明显状态不行了，但是这不重要，因为家里的顶梁柱已经倒下了[doge],,
parenting,69e5b94a0000000014019810,中性|观众,2,0.0,1,宝宝[笑哭R],,
parenting,69e4a316000000001401a010,中性|观众,2,0.0,1,@�四宝宝,,
parenting,69e4b63a000000001401e02f,中性|观众,2,0.0,1,他会不会长大呀[飞吻R],,
parenting,69e470c6000000001401c005,中性|观众,2,12.0,1,途中找妈妈找不到，先喝口奶。,,
parenting,69e47f04000000001401ac24,中性|观众,2,11.0,1,也可以是妈妈和外婆,,
parenting,69e47e58000000001401a804,中性|观众,2,1.0,1,@小熊饲养员�.（戒d版） 总结的太到位了,,
parenting,69e5be80000000001401c806,中性|观众,2,1.0,1,@Julia @Ceci Xx � @Emilie @Cherry � @大福妈妈,,
parenting,69e4e67c0000000014019c2b,中性|观众,2,0.0,1,@声声 @爸爸说话你别插嘴 @幸福小未来 @十二 @麦,,
parenting,69e48e44000000001401d82b,中性|观众,2,0.0,1,@源石虫饲养员 @想要哆啦A梦的记忆面包 @Cinderella-� @Indigo rkive,,
parenting,69e488f3000000001401a024,中性|观众,2,0.0,1,@Eimhin @白白的发惹 @momo @猫猫饲养员小温,,
parenting,69e494ea000000001401e00e,成功|被超越者,2,4.0,1,孩子别听是恶评[doge],,
parenting,69e4ac36000000001401e820,成功|被超越者,2,1.0,1,给孩子累的,,
parenting,69e81f800000000014018808,中性|观众,2,0.0,1,应该是精疲力尽的父母托举孩子前行,,
parenting,69e568f8000000001401b80c,中性|观众,2,0.0,1,哈哈哈哈哈哈哈[捂脸R][捂脸R][捂脸R]@宝宝子. @拉粑粑小魔仙 @Jo.乔苓,,
parenting,69e572be0000000014018c00,中性|观众,2,1.0,1,@Mumu� @开开心心信宝贝� @是小猫� @我会发光呀！� @纪能武 @北投菠萝� 哈哈哈哈,,
parenting,69e49831000000001401e837,中性|观众,2,0.0,1,因为这个形状的以后要伺候大家养老，例如举着碗筷给人类喂饭，四脚着地的无法满足这个功能,,
peer_worker,69dc9de80000000002029fb1,失败|抢救者,1,1887.0,1,我有救了，以后失业可以去抬坏机器人,,
peer_worker,69daf2cc000000000202863c,成功|观众,1,19.0,1,我不买车了 买个机器人扛着我跑去上班,,
peer_worker,69e709370000000014018c06,强势|服务者,2,12.0,1,是的 你上班其实是因为热爱上班[萌萌哒R],,
peer_worker,69e5bd69000000001401c809,all,2,9.0,1,也不全是，像我，跑步就是这种上气不接下气的,,
peer_worker,69e8b16f000000001401a008,强势|服务者,2,6.0,1,不用担心失业了,,
peer_worker,69db0ee3000000003501d817,成功|观众,1,5.0,1,可以让他背着我去上班吗[doge],,
peer_worker,69e4a3da0000000014019821,强势|服务者,1,4.0,1,这样看来大家都不再怕失业了，一个机器人需要三个工作人员，就是说一个机器人能带来三个工作岗位[笑哭R][笑哭R],,
peer_worker,69e58447000000001401a000,all,1,3.0,1,这个走起来像我奶,,
peer_worker,69db1f8b0000000001007abd,成功|观众,1,3.0,1,现在看到技术进步有多快了吧，，，过几年失业的人会更多[doge],,
peer_worker,69e57e6a000000001401ac10,all,1,3.0,1,这款机器人跑的这几步像极了我当年跑800的样子[笑哭R][笑哭R][笑哭R],,
peer_worker,69e64cd4000000001401c42b,强势|服务者,1,2.0,1,不要害怕机器人让人类失业，你看一下吧，一个机器人需要十几个人类服侍。,,
peer_worker,69dae91f000000003500b7ff,成功|观众,1,2.0,1,跑这么快，肯定赶去上班,,
peer_worker,69e62d3c000000001401c83b,all,1,2.0,1,这个真像我跑不动的样子[笑哭了R],,
peer_worker,69db425f000000001500241a,成功|观众,2,2.0,1,人类的底层代码是自私的话，研究出来的的代码也只是服务于部分人类吧，像我们这种估计还是被取代后一点钱赚不到饿死路边的�,,
peer_worker,69db1101000000000d034898,成功|观众,1,2.0,1,再过两年外卖都得机器人送了，快递员全员失业。,,
peer_worker,69db285b000000000103da79,成功|观众,1,2.0,1,加油！争取早日全面替代人类！让大部分人失业！让人类文明成为历史！,,
peer_worker,69f45136000000002900f153,all,1,2.0,1,没人说这个状态好真实，像我800米跑到后来跑不动的样子[笑哭R],,
peer_worker,69e775050000000014019405,强势|服务者,2,2.0,1,我也很赞同你的观点，但是我觉得还有层原因都是年轻人是因为中年人没有办法长跑，都上班了几个锻炼的。[偷笑R],,
peer_worker,69e496c80000000014019c0c,强势|服务者,1,1.0,1,那个喷的，是真不管同事死活啊[doge],,
peer_worker,69db1b8b000000000103de1b,成功|观众,1,1.0,1,@wwz @一直在进食 跑步好像我,,
peer_worker,69e46015000000001401bc1e,弱势|观众,1,1.0,1,@早起去上班,,
peer_worker,69e95ad50000000014019802,all,1,1.0,1,那个走路的贼像我，以前我跑步还挺厉害的，后来初二病了就休学，初三去考体育的时候，跑了两圈，后面就力竭了，感觉已经跑得快要崩溃的哭了，因为真的跑不动，然后我就只能走，一堆人搁那看我，我也挺尴尬，我是真的有那种跑不动了，就是有一种，你前面就有瓶水，但是你就是碰不到他的那种无力感,,
peer_worker,69e65356000000001401d428,强势|服务者,1,1.0,1,之后能不能出个机器人又能送我去上班，又能帮我做家务拿快递,,
peer_worker,69e490140000000014018c27,中性|观众,2,1.0,1,@随风 @下午 @知识付费 @风一样的女子 @脆皮的打工人 笑死我了,,
