Topic,Count,Name,Representation,Representative_Docs
0,800,0_机器人_人形机器人_机器_机器狗,"['机器人', '人形机器人', '机器', '机器狗', '机器人马拉松', '救人', '人形', '人家', '玩意', '机械']","['机器人得像人呀', '机器人救机器人吗[doge]', '机器人也是人[偷笑R][偷笑R]']"
1,405,1_解说_好笑_搞笑_笑死人,"['解说', '好笑', '搞笑', '笑死人', '好好笑', '笑话', '有趣', '讲解', '比赛', '尴尬']","['解说很6，请多解说[派对R]', '笑死我了，这个解说好搞笑', '解说太搞笑了']"
2,364,2_玩意_ai_是不是_玩意儿,"['玩意', 'ai', '是不是', '玩意儿', '为什么', '一堆', '可惜', '以为', '不行', '技术']","['肯定不是宇树科技[捂脸R]', '碎成这样，我还以为是ai', '因为是AI,[doge]上面还一堆说不是ai的']"
3,336,3_闪电_红色_跑得快_真快,"['闪电', '红色', '跑得快', '真快', '看过', '跑不过', '有人', '真猛', '哪个', '很棒']","['红色闪电⚡真的强[点赞R]', '那个红色闪电笑死我了[笑哭R]', '那个红色闪电⚡']"
4,321,4_骨折_摔得_摔到_摔倒,"['骨折', '摔得', '摔到', '摔倒', '摔成', '粉身碎骨', '摔个', '摔出', '粉碎性', '摔得东']","['真的啊，并且测试赛的时候好像也是它摔倒了，然后突发恶疾零件散落一地[偷笑R]', '粉碎性粉身碎骨[笑哭R][笑哭R]', '粉碎性骨折、挣扎几下就不动了…']"
5,151,5_太差_很差_不好_质量,"['太差', '很差', '不好', '质量', '太脆', '垃圾', '太重', '太大', '残次品', '不行']","['这个质量太差了', '质量太差了！', '质量太差了，摔一地零件']"
6,147,6_担架_抬担架_好笑_搞笑,"['担架', '抬担架', '好笑', '搞笑', '抬走', '还要', '添乱', '绷住', '单架', '里面']","['笑死，还需要担架', '担架太搞笑了', '还有人拿担架[doge]']"
7,144,7_遥控_遥控器_遥控车_玩意,"['遥控', '遥控器', '遥控车', '玩意', '玩具', '玩意儿', '机器人', '有人', '有个', '操控']","['都是些遥控玩具，有什么好炫的[笑哭R][笑哭R][笑哭R]', '那就是遥控大玩具啊，叫什么机器人', '就是遥控玩具，还还机器人。。。[捂脸R]']"
8,142,8_装备_爆一地_炸裂_爆炸,"['装备', '爆一地', '炸裂', '爆炸', '炸开', '炸不死', '一地', '自爆', '暴毙', '摆烂']","['装备掉一地', '装备碎了一地', '爆了一地的装备[偷笑R][偷笑R]']"
9,35,9_春晚_机器人_厉害_看过,"['春晚', '机器人', '厉害', '看过', '差远了', '这次', '费劲', '那批', '哪个', '播出']","['春晚的机器人都能后空翻了，这个跑的还有问题？这？难道春晚的是AI?', '春晚的机器人不是都挺厉害的吗[石化R]', '咋春晚的机器人那么厉害']"
