topic,top_terms,size
0,"好像, 知道, 样子, 摆烂, 恶疾, 突发, 虽然, 心酸, 大家, 底盘, 摔倒, 机器人马拉松, 一种, 老人, 明显",330
1,"汽车, 赛跑, 龟兔, 评论, 世界, 果然, 轮子, 好好笑, 四个, 机器, 是不是, 还要, 小派, 区别, 禁止",106
2,"可爱, 小孩, 小机器人, 公司, 蓝色, 完全, 重心, 别人, 宝宝, 比较, 看见, 小小的, 声音, 发展, 努力",95
3,"机器人, 低血糖, 遥控, 人类, 自主, 这些, 视频, 后面, 生活, 那些, 为了, 节目, 突然, 春晚, 方向",101
4,"机器人, 最后, 为什么, 比赛, 做成, 转过, 人形, 机器狗, 镜头, 看着, 本来, 穿鞋, 机械, 原来, 养老",117
5,"地上, 坐在, 镜头, 一转, 耐克, 没人管, 电池, 休息, 鞋子, 过去, 跑不动, 不住, 太多, 设计, 一半",118
6,"人形机器人, 语言, 镜头, 一样, 这样, 那种, 人类, 比如, 厉害, 跑步, 马拉松, 工作, 主角, 意义, 为了",79
7,"真的, 好笑, 不行, 小鼻嘎, 跑步, 看起来, 不如, 孩子, 转到, 好玩, 春晚, 这里, 实在, 好看, 小不点",129
8,"奶瓶, 镜头, 一下, 一转, 小孩, 真是, 旁边, 爷爷, 确实, 技术, 稳定, 现场, 拿个, 安抚, 中暑",107
9,"马拉松, 奶嘴, 小机器人, 奶瓶, 起来, 脖子, 第一, 小孩儿, 干嘛, 一家, 刷到, 妈呀, 好几个, 好多, 不住",81
10,"机器人, 人, 机器, 以为, 鼓掌, 人家, 停下来, 只有, 一群, 一直, 喜欢, 程序员, 天才, 屁股, 看看",142
11,"搞笑, 可爱, 发现, 东西, 没人, 坐下, 出现, 画面, 也好, 这小, 斯皮尔伯格, 居然, 豆包, 鲁班, 镜头",98
