topic,top_terms,size
0,"可爱, 东西, 小派, 知道, 小小的, 奶瓶, 散热, 认真, 小机器人, 动作, 确实, 帽子, 豆包, 小时候, 小鼻嘎",658
1,"机器人, 人类, 为什么, 机器, 需要, 是不是, 跑步, 人, 肯定, 轮子, 未来, 小朋友, 一样, 问题, 设计",333
2,"孩子, 参加, 一脚, 保安, 人家, 容易, 大家, 未成年, 太大, 主要, 马拉松, 蟑螂, 下次, 评论, 不错",310
3,"第一, 倒数, 摔倒, 不行, 防晒, 云南白药, 喷雾, 喷点, 加油, 一直, 一秒, 假酒, 似的, 真是, 工作人员",305
4,"机器人, 人, 比赛, 人类, 鼓掌, 马拉松, 宇树, 机器人马拉松, 这些, 看着, 别人, 发展, 那些, 看热闹, 嘲笑",398
5,"机器人, 降温, 一下, 一样, 第一个, 解说, 过热, 春晚, 起来, 停下来, 电机, 喜欢, 突然, 喷雾, 明年",303
6,"小孩, 奶瓶, 宝宝, 后面, 人形, 大人, 随时, 看看, 希望, 为了, 玩意, 知道, 工程师, 做成, 休息",244
7,"遥控, 自主, 屁股, 鲁班, 短腿, 玩具, 鞋子, 步伐, 程序员, 腿短, 这小, 还要, 荣耀, 其实, 七号",311
8,"荣耀, 搞笑, 以为, 好像, 最后, 视频, 厉害, 一步, 中国, 两个, 人, 感谢, 虽然, 控制, 一名",279
9,"真的, 这样, 马拉松, 参赛, 这些, 好笑, 意义, 正常, 去年, 很多, ai, 幼儿园, 谢谢, 世界, 长大",265
