topic,top_terms,size
0,"机器人, 服务, 人类, 为什么, 外卖, 伺候, 加油, 个人, 云南白药, 三个, 补给, 需要, 人形, 站不稳, 比赛",2316
1,"人, 三个, 伺候, 机器, 需要, 服务, 一样, 最后, 很多, 补给, 几个, 为了, 跟着, 工作, 機器",1231
2,"降温, 润滑, 干冰, 关节, 换电池, 还要, 喷雾, 冰块, 电机, 物理, 需要, 加冰, wd40, 换电, 液氮",869
3,"遥控, 玩具, 自主, 还要, 赛车, 区别, 导航, 需要, 今年, 智能, 大号, 人员, 组和, 补给, 自动",551
4,"轮子, 赛车, 比赛, 汽车, 更快, 为什么, f1, 人形, 四个, 地形, 换成, 不行, 人形机器人, 机器, 复杂",1763
5,"意义, 何在, 哪里, 东西, 评论, 这有, 人类, 活着, 知道, 这样, 比赛, 明白, 机器人马拉松, 需要, 为什么",1228
6,"跑步, 姿势, 为了, 一样, 站不稳, 只是, 测试, 摆臂, 人类, 赛车, 走路, 跳舞, 最后, 比赛, 知道",1217
7,"跟着, 遥控器, 后面, 一起, 工作人员, 程序员, 一直, 全程, 工程师, 还要, 人要, 控制, 是不是, 个人, 几个",766
8,"冰块, 散热, 后面, 电池, 问题, 背后, 干冰, 背包, 润滑剂, 不行, 背着, 后背, 人类, 为了, 原来",829
9,"马拉松, 去年, 比赛, 今年, 进步, 参加, 速度, 人形机器人, 程序员, 测试, 发展, 为了, 电池, f1, 续航",1363
