method,topic,top_terms,size
lda_char_bigram,0,"着跑, 跟着, 评论, 我了, 低血, 血糖, 死我, 还得, 论区, 后面, 个人, 120, 有个, 镜头, 了哈",1007
lda_char_bigram,1,"玩意, 这玩, 问题, 云南, 白药, 南白, 好像, 跑的, 意儿, 来了, 结者, 终结, 战场, 的时, 是不",707
lda_char_bigram,2,"这样, 一样, 最后, 以为, 孩子, 好笑, 跑步, 姿势, 我也, 不过, 样的, 也是, 看着, 我以, 个跑",820
lda_char_bigram,3,"轮子, 进步, 去年, 发展, 需要, 科技, 赛车, 快了, 笑了, 今年, 多了, 子的, 要人, 是一, 加油",706
lda_char_bigram,4,"人类, 技术, 人形, 为了, 设计, 地形, 是为, 都是, 轮子, 人的, 复杂, 需要, 测试, 未来, 稳定",738
lda_char_bigram,5,"机器, 器人, 人形, 人的, 的机, 跑步, 形机, 是人, 是机, 比赛, 是什, 意义, 替代, 叫机, 世界",687
lda_char_bigram,6,"起来, 视频, 自主, ai, 都是, 摔倒, 是自, 工程, 程师, 厉害, 运动, 好玩, 跑起, 多少, 个是",541
lda_char_bigram,7,"降温, 电池, 的是, 工作, 冰块, 润滑, 人员, 不稳, 后面, 干冰, 换电, 地上, 站不, 作人, 该是",790
lda_char_bigram,8,"机器, 器人, 个机, 个人, 的机, 三个, 人跑, 人也, 是机, 服务, 不用, 人都, 人类, 人服, 需要",819
lda_char_bigram,9,"遥控, 意义, 控器, 不行, 行了, 有什, 控的, 搞笑, 奶瓶, 第一, 是遥, 拿着, 我不, 玩具, 知道",747
lda_char_bigram,10,"马拉, 拉松, 跑马, 散热, 程序, 跑得, 能跑, 序员, 更快, 人马, 人家, 跑了, 人跑, 速度, 一下",603
lda_char_bigram,11,"可爱, 好可, 小的, 外卖, 个小, 意思, 真的, 的好, 太可, 送外, 我真, 东西, 爱了, 有意, 伺候",663
