topic,top_terms,size
0,"比赛, 汽车, 进步, 轮子, 跑步, 科技, 这是, 不就, 无人, 赛车, 太可, 你说, 爱了, 说的, 膝盖",2709
1,"什么, 意义, 时候, 出来, 玩意, 的时, 有什, 不会, 东西, 这玩, 外卖, 是什, 知道, 这样, 以后",2599
2,"机器, 器人, 的机, 个机, 个人, 是机, 人跑, 人的, 以后, 三个, 跑步, 伺候, 人也, 人都, 服务",2592
3,"人形, 人类, 机器, 技术, 器人, 为了, 形机, 现在, 都是, 设计, 人的, 测试, 是为, 以后, 是人",2713
4,"遥控, 什么, 为什, 速度, 自主, 还是, 已经, 控的, 是遥, 发展, 需要, 玩具, 自己, 不过, 中国",1811
5,"可爱, 好可, 跑的, 最后, 小的, 低血, 血糖, 个小, 冰块, 在哪, 的好, 第一, 工程, 程师, 个跑",2399
6,"马拉, 拉松, 降温, 不行, 电池, 跑马, 行了, 程序, 润滑, 散热, 我不, 序员, 换电, 关节, 人马",2239
7,"还有, 南白, 云南, 看到, 白药, 去年, 我了, 以为, 地上, 死我, 到了, 怎么, f1, 我也, 么还",2472
8,"着跑, 遥控, 跟着, 起来, 搞笑, 控器, 孩子, 有点, 后面, 人员, 奶瓶, 不稳, 小孩, 站不, 厉害",2321
9,"这么, 不能, 应该, 好笑, 怎么, 意思, 那么, 有意, 么快, 评论, 么多, 直接, 能不, 为啥, 好好",2280
