topic,top_terms,size
0,"机器人, 为什么, 这样, 以为, 人形, 公司, 知道, 做成, 原来, 一定, 轮子, 自爆, 必要, 救护车, 只有",640
1,"人类, 一样, 中国, 人形机器人, 玩意, 人, 需要, 几年, 服务, 评论, 努力, 嘲笑, 代替, 现场, 机器狗",191
2,"比赛, 视频, 质量, 确实, 亦庄, 荣耀, 一下, 本来, 追尾, 太差, 模式, 120, 看过, 散架, 不然",200
3,"担架, 真的, 跑步, 摔倒, 好笑, 还要, 晚上, 稀碎, 最后, 医生, 人家, 看看, 救人, 虽然, 搞笑",199
4,"ai, 开始, 不好, 研发, 起跑线, 这样, 程序, 去年, 骨折, 世界, 技术, 粉碎性, 进步, 过程, 结束",217
5,"机器人, 这些, 红色, 东西, 春晚, 厉害, 闪电, 那些, 参赛, 工程师, 问题, 之前, 到底, 为什么, 容易",217
6,"机器人, 解说, 搞笑, 设计, 地上, 不如, 粉身碎骨, 碰瓷, 解体, 肯定, 有人, 继续, 精彩, 表演, 塑料",223
7,"装备, 一地, 好像, 汽车, 零件, 发明, 减速带, 走路, 不用, 一堆, 多少, 样子, 降温, 股票, 就业",212
8,"机器人, 遥控, 不行, 玩具, 正常, 自主, 一点, 遥控器, 说明, 有个, 轮子, 的话, 养老, 而已, 最好",194
9,"一下, 机器, 意义, 起来, 机器人, 水平, 垃圾, 只是, 后面, 只能, 真是, 照顾, 这里, 今天, 医院",199
10,"测试, 宇树, 科技, 一块, 救护车, 好好, 很快, 不敢, 里面, 实在, 参加, 上来, 公司, 人家, 丢人现眼",166
11,"人, 机器人, 马拉松, 不要, 大家, 产品, 失败, 发展, 为了, 成熟, 是不是, 很多, 成功, 不够, 加油",187
