topic,top_terms,size
0,"轮子, 机器人, 人形, 机器, 比赛, 起来, 设计, 一下, 人形机器人, 更快, 地形, 为什么, 复杂, 做成, 一定",2351
1,"机器人, 遥控, 人, 三个, 跟着, 自主, 伺候, f1, 玩具, 补给, 还要, 个人, 工程师, 服务, 赛车",1914
2,"最后, 评论, 知道, 好像, 问题, 确实, 低血糖, 站不稳, 样子, 停下来, 一样, 跑步, 时间, 解决, 看起来",1648
3,"可爱, 真的, 以为, 外卖, 东西, 孩子, 地上, 玩意, 奶瓶, 姿势, 小孩, 人家, 镜头, 好笑, 背着",2208
4,"降温, 后面, 散热, 遥控器, 冰块, 电池, ai, 关节, 干冰, 跟着, 润滑, 工作人员, 一步, 换电池, wd40",1927
5,"人, 机器人, 需要, 不行, 这些, 云南白药, 大家, 机器, 更好, 一样, 120, 只是, 机械, 其他, 动作",1578
6,"机器人, 是不是, 去年, 进步, 速度, 厉害, 搞笑, 今年, 发展, 中国, 看看, 看着, 科技, 摔倒, 一年",1750
7,"机器人, 马拉松, 意义, 为什么, 人, 比赛, 跑步, 参加, 不如, 汽车, 担架, 知道, 亦庄, 没用, 有人",2103
8,"人类, 机器人, 这样, 发展, 未来, 工作, 科技, 开始, 加油, 肯定, 很多, 代替, 替代, 为了, 比如",1770
9,"跑步, 技术, 汽车, 为了, 测试, 机器人, 战场, 能力, 续航, 程序员, 过去, 自动, 一点, 膝盖, 速度",1583
