帖子id,post_category,human_category,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,帖子标题,content,评估对象,情感,combo,comment_time,location,like_count,reply_count,char_len,post_caption,llm_deepseek_v4_pro_scope_comment_caption,llm_deepseek_v4_pro_scope_comment_caption_reason,llm_deepseek_v4_pro_scope_comment_caption_status
69da7e87000000001a03484e,强势,观众,,8169.0,1,69db19cb00000000020346e4,,689b0bc3000000001900ea67,"今晚的亦庄机器人马拉松测试

",跑的比车还快,机器人本身,Positive,观众+强势,2026.04.12,湖南,0,0.0,6,在夜间城市街道上，一个双足机器人从画面左侧进入，快速奔跑并跨越人行横道，经过白色护栏和交通信号灯，背景中可见身穿制服的人员。机器人在斑马线上持续移动，镜头跟随其运动轨迹，期间一名身穿荧光黄制服的安保人员静立于护栏旁。随后，机器人在斑马线上继续奔跑，一名骑摩托车的人从其左侧经过，两者在路面上并行移动但无互动，背景中还有两名身穿深色制服的人员站立不动。整个过程呈现机器人在城市环境中自主移动的动态场景。,Positive,评论表达了对机器人奔跑速度的惊叹与赞赏，使用夸张比较突显其性能，体现积极情绪。,ok
69da7e87000000001a03484e,强势,观众,,8169.0,2,69db0cfd000000000d036355,69db06f4000000000d036c86,5be006c022aac20001dbf32c,"今晚的亦庄机器人马拉松测试

",应该也是动态调整平衡吧,机器人本身,Neutral,观众+强势,2026.04.12,湖南,0,,11,在夜间城市街道上，一个双足机器人从画面左侧进入，快速奔跑并跨越人行横道，经过白色护栏和交通信号灯，背景中可见身穿制服的人员。机器人在斑马线上持续移动，镜头跟随其运动轨迹，期间一名身穿荧光黄制服的安保人员静立于护栏旁。随后，机器人在斑马线上继续奔跑，一名骑摩托车的人从其左侧经过，两者在路面上并行移动但无互动，背景中还有两名身穿深色制服的人员站立不动。整个过程呈现机器人在城市环境中自主移动的动态场景。,Neutral,"The comment speculates about the robot dynamically adjusting balance, which is a technical observation without explicit emotional tone. It expresses a neutral, objective inference rather than praise, criticism, or complex feelings.",ok
69da7e87000000001a03484e,强势,观众,,8169.0,1,69db5f2b0000000015007b88,,6213500e0000000010004674,"今晚的亦庄机器人马拉松测试

",还得给机器让道了,其他人,Mixed,观众+强势,2026.04.12,河北,1,0.0,8,在夜间城市街道上，一个双足机器人从画面左侧进入，快速奔跑并跨越人行横道，经过白色护栏和交通信号灯，背景中可见身穿制服的人员。机器人在斑马线上持续移动，镜头跟随其运动轨迹，期间一名身穿荧光黄制服的安保人员静立于护栏旁。随后，机器人在斑马线上继续奔跑，一名骑摩托车的人从其左侧经过，两者在路面上并行移动但无互动，背景中还有两名身穿深色制服的人员站立不动。整个过程呈现机器人在城市环境中自主移动的动态场景。,Negative,评论“还得给机器让道了”表达了说话者对机器人占据人类公共空间的不满与无奈，暗示人类被迫为机器让路，带有讽刺和消极情绪，因此判定为负面。,ok
69da7e87000000001a03484e,强势,观众,,8169.0,1,69db0aec0000000002034b0f,,5f49c941000000000100a100,"今晚的亦庄机器人马拉松测试

",跑完一趟该保养了。。。。,机器人本身,Neutral,观众+强势,2026.04.12,北京,0,0.0,12,在夜间城市街道上，一个双足机器人从画面左侧进入，快速奔跑并跨越人行横道，经过白色护栏和交通信号灯，背景中可见身穿制服的人员。机器人在斑马线上持续移动，镜头跟随其运动轨迹，期间一名身穿荧光黄制服的安保人员静立于护栏旁。随后，机器人在斑马线上继续奔跑，一名骑摩托车的人从其左侧经过，两者在路面上并行移动但无互动，背景中还有两名身穿深色制服的人员站立不动。整个过程呈现机器人在城市环境中自主移动的动态场景。,Neutral,"The comment is a factual, casual remark about the robot needing maintenance after running, with no explicit positive or negative emotions or judgments expressed.",ok
69da7e87000000001a03484e,强势,观众,,8169.0,1,69db057d0000000015008b10,,6579886b000000002002ff44,"今晚的亦庄机器人马拉松测试

",牛马要失业了,符号,Negative,观众+强势,2026.04.12,江西,0,0.0,6,在夜间城市街道上，一个双足机器人从画面左侧进入，快速奔跑并跨越人行横道，经过白色护栏和交通信号灯，背景中可见身穿制服的人员。机器人在斑马线上持续移动，镜头跟随其运动轨迹，期间一名身穿荧光黄制服的安保人员静立于护栏旁。随后，机器人在斑马线上继续奔跑，一名骑摩托车的人从其左侧经过，两者在路面上并行移动但无互动，背景中还有两名身穿深色制服的人员站立不动。整个过程呈现机器人在城市环境中自主移动的动态场景。,Negative,该评论用“牛马”指代辛苦的劳动者，表达了对机器人技术可能引发失业的悲观和担忧，情感显然是消极的。,ok
69da7e87000000001a03484e,强势,观众,,8169.0,2,69dc9e48000000003502ac36,69dc60790000000015007da9,5f099e250000000001007c49,"今晚的亦庄机器人马拉松测试

",我看到了！,无主体,Neutral,观众+强势,2026.04.13,北京,0,,5,在夜间城市街道上，一个双足机器人从画面左侧进入，快速奔跑并跨越人行横道，经过白色护栏和交通信号灯，背景中可见身穿制服的人员。机器人在斑马线上持续移动，镜头跟随其运动轨迹，期间一名身穿荧光黄制服的安保人员静立于护栏旁。随后，机器人在斑马线上继续奔跑，一名骑摩托车的人从其左侧经过，两者在路面上并行移动但无互动，背景中还有两名身穿深色制服的人员站立不动。整个过程呈现机器人在城市环境中自主移动的动态场景。,Neutral,评论'我看到了！'是一个简单的陈述，表达观看者注意到了视频内容，没有流露出明显的正面或负面情绪，属于客观确认。,ok
69da7e87000000001a03484e,强势,观众,,8169.0,2,69daff46000000003102c7d2,69dafb88000000000d037bec,57dfddb8bd0da51d557881c1,"今晚的亦庄机器人马拉松测试

",你好聪明啊,机器人本身,Positive,观众+强势,2026.04.12,福建,3,,5,在夜间城市街道上，一个双足机器人从画面左侧进入，快速奔跑并跨越人行横道，经过白色护栏和交通信号灯，背景中可见身穿制服的人员。机器人在斑马线上持续移动，镜头跟随其运动轨迹，期间一名身穿荧光黄制服的安保人员静立于护栏旁。随后，机器人在斑马线上继续奔跑，一名骑摩托车的人从其左侧经过，两者在路面上并行移动但无互动，背景中还有两名身穿深色制服的人员站立不动。整个过程呈现机器人在城市环境中自主移动的动态场景。,Positive,"The comment expresses admiration for the robot's intelligence, indicating a positive emotional tone.",ok
69da7e87000000001a03484e,强势,观众,,8169.0,1,69db5169000000000d03f6d7,,61d97cc4000000001000714a,"今晚的亦庄机器人马拉松测试

",跑得真的好快，这要撞到人或者车，人和车直接报废了。。,机器人本身,Negative,观众+强势,2026.04.12,北京,0,0.0,26,在夜间城市街道上，一个双足机器人从画面左侧进入，快速奔跑并跨越人行横道，经过白色护栏和交通信号灯，背景中可见身穿制服的人员。机器人在斑马线上持续移动，镜头跟随其运动轨迹，期间一名身穿荧光黄制服的安保人员静立于护栏旁。随后，机器人在斑马线上继续奔跑，一名骑摩托车的人从其左侧经过，两者在路面上并行移动但无互动，背景中还有两名身穿深色制服的人员站立不动。整个过程呈现机器人在城市环境中自主移动的动态场景。,Mixed,"The comment starts by acknowledging the robot's impressive speed ('跑得真的好快'), which is a positive observation. However, it immediately follows with a worry about the potential catastrophic consequences if it hits a person or car ('这要撞到人或者车，人和车直接报废了'), expressing clear safety concerns and negative emotions. This combination of admiration and fear makes the sentiment mixed.",ok
69da7e87000000001a03484e,强势,观众,,8169.0,1,69dcf6f800000000010046d6,,68cefaa20000000021024429,"今晚的亦庄机器人马拉松测试

",酷,无主体,Positive,观众+强势,2026.04.13,吉林,0,0.0,1,在夜间城市街道上，一个双足机器人从画面左侧进入，快速奔跑并跨越人行横道，经过白色护栏和交通信号灯，背景中可见身穿制服的人员。机器人在斑马线上持续移动，镜头跟随其运动轨迹，期间一名身穿荧光黄制服的安保人员静立于护栏旁。随后，机器人在斑马线上继续奔跑，一名骑摩托车的人从其左侧经过，两者在路面上并行移动但无互动，背景中还有两名身穿深色制服的人员站立不动。整个过程呈现机器人在城市环境中自主移动的动态场景。,Positive,"The comment '酷' (cool) expresses a clear positive and approving sentiment toward the robot's dynamic movement, without any negative or conflicting tones.",ok
69da7e87000000001a03484e,强势,观众,,8169.0,2,69db260b000000000d03f4e4,69daef940000000001007f78,61547da10000000002020369,"今晚的亦庄机器人马拉松测试

",造出来肯定是要追着人跑的啊[doge]，以后谁敢偷东西，一堆铁疙瘩奔过来,符号,Mixed,观众+强势,2026.04.12,湖北,0,,36,在夜间城市街道上，一个双足机器人从画面左侧进入，快速奔跑并跨越人行横道，经过白色护栏和交通信号灯，背景中可见身穿制服的人员。机器人在斑马线上持续移动，镜头跟随其运动轨迹，期间一名身穿荧光黄制服的安保人员静立于护栏旁。随后，机器人在斑马线上继续奔跑，一名骑摩托车的人从其左侧经过，两者在路面上并行移动但无互动，背景中还有两名身穿深色制服的人员站立不动。整个过程呈现机器人在城市环境中自主移动的动态场景。,Positive,"The comment humorously envisions the robot chasing people, using the [doge] emoji to indicate a playful, ironic tone, and then speculates about using a 'bunch of iron lumps' to deter thieves, conveying an overall supportive and approving stance toward the robot's potential security function.",ok
