Topic,ctfidf_top_terms
-1,"机器人,跑步,一样,比赛,机器,人类,速度,技术,这些,需要,为什么,马拉松,后面,视频,发展"
0,"遥控,遥控器,自主,玩具,跟着,导航,遥控车,1.2,操控,区别,控制,后面,成绩,自动,智能"
1,"战场,打仗,炸药包,玩意,炸弹,救援,巷战,要是,火场,敌人,战争,冲锋,武器,军用,对面"
2,"人形,人形机器人,设计,工具,人类,社会,做成,适配,形态,适应,设施,所有,人型,现有,场景"
3,"站不稳,停下来,摔倒,几步,停下,站不住,一脚,重心,不稳,真怕,地上,往后,医院,跑不过,一下"
4,"程序员,工程师,程序,代码,跟着,解决,运动,久坐,体力,马拉松,好消息,招聘,没想到,要求,运动员"
5,"科技,发展,技术,美国,进步,科技进步,中国,先进,国内,时代,国家,未来,过程,越来越,国外"
6,"冰块,干冰,降温,加冰,散热,背包,背后,后面,后背,水冷,液冷,背上,冷却,冷却液,制冷"
7,"马拉松,机器人马拉松,机器人,比赛,意义,测试,跑步,算法,去年,运动会,举办,今年,参加,为了,实时"
8,"轮子,更快,地形,换成,复杂,四个,轱辘,两条腿,越野,螺旋桨,装上,路面,翅膀,方便,适应"
9,"去年,今年,进步,一年,明年,昨年,好多,健步如飞,记得,太多,比起,半身不遂,马路,强多,前年"
10,"电池,没电,续航,换电池,充电,换电,电力,断电,一块,费电,比拼,能源,有电,只要,谁家"
11,"姿势,跑步,最后,起来,好看,两个,最好,重心,第四个,最像,优美,样子,真人,正确,倒数"
12,"跟着,三个,一起,人要,全程,几个,伺候,后面,还跟着,个人,旁边,一直,边上,还要,马拉松"
13,"评论,理解,认知,谢谢,神人,质疑,回答,道理,不了,问题,看不懂,解答,局限,知识,就别"
14,"外卖,快递,小哥,失业,超时,满大街,送餐,取代,这送,驿站,用来,迟早,饭碗,在家,压力"
15,"服务,机器人,人类,维护,替代,普通人,为难,打工,机器,伺候,虐待,人来,职业,代替,反过来"
16,"三个,个人,伺候,服务,就业,服侍,岗位,机器人,侍候,需要,一台,活人,维护,真人,保姆"
17,"轮子,人形,做成,两条腿,非要,更快,明明,机器人,为什么,奔跑,机器,两脚,双腿,轮式,移动"
18,"意义,活着,何在,这有,哪里,有意义,存在,明白,东西,没用,玩意,评论,有个,毛线,多人"
19,"搞笑,好笑,可爱,心酸,看着,好玩,好好笑,为什么,ha,真的,嘎嘎,战忽局,逗笑,人里,啊哈"
20,"f1,进站,赛车,换胎,轮胎,法拉利,方程式,那样,有种,既视感,方程式赛车,维修站,太慢,味儿,一样"
21,"伺候,三个,照顾,保姆,大爷,便宜,儿子,三人,养老,爸妈,结婚,还要,你老,侍候,女儿"
22,"马拉松,跑步,测试,为了,只是,意义,目的,情况,刘翔,比赛,有些,人类,不早,活动,实战"
23,"换电池,降温,电机,换电,加冰,润滑,冷却,电池,润滑剂,过热,冰块,温度,润滑油,散热,干冰"
24,"膝盖,钛合金,膝关节,没事,人家,保护,不伤,做手术,半月板,不好,髋关节,不对,置换,没开,被套"
25,"人类,替代,取代,代替,星际,造物主,星球,地球,替换,进化,法则,主要,准备,物种,劳动"
26,"云南白药,气雾剂,喷雾剂,云南,喷剂,跌打损伤,酸痛,防止,红药,压缩饼干,消肿,雲南,白藥,神药,抽筋"
27,"降温,机器人,喝水,中暑,过热,散热,喷雾,裆部,问题,运动,导致,高温,李明,怕热,冰块"
28,"散热,问题,系统,cpu,人体,解决,不行,方式,淳朴,金刚石,死机,最大,过热,这块,攻克"
29,"终结者,t800,t1000,查派,超能,天网,到来,电影,很快,进化,不远,800,参考,六部,雏形"
30,"诡异,吓人,晚上,恐怖,没头,吓死,大半夜,半夜,玩意,遇到,无头,脑袋,玩意儿,路上,梅根"
31,"价值,投资,情绪,骗钱,补贴,圈钱,股票,上市,国家补贴,娱乐圈,到手,为了,展示,炒股,公司"
32,"汽车,恭喜,电动车,新能源,那不就,电瓶车,有轮,电动汽车,没见,发明,轮子,电车,那特,叫车,玩意"
33,"裤裆,对着,裆部,人家,一直,部位,隐私,那里,口罩,jj,一顿,喷裆,前列腺,私密,弟弟"
